Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
"X-Wave Innovations, Inc.","X-Wave Innovations, Inc.",07/10/2023,07/09/2024,"$250,000.00",Phase I,SBIR,DE-FOA-0002903,https://legacy.www.sbir.gov/sbirsearch/detail/2475857
"X-Wave Innovations, Inc.","X-Wave Innovations, Inc.",08/28/2023,08/27/2025,"$1,150,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2495429
"X-Wave Innovations, Inc.","X-Wave Innovations, Inc.",07/28/2023,09/02/2024,"$149,999.00",Phase I,STTR,STTR_23_P1,https://legacy.www.sbir.gov/sbirsearch/detail/2538409
"X-Wave Innovations, Inc.","X-Wave Innovations, Inc.",07/28/2023,02/02/2024,"$149,999.00",Phase I,SBIR,SBIR_23_P1,https://legacy.www.sbir.gov/sbirsearch/detail/2538761
"X-Wave Innovations, Inc.","X-Wave Innovations, Inc.",06/27/2023,12/18/2023,"$146,500.00",Phase I,STTR,23.A,https://legacy.www.sbir.gov/sbirsearch/detail/2565889
"X-Wave Innovations, Inc.","X-Wave Innovations, Inc.",06/22/2023,12/22/2023,"$140,000.00",Phase I,SBIR,23.1,https://legacy.www.sbir.gov/sbirsearch/detail/2566815
"X-Wave Innovations, Inc.","X-Wave Innovations, Inc.",06/06/2022,12/06/2022,"$139,992.00",Phase I,STTR,22.A,https://legacy.www.sbir.gov/sbirsearch/detail/2237595
"X-Wave Innovations, Inc.","X-Wave Innovations, Inc.",07/06/2022,08/25/2023,"$149,999.00",Phase I,STTR,STTR_22_P1,https://legacy.www.sbir.gov/sbirsearch/detail/2276173
"X-Wave Innovations, Inc.","X-Wave Innovations, Inc.",06/27/2022,06/26/2023,"$206,500.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2277735
"X-Wave Innovations, Inc.","X-Wave Innovations, Inc.",06/27/2022,06/26/2023,"$206,500.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2277741
VIRTUAL APPRENTICE LLC,VIRTUAL APPRENTICE LLC,08/01/2022,07/31/2023,"$256,000.00",Phase I,SBIR,NSF 21-562,https://legacy.www.sbir.gov/sbirsearch/detail/2288937
