Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
Press,"ACME EXPRESS, INC",3821 Prospect Ave E Fl 2,Cleveland,OH,44115-2760,https://www.acmex.com,4,MTVFCKT8EX24,https://legacy.www.sbir.gov/sbirsearch/detail/671971
Press,"ANTIGEN EXPRESS, INC.","Antigen Express, Inc.",Worcester,MA,01606,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/90967
Press,Applications Express Inc,179 Avenue At The Common,Shrewsbury,NJ,07702,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/92049
Press,"ArrayXpress, Inc.",617 Hutton Street,Raleigh,NC,27606 0000,N/A,10,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/97574
Press,Bright Futures Press                                    Interactive Knowledge,"1100 Logger Court, Suite F100                 3201B North Davidson Street",Raleigh,NC,27614,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/114010
Press,"CARNOT COMPRESSION, INC",5610 Scotts Valley Dr,Scotts Valley,CA,95066-3473,http://www.carnotcompression.com,6,DKSMZPQ1ZTH5,https://legacy.www.sbir.gov/sbirsearch/detail/794953
Press,"Chanxpress, Inc.","Chanxpress, Inc.",Cleveland,OH,44128,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/122618
Press,"Clonexpress, Inc",504 E.Diamond Ave,Gaithersburg,MD,20877,http://www.clonexpress.com,1,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1191089
Press,Compression Labs Inc,2860 Junction Avenue,San Jose,CA,95134,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/130822
Press,Compression Telecommunications,2-233 Professional Drive,Gaithersburg,MD,20879,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/130826
Press,CYPRESS RESOURCES INC,3947 Cypress Dr,Vestavia,AL,35243-5423,https://cypressresources.com,15,JKJYQGEMHMU4,https://legacy.www.sbir.gov/sbirsearch/detail/2226501
Press,"CYPRESS SYSTEMS, INC.","2500 W 31St St, Ste D",Lawrence,KS,66047,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/140354
Press,Dawnsignpress,9080 Activity Rd Suite A,San Diego,CA,92126,N/A,N/A,HCH6MW71WAJ3,https://legacy.www.sbir.gov/sbirsearch/detail/142757
Press,Energv Compression Research,6355 Nancy Ridge Drive,San Diego,CA,92121,N/A,10,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/157413
Press,Energy Compression Research,"990 Highland Drive, Suite 101",Solana Beach,CA,92975,N/A,15,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/157576
Press,EXPRESSION ARRAY TECHNOLOGY,"603 Stewart St, Ste 601",Seattle,WA,98101,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/162820
Press,EXPRESSION DRUG DESIGN LLC,2280 Montgomery Ave,Cardiff By The Sea,CA,92007-1914,N/A,N/A,KLATKA5XJYG3,https://legacy.www.sbir.gov/sbirsearch/detail/162824
Press,"EXPRESSION GENETICS, INC.","Expression Genetics, Inc.",Huntsville,AL,35806,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/162830
Press,"EXPRESSION PATHOLOGY, INC","Expression Pathology, Inc",Gaithersburg,MD,20877,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/162834
Press,"EXPRESSION THERAPEUTICS, LLC",1860 Montreal Rd,Tucker,GA,30084-5709,https://www.expressiontherapeutics.com,18,PBQBKK5QY571,https://legacy.www.sbir.gov/sbirsearch/detail/410642
Press,Expressive Analytics LLC,1791 Gateview Ct,Columbia,MO,65203-9437,https://www.expressiveanalytics.com,3,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1454093
Press,EXPRESSLO LLC,5483 Lee St,Lehigh Acres,FL,33971-1516,http://www.EXpressLO.com,1,TLP5H4MZNY24,https://legacy.www.sbir.gov/sbirsearch/detail/1406151
Press,"Expresso Logic, LLC",1300 Chestnut St Apt 704,Philadelphia,PA,19107,http://mlab.seas.upenn.edu/dr-advisor/,2,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1157607
Press,"GENEXPRESS INFORMATICS, INC.",13170G Pond Springs Road,Austin,TX,-,N/A,2,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/174049
Press,GENOMIC EXPRESSION INC,100 Cummings Ctr,Beverly,MA,01915-6115,http://www.genomicexpression.com/,10,L9V9R1GLE9Z6,https://legacy.www.sbir.gov/sbirsearch/detail/390794
Press,Geometric Compressions Inc.,18 Forest Rd,Stow,MA,01775,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/174942
Press,Glyco Expression Technologies (Corporation),111 Riverbend Rd,Athens,GA,30602-1514,N/A,2,JMUPNZALJF39,https://legacy.www.sbir.gov/sbirsearch/detail/1511493
Press,IMPRESSIO INC,7270 Gilpin Way,Denver,CO,80229-6564,https://www.impressio.tech/,6,FJX5U2C4Q6K1,https://legacy.www.sbir.gov/sbirsearch/detail/1312703
Press,Impressive Communications,"23 Rainflower Path, Unit 303",Sparks,MD,21152,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/189221
Press,"iXpressGenes, Inc.",601 Genome Way Ste 3023,Huntsville,AL,35806-2908,http://www.ixpressgenes.com,6,TSJKJXX5GNN8,https://legacy.www.sbir.gov/sbirsearch/detail/408696
Press,"Language Express, Inc., The",732 Val Sereno Dr,Encinitas,CA,92024-6919,http://www.thesocialexpress.com,10,XU6JNCUA8RB9,https://legacy.www.sbir.gov/sbirsearch/detail/666026
Press,"Learning Express, Inc",8029 Danwood Drive,Little Rock,AR,72204,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/214688
Press,Linstok Press Inc,9306 Mintwood St,Silver Spring,MD,20901,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/216922
Press,"MOLECULAR EXPRESS, INC",2630 Homestead Pl,Rancho Dominguez,CA,90220-5610,https://www.molecularexpress.com,17,R1JMHFESEKD5,https://legacy.www.sbir.gov/sbirsearch/detail/679032
Press,"PERFECT EXPRESSION, INC.","Perfect Expression, Inc.",Philadelphia,PA,19107,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/194413
Press,"PIONEER VALLEY EDUCATIONAL PRESS, INC.",155 Industrial Dr,Northampton,MA,01060-2326,http://www.pioneervalleybooks.com/,26,RTVBVK7CSWK4,https://legacy.www.sbir.gov/sbirsearch/detail/663456
Press,Preservation By Pressurization,287 Pyle Rd,Fillmore,CA,93015,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/280293
Press,"PRESSURE BIOSCIENCES, INC.",14 Norfolk Ave,South Easton,MA,02375-1907,N/A,0,MC76XWNP4244,https://legacy.www.sbir.gov/sbirsearch/detail/668099
Press,"Pressure Products Company, Inc.",4540 West Washington St.,Charleston,WV,25313,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/280307
Press,"PRESSURE PROFILE SYSTEMS, INC.","5757 Century Blvd, Ste 700",Los Angeles,CA,90045,http://www.pressureprofile.com,10,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/280311
Press,"Pressure Technology, Inc.","7526 Connelley Drive, Suite C",Hanover,MD,21076,N/A,8,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/280321
Press,"PROTEIN EXPRESS, INC.",9940 Reading Rd,Evendale,OH,45241,N/A,3,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/282908
Press,PSYCH PRODUCTS PRESS,Psych Products Press,East Greenwich,RI,02818,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/283460
Press,Research Psychologists Press,1110 Military Street,Port Huron,MI,48061,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/292178
Press,"RESONO PRESSURE SYSTEMS, INC.",1938 Harney St,Laramie,WY,82072-3037,https://resonopressuresystems.com/,7,P224PN7MAVH3,https://legacy.www.sbir.gov/sbirsearch/detail/1427809
Press,SELECTION PRESSURE LLC,116 E Randolph Ave,Alexandria,VA,22301-1128,https://ionchannel.io/,11,P56VKKY3CNL7,https://legacy.www.sbir.gov/sbirsearch/detail/1543289
Press,SUMMIT CROSSROADS PRESS,126 Camp Harmison Dr,Berkeley,WV,25411,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/319798
Press,"Tempress Technologies, Inc.",18858 72Nd Avenue South,Kent,WA,98032,N/A,5,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/330506
Press,"UTOPIACOMPRESSION,CORPORATION",11150 W Olympic Blvd Ste 820,Los Angeles,CA,90064-1818,http://utopiacompression.com/,19,HR7PGAJ92Z97,https://legacy.www.sbir.gov/sbirsearch/detail/343189
Press,"Vibration, Impact and Pressure Sensors, Inc.",32242 Paseo Adelanto C,San Juan Capistrano,CA,92675,http://www.vipsensors.com,5,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/346274
