keyword,legal_name,uei,legacy_duns,cage,full_address,congressional_district
GXVCMTLKZP96,"SMART HLPR, LLC",GXVCMTLKZP96,98746982,,"160 STREAMWOOD RD, TROUTMAN, NC UNITED STATES 28166-8825",NC-10
GXVCMTLKZP96,"SMART HLPR, LLC",GXVCMTLKZP96,98746982,,"160 STREAMWOOD RD, TROUTMAN, NC UNITED STATES 28166-8825",NC-10
GXVCMTLKZP96,"SMART HLPR, LLC",GXVCMTLKZP96,98746982,,"160 STREAMWOOD RD, TROUTMAN, NC UNITED STATES 28166-8825",NC-10
KMJXNNTTC5L4,"ON THE MOVE CONTRACTING SERVICES, LLC",KMJXNNTTC5L4,965611887,,"18 GREEN PINE LN, WEBSTER, NY UNITED STATES 14580-8963",NY-25
NNGGL4HBEAW1,SEEHEAR LLC,NNGGL4HBEAW1,78852997,,"1716 N DANVILLE ST, ARLINGTON, VA UNITED STATES 22201-4034",VA-08
NNGGL4HBEAW1,SEEHEAR LLC,NNGGL4HBEAW1,78852997,,"1716 N DANVILLE ST, ARLINGTON, VA UNITED STATES 22201-4034",VA-08
M2A2NQ91DNM9,"VORTEX SPACE SYSTEMS, LLC",M2A2NQ91DNM9,106500059,,"24225 WELSH RD, GAITHERSBURG, MD UNITED STATES 20882-3929",MD-06
J1T8EM6N9AE5,"AMPX TECHNOLOGIES, INC.",J1T8EM6N9AE5,81043145,,"4467 TECHNOLOGY DRIVE RM 3125, COLLEGE PARK, MD UNITED STATES 20742-0001",MD-04
J1T8EM6N9AE5,"AMPX TECHNOLOGIES, INC.",J1T8EM6N9AE5,81043145,,"4467 TECHNOLOGY DRIVE RM 3125, COLLEGE PARK, MD UNITED STATES 20742-0001",MD-04
J1T8EM6N9AE5,"AMPX TECHNOLOGIES, INC.",J1T8EM6N9AE5,81043145,,"4467 TECHNOLOGY DRIVE RM 3125, COLLEGE PARK, MD UNITED STATES 20742-0001",MD-04
FRDDXKG3BDJ9,ELECTRO-MEDIA DESIGN LTD,FRDDXKG3BDJ9,627257199,,"973 RUSSELL AVE STE C, GAITHERSBURG, MD UNITED STATES 20879-3292",MD-06
FRDDXKG3BDJ9,ELECTRO-MEDIA DESIGN LTD,FRDDXKG3BDJ9,627257199,,"973 RUSSELL AVE STE C, GAITHERSBURG, MD UNITED STATES 20879-3292",MD-06
FRDDXKG3BDJ9,ELECTRO-MEDIA DESIGN LTD,FRDDXKG3BDJ9,627257199,,"973 RUSSELL AVE STE C, GAITHERSBURG, MD UNITED STATES 20879-3292",MD-06
DF9JAM815C18,"GAMES FOR CHANGE, INC.",DF9JAM815C18,11385156,,"335 MADISON AVE STE 4L, NEW YORK, NY UNITED STATES 10017-4611",NY-12
DF9JAM815C18,"GAMES FOR CHANGE, INC.",DF9JAM815C18,11385156,,"335 MADISON AVE STE 4L, NEW YORK, NY UNITED STATES 10017-4611",NY-12
Z4Z7DHN15824,"QUIDIENT, LLC",Z4Z7DHN15824,79693340,,"7012 SYCAMORE LN, EASTON, MD UNITED STATES 21601-9708",MD-01
Z4Z7DHN15824,"QUIDIENT, LLC",Z4Z7DHN15824,79693340,,"7012 SYCAMORE LN, EASTON, MD UNITED STATES 21601-9708",MD-01
