Title,Release Date,URL,Related Companies,Related Funds,Content,People Mentioned,Organizations Mentioned
Maryland Technology Development Board of Directors Meeting Notice - 5/22/2025 | TEDCO,"Tuesday, May 6, 2025",https://www.tedcomd.com/news-events/press-releases/2025/maryland-technology-development-board-directors-meeting-notice,,,"Tuesday, May 6, 2025 Columbia Maryland Technology Development Board of Directors Meeting Notice NOTICE is hereby given for a Meeting of the TEDCO Board of Directors to be held on May 22, 2025, at 10:00am, on Zoom. MEETING AGENDA May 22, 2025, 10:00 am WHEN: May 22, 2025 | 10:00 AM WHERE: The meeting will be held virtually on Zoom . Meeting ID: 816 9605 0627 Passcode: 392595 AGENDA: CLICK HERE TO VIEW THE FULL AGENDA",Passcode,"Columbia Maryland Technology Development Board of Directors Meeting Notice NOTICE, the TEDCO Board of Directors"
"Maryland Stem Cell Research Commission - May 5, 2025 | TEDCO","Thursday, May 1, 2025",https://www.tedcomd.com/news-events/press-releases/2025/maryland-stem-cell-research-commission-may-5-2025,,Maryland Stem Cell Research Fund,"Thursday, May 1, 2025 Columbia MARYLAND STEM CELL RESEARCH COMMISSION MEETING NOTICE NOTICE is hereby given for the Meeting to be held on May 5, 2025 at 9:00 am, 10960 Grantchester Way, Suite 120, Columbia, MD 21044. It should be further noted that a part of the meeting may be conducted in a closed session. MARYLAND STEM CELL RESEARCH COMMISSION MEETING AGENDA May 5, 2025 at 9:00 am Action Item: Motion to approve March 3, 2025 Meeting Minutes Action Item: Motion to Close the Session (estimated time: 9:05 am) Closed session to review proposals Action Item: Motion to Reopen (estimated time: 4:45 pm) Updates: Stem Cell and Regenerative Medicine Tech Showcase on April 29th New Commission member- Dr. Christopher Dreisbach Staffing Meeting adjourned","Christopher Dreisbach, Grantchester Way","MARYLAND STEM CELL RESEARCH COMMISSION MEETING AGENDA, New Commission"
"Maryland Technology Development Corporation Board of Directors Executive Committee Meeting Notice - May 5, 2025 | TEDCO","Wednesday, April 30, 2025",https://www.tedcomd.com/news-events/press-releases/2025/maryland-technology-development-corporation-board-directors-0,,,"Wednesday, April 30, 2025 Columbia Maryland Technology Development Corporation Board of Directors Executive Committee Meeting Notice NOTICE is hereby given for a Meeting of the TEDCO Board of Directors Executive Committee to be held on May 5, 2025, at 5:00 pm. WHEN: May 5, 2025, 5:00 pm EST WHERE: The meeting will be held on Zoom . Meeting ID: 832 4083 6441 Passcode: 839020 AGENDA: CLICK HERE TO VIEW THE FULL AGENDA",,"Columbia Maryland Technology Development Corporation Board of Directors Executive Committee, Passcode, the TEDCO Board of Directors Executive Committee"
TEDCO’s Maryland Innovation Initiative Announces FY2025 Technology Assessment Awards | TEDCO,"Thursday, April 24, 2025",https://www.tedcomd.com/news-events/press-releases/2025/tedcos-maryland-innovation-initiative-announces-fy2025-technology,,Maryland Innovation Initiative,"Thursday, April 24, 2025 Columbia Over $1 million awarded to 7 university projects COLUMBIA, Md., (April 24, 2025) — TEDCO , Maryland’s economic engine for technology companies, announced the next round of Maryland Innovation Initiative ( MII )’s Technology Assessment awards, marking a significant milestone in promoting the commercialization of groundbreaking research from Maryland's prestigious academic research institutions. The Technology Assessment award is a nine-month project that builds on strong preliminary data that demonstrates the technology’s utility for specific commercial applications beyond basic research. “The Technology Assessment phase of our program provides non-dilutive funding to advance technologies with commercial potential,” said Abi Kulshreshtha , MII’s executive director. “In this award cycle, the Maryland Innovation Initiative staff and technical reviewers selected seven projects from a competitive pool of applicants, which altogether received grants totaling more than $1 million to advance innovations ranging from new cancer therapeutics to inclusive AI-driven education technology solutions.” The seven awardees are below: Heather Ames: Cell-HKer/siRaf, a promising therapeutic for Solid Tumors University of Maryland, Baltimore Kevin Aroom: The Baby Gro Pro Smartscale: improving early diagnosis of medical problems and rare diseases University of Maryland, College Park Steven Bernstein: Development of a novel optic nerve-stem cell therapy for glaucoma prevention and treatment University of Maryland, Baltimore Won Jin Ho: Targeting PTPN22 for cancer immunotherapy Johns Hopkins University Melanie Killen: Utilizing natural language processing technology for creating inclusive classrooms resubmission University of Maryland, College Park Yuxing Li: Development and evaluation of a C. difficile-specific endolysin and dual therapy for C. difficile infection University of Maryland, Baltimore Venkataramana Sidhaye: Development of a novel inhaled gene therapy, based on HAPLN1 transgene expression, for treating COPD Johns Hopkins University Startup companies joining TEDCO’s MII portfolio have access to a variety of TEDCO resources including mentor opportunities. A complete list of funded companies can be found on the MII webpage (here). MII’s Funding Opportunities The MII program, administered by TEDCO, was created as a collaboration between the State of Maryland and five leading academic research institutions—Johns Hopkins University, Morgan State University, University of Maryland, Baltimore, University of Maryland, Baltimore County, and University of Maryland, College Park— that aims to leverage each institution's strengths to transition promising technologies into the commercial sector. “MII continues to bring innovation from lab to market,” said Renée Winsky, chair of the MII Board of Directors . “Since inception, it has supported the creation of nearly 400 jobs, created or supported more than 190 startups, and invested over $58 million in the Maryland innovation ecosystem and we look forward to continuing this progress.” MII has also expanded its reach to include two additional comprehensive universities, Frostburg State University and Bowie State University, along with the creation of the Baltimore Innovation Initiative ( BII ). All of these pilot programs aim to foster a more equitable innovation and entrepreneurial ecosystem across Maryland. For more information, visit the MII webpage .","Abi Kulshreshtha, Baltimore Won Jin Ho, Kevin Aroom, Melanie Killen, Renée Winsky, Steven Bernstein, Venkataramana Sidhaye","BII, Bowie State University, COLUMBIA, Frostburg State University, HAPLN1, Johns Hopkins University, Johns Hopkins University Startup, MII, MII’s Funding Opportunities, Maryland Innovation Initiative, Morgan State University, Solid Tumors University of Maryland, The Technology Assessment, University of Maryland, siRaf, the Baltimore Innovation Initiative, the MII Board of Directors"
EQUITECH GROWTH COMMISSION MEETING NOTICE - 4/23/2025 | TEDCO,"Wednesday, April 16, 2025",https://www.tedcomd.com/news-events/press-releases/2025/equitech-growth-commission-meeting-notice-4232025,,,"Wednesday, April 16, 2025 Columbia EQUITECH GROWTH COMMISSION MEETING NOTICE NOTICE is hereby given for a Meeting to be held on April 23, 2025, at 10:00 am WHEN: April 23, 2025 at 10:00 am WHERE: Teleconference: Zoom Meeting ID: 842 9581 2163 Passcode: 134089 In person Location: 10960 Grantchester Way, Suite 120 Columbia, MD 21044 AGENDA: CLICK HERE TO VIEW THE FULL AGENDA",Grantchester Way,
TEDCO’s Alex Choi Selected as 2025 Rising Star | TEDCO,"Wednesday, April 16, 2025",https://www.tedcomd.com/news-events/press-releases/2025/tedcos-alex-choi-selected-2025-rising-star,,,"Wednesday, April 16, 2025 Columbia TEDCO’s Executive Director of Government Program Development, Affairs & Research selected as 2025 Rising Star COLUMBIA, Md., (April 17, 2025) — TEDCO , Maryland’s economic engine for technology companies, announces Alex Choi , executive director, Government Program Development, Affairs & Research as a 2025 Rising Star from the Maryland Chamber of Commerce. This recognition is awarded to up to five individuals throughout the state, recognizing their contributions and leadership. The Rising Stars Award celebrates young professionals who are excelling in their careers while inspiring others through innovation, collaboration and a deep commitment to service. Choi’s dedication to TEDCO’s mission of fostering entrepreneurship in the state played a key role in his selection. Chosen from a competitive pool of more than 100 nominees, Choi stood out for his exceptional leadership, strategic vision and impact within Maryland’s innovation ecosystem. “Alex is thoughtful, engaged and consistently delivers value not just to TEDCO but to our entire innovation community,” said Troy LeMaile-Stovall , CEO of TEDCO. “His recognition as a Rising Star is a testament to his passion for service and his ability to build the kind of cross-sector collaborations that move Maryland forward.” In this role, Choi helps build relationships with State and Federal policy leaders to advance TEDCO’s budgetary, legislative, and regulatory priorities. Applying a data driven approach, he identifies, researches, and makes recommendations on policy and metric trends that influence the evolving innovation ecosystem and impact TEDCO’s portfolio companies and programs. Choi assists with launching new legislatively created programs, supporting the transition from policy to program. In addition to these responsibilities, Choi leads the Cyber Maryland Program , working closely with the Cyber Maryland Board and other stakeholders to develop and implement a statewide strategy to strengthen Maryland’s Cybersecurity Workforce pipeline infrastructure. “Alex brings a rare combination of vision, strategy and follow-through to his work,” said Mindy Lehman , TEDCO’s chief government program development, affairs & policy officer. “He’s helped shape the way we engage with policymakers, tell TEDCO’s story and translate ideas into action. Whether it’s building statewide programs or connecting the dots between legislation and entrepreneurship, Alex is constantly looking for ways to make our innovation ecosystem stronger and more equitable.” The Maryland Chamber of Commerce will honor this year’s Rising Stars during the Inspire MD 2025 event on May 8, 2025, at the Baltimore Museum of Industry, recognizing the achievements and future promise of Maryland’s emerging changemakers. To learn more about the Rising Stars Award and view past recipients here .","Alex, Alex Choi, Mindy Lehman","Chamber of Commerce, Choi, Cybersecurity Workforce, Government Program Development, Affairs & Research, Inspire MD 2025, State, The Maryland Chamber of Commerce, Troy LeMaile-Stovall, the Baltimore Museum of Industry, the Cyber Maryland Board, the Cyber Maryland Program, the Maryland"
TEDCO Seeks Firm for New Website Design and Creative Development | TEDCO,"Tuesday, April 15, 2025",https://www.tedcomd.com/news-events/press-releases/2025/tedco-seeks-firm-new-website-design-and-creative-development,,,"Tuesday, April 15, 2025 Columbia New RFP requests submissions by June 6, 2025 for website redesign COLUMBIA, Md., (April 15, 2025) — TEDCO, Maryland’s economic engine for technology companies, released a recent Request for Proposals ( Click here ) for the redesign of its website. Recognizing TEDCO’s commitment to fostering an inclusive and entrepreneurial innovation ecosystem, the organization is looking for innovative and experienced web design firms to redesign and enhance TEDCO’s website. “The continued growth of TEDCO exemplifies the dedication we have to supporting the entrepreneurial ecosystem,” TEDCO CEO, Troy LeMaile-Stovall, said. “This growth that has resulted in TEDCO being recognized as one of the top 20 Venture Capital investors in the Mid-Atlantic region by Pitchbook. And we are excited to see this trajectory continue.” The selected firm will conduct a focus group of local ecosystem entrepreneurs and stakeholders to ensure user experience, design and overall functionality match their needs. The final product will create an efficient tool for Maryland entrepreneurs, with a more condensed and visually appealing directory that allows TEDCO to further support the state’s economic growth. “Just as technology continues to evolve, so too does our tools and resources for entrepreneurs,” said Tammi Thomas, chief development and marketing officer for TEDCO. “We are excited to embark on a website redesign project, one that will engage various entrepreneurial stakeholders as we stay true to our commitment of supporting Maryland’s innovation ecosystem.” Interested applicants will respond to the detailed RFP, published here . The goal of this RFP is to receive proposals from potential firms, evaluate those submittals and select the one best suited to provide the requested services listed throughout the RFP. All applicants must submit a complete response by 4:00 pm, Friday, June 6, 2025 . TEDCO will contact the selected company by Friday, June 27, 2025 . Minority business enterprises, as defined in Section 14-301(f) of the State Finance and Procurement Article of the Annotated Code of Maryland, are encouraged to respond to this RFP. TEDCO’s Commitment to Maryland TEDCO was created in 1998 by the Maryland State Legislature to facilitate the creation of businesses and support their growth in all regions of the State. TEDCO's role is to be Maryland's leading source of funding for early-stage, technology-based businesses to provide other business assistance to entrepreneurs throughout the State and to foster technology transfer and commercialization from the State’s universities and Federal labs. TEDCO is leading innovation to market in Maryland and contributing to a robust entrepreneurial ecosystem in the State through its various programs and funds. The organization has an ambitious vision: TEDCO will be the recognized national leader for supporting translational research, and technology-based, economic, and entrepreneurial development while being the hub of Maryland’s innovation ecosystem. Working towards this vision, the organization has been leading innovation to market for close to 27 years, creating nearly $2.7 billion in statewide economic activity, as of 2023. To be a part of the continued journey, learn more about the RFP and how to apply at https://www.tedcomd.com/sites/default/files/2025-04/TEDCO%20Website%20RFP_April142025.pdf .","Pitchbook, Recognizing TEDCO’s, TEDCO, Tammi Thomas","COLUMBIA, Columbia New, State, Troy LeMaile-Stovall, Venture Capital, the Maryland State Legislature, the State Finance and Procurement Article"
"TEDCO Invests in Neuros Biotechnology, Inc., a Rural Maryland Pre-Seed Company | TEDCO","Monday, April 14, 2025",https://www.tedcomd.com/news-events/press-releases/2025/tedco-invests-neuros-biotechnology-inc-rural-maryland-pre-seed,"Neuros Biotechnology, Inc.",Rural Business Innovation Initiative,"Monday, April 14, 2025 Columbia Neuroregenerative biotechnology company working to combat Alzheimer's disease COLUMBIA, Md., (April 14, 2025) — TEDCO , Maryland’s economic engine for technology companies, announced a recent $25,000 Pre-Seed Rural Business Innovation Initiative ( RBII ) investment in Neuros Biotechnology, Inc. TEDCO’s RBII was designed to enhance technology commercialization and provide technical and business assistance to small and early-stage companies based in rural Maryland. ""Alzheimer’s disease is the leading cause of dementia across the globe. It remains incurable and fatal, yet we stand ready to discover a solution,"" said Simon P. Selwood, CEO of Neuros Biotechnology, Inc. ""With the generous support of TEDCO, we can persevere in our research and development efforts. I am hopeful that these endeavors will pave the way to combat this devastating disease and truly make a difference."" Neuros Biotechnology , located in Sunderland, Md., is a neuroregenerative biotechnology start-up working to combat Alzheimer’s disease through neurogenic therapies. Through its process, the company is using a human-derived acellular mixed biologic to rejuvenate neuroplasticity and cognition by activating the naturally occurring neurogenic niche in the temporal lobe, with the intention of halting and reversing the effects of Alzheimer's disease development. “The RBII program was created to enhance technology commercialization and provide assistance to small and early-stage technology companies in rural Maryland,” said Justin Ferguson , program manager of Venture Development at TEDCO. “We are excited to continue this process by investing in companies like Neuros Biotechnology and supporting the overall ecosystem in Maryland.” “While TEDCO’s mission is to support start-ups in the technology and life sciences industries, our impact is not possible without the support Maryland provides overall,” said TEDCO CEO, Troy LeMaile-Stovall . “With more than 120,000 workers in the information technology field and 46,000 in life sciences, Maryland is a place for companies to grow. TEDCO’s work supports that growth, providing the connections, resources and funding opportunities needed.” For more information about mentoring and funding opportunities from the RBII program, please visit https://www.tedcomd.com/resources/rural-business-innovation-initiative .","Justin Ferguson, Neuros Biotechnology, Simon P. Selwood","Columbia Neuroregenerative, Neuros Biotechnology, Neuros Biotechnology, Inc., Pre-Seed Rural Business Innovation Initiative, RBII, Troy LeMaile-Stovall, Venture Development"
"TEDCO Invests in Din Din, Inc. | TEDCO","Tuesday, April 8, 2025",https://www.tedcomd.com/news-events/press-releases/2025/tedco-invests-din-din-inc,Din Din,Venture Funds,"Tuesday, April 8, 2025 Columbia Company offering a meals-as-a-service platform receives investment from TEDCO’s Venture Funds COLUMBIA, Md., (April 8, 2025) — TEDCO , Maryland’s economic engine for technology companies, announced a recent $250,000 Venture Funds investment in Din Din, Inc. TEDCO’s evergreen Venture Funds are dedicated to funding and growing the next generation of early-stage technology and life sciences businesses in Maryland. Through this fund, companies are offered an experienced team that is focused on supporting the entrepreneurial journey. “During the COVID-19 pandemic, we saw over 110,000 restaurants close nationwide. In an effort to support the local chefs affected, we wanted to build a tool that would allow them to continue employment as micro-entrepreneurs,” said John Aggrey, co-founder and CEO of Din Din, Inc. “With TEDCO’s support, Din Din was able to pivot coming out of the pandemic and build a suite of proprietary software to support Human Resource managers’ mission in attracting and retaining talent by providing gourmet ‘heat and serve’ meals to their employees as a benefit or to support life events.” Located in Silver Spring, Md., Din Din is a technology-based startup that developed a ‘meals-as-a-service’ (MaaS) platform working to provide a solution for corporations to attract, retain and engage employees. Through the online marketplace they developed, chefs and customers are able to enjoy community and support, while also indulging in the local cuisine. “TEDCO’s commitment to supporting technology and life sciences businesses throughout Maryland can be seen through our Venture Funds and the investments we make,” said Katherine Hill Ritchie , senior director of Venture Funds at TEDCO. “Through these investments, we are looking to not only support the next generation of early-stage businesses, but we are committed to growing a sustainable and competitive ecosystem.” Din Din has been in TEDCO’s portfolio since 2021 when they received their first investment from TEDCO’s Venture Funds. “As one of the top ten most innovative states in the nation, Maryland is the place for entrepreneurs to call home,” TEDCO CEO, Troy LeMaile-Stovall , explained. “The state offers a highly skilled workforce, robust infrastructure and dynamic economy, making it an ideal destination for those ready to take their next steps and grow.” TEDCO’s evergreen Venture Funds are dedicated to supporting and growing the next generation of early-stage businesses in Maryland and provide investments anywhere from $500,000 to $1.5M. For more information on the application process, visit our page here https://www.tedcomd.com/funding/venture-funds .","Din Din, John Aggrey, Katherine Hill Ritchie","COVID-19, Columbia Company, Din Din,, Din Din, Inc., Human Resource, TEDCO’s Venture Funds, TEDCO’s Venture Funds COLUMBIA, Troy LeMaile-Stovall, Venture Funds"
MARYLAND TECHNOLOGY DEVELOPMENT CORPORATION BOARD OF DIRECTORS EXECUTIVE COMMITTEE MEETING NOTICE - 4/14/2025 | TEDCO,"Tuesday, April 8, 2025",https://www.tedcomd.com/news-events/press-releases/2025/maryland-technology-development-corporation-board-directors,,,"Tuesday, April 8, 2025 Columbia MARYLAND TECHNOLOGY DEVELOPMENT CORPORATION BOARD OF DIRECTORS EXECUTIVE COMMITTEE MEETING NOTICE NOTICE is hereby given for a Meeting of the TEDCO Board of Directors Executive Committee to be held on April 14, 2025, at 5:00 pm, on Zoom Meeting ID: 836 6817 2274 Passcode: 769176 WHEN: April 14, 2025, 5:00 pm WHERE: Zoom Meeting AGENDA: CLICK HERE TO VIEW THE FULL AGENDA","Zoom Meeting, Zoom Meeting AGENDA: CLICK","DIRECTORS EXECUTIVE COMMITTEE MEETING NOTICE NOTICE, TECHNOLOGY DEVELOPMENT CORPORATION BOARD, the TEDCO Board of Directors Executive Committee"
TEDCO’s Jean-Luc Park Recognized as a 2025 Diverse Business Leader | TEDCO,"Monday, April 7, 2025",https://www.tedcomd.com/news-events/press-releases/2025/tedcos-jean-luc-park-recognized-2025-diverse-business-leader,,Social Impact Funds,"Monday, April 7, 2025 Columbia COLUMBIA, Md., (April 7, 2025) — TEDCO , Maryland’s economic engine for technology companies, announces Jean-Luc Park as a recently named 2025 Diverse Business Leader, a recognition through the Baltimore Business Journal recognizing leaders across industries and sectors. “There are five core values that TEDCO lives by – respect, integrity, collaboration, stewardship and accountability. I am proud to say that Jean-Luc embodies them all in everything he does,” said Troy LeMaile-Stovall , TEDCO CEO. “From connecting with entrepreneurs at events to investment due diligence efforts, Jean-Luc is committed to doing great work.” As the senior director of Social Impact Funds for TEDCO, Park is actively involved with the creation and outreach of opportunities for founders and communities that are often overlooked by other investors. These opportunities include investment funding and additional hands-on resources to support the continued growth of these communities. Under his guidance, the Social Impact Funds have seen substantial increases – from $1M to the current $7.2M – thereby enhancing the support and funding opportunities for underserved founders and communities. “Jean-Luc personifies an investor with a big-heart, and he works behind the scenes to stay one step ahead of market dynamics for TEDCO’s Social Impact companies,” said Jack Miner , TEDCO’s chief investment officer. “He is well respected locally and nationally for his work in this asset class we are proud that he calls TEDCO home.” A study from 2023 identified the impact the funds had over the year the funds supported 34 companies, directly supporting the employment of 159 individuals and creating significant indirect impacts amounting to an estimated $10.5M in additional output and 56 more jobs. Additionally, under Jean-Luc’s expertise, TEDCO saw deployment of nearly 10 times the amount of Social Impact Funds in FY24 compared to FY21. Outside of his work with TEDCO, Park remains committed to supporting the ecosystem. He is a well-respected consultant and advisor for several startups and has taught and coached several hundred companies and counting. As part of this recognition, Park and the other 20 honorees will be celebrating at the Awards Ceremony on Thursday, June 5. More details about the event and other honorees can be found at bizjournals.com/baltimore/news/2025/04/02/bbj-2025-diverse-business-leaders-awards.html .","Jack Miner, Jean-Luc, Jean-Luc Park, Park","Park, Social Impact Funds, TEDCO’s Social Impact, Troy LeMaile-Stovall, bizjournals.com/baltimore/news/2025/04/02/bbj-2025-diverse-business-leaders-awards.html, the Awards Ceremony, the Baltimore Business Journal, the Social Impact Funds"
