Account Name,DUNS Number,Firm Name,UEI
Advanced Analyzer Labs,079858751,"Advanced Analyzer Labs, Inc. ",KUG9CDCV8A99
Pendulum Analytics,117565679,,
Hawkeye Med Tech,080001889,,
Pathotrak,117027572,PATHOTRAK INC.,MBL4UM9AJVZ8
VisiSonics Corporation,962585456,VisiSonics Corporation,
Door Robotics,118171471,,
JAX Digital,019964556,,
MPLEX Corp,117500029,,
ZeroDay Law,018728941,,
Rakta Therapeutics,078875030,RAKTA THERAPEUTICS INC,G43JQMRR5JL5
Electro-Media Design,627257199,,
Lori Kay Booker,081111954,,
The Mitre Corporation,007872690,,
Ally Power,117405180,,
BTU Insight,069950630,,
Bolston,130192320,,
Health Solutions Research,113924817,,
Ovalz,117820133,,
Nurostream,116786537,,
ACUITYnano,078824594,,
AlgenAir,118779654,,
Green H2O,129523785,,
NebuBuddies,094407556,,
Operational Precision Systems,079930584,,
PulseIQ,118811130,,
W2BioSolutions,078489394,,
Oncampuschef,074007877,,
InovCares,040142303,,
OcuClips,008444287,,
QuikReversal,117409463,,
Quaxys,117888585,,
Hazel Analytics,079620310,,
Gaskiya Diagnostics,080195107,"Gaskiya Diagnostics, Inc",FMX8PJ4RAUR9
ForensIQ,968613799,,
Living Canopies,080100211,,
Hyve.ai,070734810,,
OcuFLOW,080753214,,
Bashpole Software,827378394,"Bashpole Software, Inc.",ZH2PACA6NCE1
Shrink Ray,111397742,,
Vapor Cell Technologies,117415276,VAPOR CELL TECHNOLOGIES LLC,JBL9ZKN6S8K8
The Ripple Project,110779240,,
MARS Technology,127305288,,
Peatland Technologies,053129061,,
Travel Rx,097412160,,
Digital Network Group,805958431,,
"Dirigible Systems, Inc,",117449862,,
Real World Ready,063766458,,
Radii Goggles,118096345,,
PerSoN Clinic,117124618,,
Solid Ox Motors,107711490,,
Haystack Solutions,080152878,,
ReVacc,117640885,,
Sarat Investment,078481781,,
TuneURL,117827652,,
NextGlass,131444215,NEXTGLASS LLC,Z4E5FMPDB631
SoMD Loves You,117495451,,
Uptahr,118106535,,
Robinson Scientifics,024785975,,
Rise Technology,117827876,,
Prommuni,043702566,,
Mylofn,117744758,,
Maryland Data Science and Engineering,101179320,,
IES Life Sciences,081427806,,
Hydrus.ai,118789319,,
BETR CBD,847561995,,
"Aevus Precision Diagnostics, Corp.",116986557,,
Anonitech,117699683,ANONITECH LLC,EFUTULCNXQG8
Antroniks,026220750,,
Pirl Technology,081218445,,
Barter Black,117957299,,
DNA Analytics,788153166,"Celadon Laboratories, Inc.",
Nurse Lynx,084616637,,
Tauros Engineering,078738840,,
The Black Vote,009480202,,
Impruvon,117538845,,
RELAI,118228250,,
Prothymos Technologies,117022385,,
AllTrueVision Studios,040470584,,
GaiaXus,118471415,GAIAXUS LLC,N743DVNBMNK6
Training Optimization System,079188296,,
Guaq Technologies,046354779,,
DeJesus Solutions,034192391,,
Enployable,119208624,,
High Noon Southern Fine Cuisine & Seafood,056927933,,
Archerfish Co.,044315626,,
Elipsys,074163568,,
Phase,117760600,"Phase, Inc.",KDUMCTBFT188
Deeper Learning,101089946,,
HaloCyTech,117191265,,
Empowered Wellness,025133160,,
The Literacy Rescue,117486447,,
UNC Weight Research,7070293,,
Edulis Therapeutics,118891745,,
Emission Strategies,142199434,Emission Strategies Inc,RMKXDL8FDNL1
Cusack Prep,117478287,,
Hanan Samet Associates,013473886,,
Kurbie,076473290,,
Xeddy,118884744,,
HR Geckos,052128054,,
Hydraze,109448890,,
BSS Technologies,029999322,,
MesaGreen Pharmaceutical Co.,080178621,,
Trivance Design,020650009,,
NuMoon Spectroscopy,081230811,,
Pocket Planner,117328676,,
The Bowie Sun,023387444,,
Vitalize Care,096195348,,
STORC,119591462,,
MedaApptic,081202141,"MedApptic, LLC",N3ZWL1WRAJB1
Alchemity,005583700,,
