Account Name,Legal Name,UEI,DUNS,CAGE,Company Exists,Active,Company Website,Employees,Street Address,City,State,Zip Code,Country,Legislative District,Industry,Annual Revenue Range,Incorporation Date,Incorporation Year,Incorporation State,Incorporation Country,Incorporation Type,Description
AIM2,,,,,True,True,www.aim-squared.com,,,Austin,Texas,,United States,,Information Technology,,,2015,,,,"Developer of artificial intelligence and machine learning-based financial technology software based in Austin, Texas. The company provides investment processes and bespoke management tools, enabling its financial industry clients to achieve increased profitability and enhanced shareholder value in both the buy- and sell-side financial markets."
Atlas Biotech,"Atlas Biologics, LLC",N1CDHMCWRXF5,,,True,True,https://atlasbio.tech/,2,200 Innovation BLVD STE 260A,State College,Pennsylvania,16803,United States,PA-15,Healthcare,,"May 17, 2023",2024,Pennsylvania,United States,Limited Liability Company (LLC),"Developer of preclinical assays intended for drug discovery. The company specializes in oncology and is currently commercializing a drug screening platform that evaluates targeted therapies for chronic myeloid leukemia and non-small cell lung carcinoma, it is commercializing a drug screening platform that evaluates targeted therapies for chronic myeloid leukemia and non-small cell lung carcinoma, identifying mutations in the target oncogene that will drive clinical resistance, enabling patients by bringing better therapeutics to them faster and more efficiently."
Ceretune LLC,"Ceretune, LLC",ES4LSHSJW7J8,,0QGK3,True,True,https://www.ceretunellc.com/,,196 S Jordans Chapel RD,Mount Olive,North Carolina,28365,United States,NC-13,,,"May 1, 2024",2024,North Carolina,United States,Limited Liability Company (LLC),
Code&Play,"Codeplay, LLC",RCQ6HGBLVF98,,97S03,True,False,https://codeandplayclub.com/,,1746 Crofton PKWY,Crofton,Maryland,21114,United States,MD-05,Consumer Products and Services (B2C),,"Aug 10, 2018",2018,Delaware,United States,Limited Liability Company (LLC),"Operator of an educational platform intended to offer online coding lessons for kids and teenagers. The company's platform provides after-school coding classes via video conferencing, enabling students to get the opportunity to take live online coding courses from real computer scientists and engineers."
Composition Labs,"Composition Labs, LLC",MU3WGN3THEU3,,10D81,True,True,,,849 Fell ST,San Francisco,California,94117,United States,CA-11,,,"Jul 3, 2024",2024,Delaware,United States,Limited Liability Company (LLC),
CoPact,,,,,True,True,copact.ai,,2222 Sears St,Philadelphia,Pennsylvania,,United States,,Information Technology,,,2024,,,,"Operator of partnership consultancy services aimed at enhancing vendor transactions. The company provides partner matching, strategic guidance, real-time tracking, and continuous improvement based on key performance indicators (KPIs) and feedback, serving businesses seeking to optimize their vendor relationships. Their expertise in performance metrics ensures effective collaboration and value generation within partnerships."
Copprium,Copprium Inc.,,,,True,True,www.copprium.com,3,1576 Sweet Home Road,Buffalo,New York,,United States,,Materials and Resources,,,2022,,,Corporation,"Manufacturer of conductive copper inks designed to be an alternative to traditional silver-based inks used in electronics manufacturing. The company's ink is formulated with copper nanoparticles, these ink features better conductivity, solderability, and resistance to corrosion while being adaptable to a range of applications and anti-oxidative, enabling electronics manufacturers to streamline production processes, reduce costs, and improve product performance."
Dorsal.fyi,Dorsal Health Inc.,,,,True,True,www.dorsal.fyi,,,Santa Clara,California,,United States,,Healthcare,,,2024,,,Corporation,"Developer of an AI medical bill negotiations platform designed to help people get a fair price for their procedures and medications. The company's platform offers features such as eliminating flag billing errors and showing hidden discounts, negotiating savings, creating an account and comparing and sharing anonymized medical bills, offering real-time bill auditing and lower rates and more."
Erickson Barnett (closed in 2009),,,,,True,True,ericksonbarnett.com,,,Reston,Virginia,,United States,,Business Products and Services (B2B),,,1998,,,,"The company primarily operates in the Media and Information Services (B2B) industry. Erickson Barnett was founded in 1998 and is headquartered in Reston, VA."
ESTAT Actuation,Estat Actuation Inc.,GNHZJY3VLDP5,117083877,8C1H2,True,True,www.estat.tech,11,1028 Welfer ST,Pittsburgh,Pennsylvania,15217,United States,PA-12,Business Products and Services (B2B),,"Apr 24, 2019",2019,Delaware,United States,Corporation,"Developer of electroadhesive clutches designed to reduce the size and cost of actuators. The company's product offers engineers actuation hardware that makes their robot or machine more capable and affordable, enabling clients to access lightweight, low-power clutches and actuators."
