Account Name,,Legal Name,Company Exists,Active,Employees,Incorporation Year,Incorporation State / Providence,Incorporation Country,Website,Exit Year,Shipping Street,Shipping City,Shipping State/Province,Shipping Country,UEI,
3DFlexible Inc,,,Yes,TRUE,6,2016,Maryland,United States,http://www.3dflexible.com/about.html,,11008 Chelsea Way,Laurel,Maryland,United States,,
Advanced Analyzer Labs Inc.,,,Yes,FALSE,9,2015,,,https://www.linkedin.com/in/huapeng-huang-66109b3/,,3982 Old Columbia Pike,Ellicott City,Maryland,United States,,
Astrapi Corporation,,,Yes,TRUE,8,2011,,,https://www.astrapi-corp.com,,17217 Waterview Pkwy,Dallas,Texas,United States,,
"Pendulum Analytics, Inc.",,,Yes,TRUE,3,2019,,,https://www.pendanalytics.com,,9658 Baltimore Ave,College Park,Maryland,United States,,
Freestate Optics,,,Yes,TRUE,,,,,,,,,,United States,,
Future Mobility Labs,,,Yes,TRUE,,,,,https://incentrip.org/Default.html,,,,,United States,,
Hawkeye MedTech Inc,,,Yes,TRUE,4,2015,,,http://www.hawkeyemedtech.com/,,387 Tchnology Dr Ste 3119,College Park,Maryland,United States,,
"InventWood, LLC",,,,TRUE,11,2016,Maryland,United States,https://inventwood.com,,4467 Tech Dr Rm 3104,College Park,Maryland,United States,,
pathOtrak,,,Yes,TRUE,2,2019,,,https://pathotrak.com/,,9517 Ewing Dr,Bethesda,Maryland,United States,,
VisiSonics Corporation,,,Yes,TRUE,3,2010,,,https://visisonics.com/,,6800 Koandah Gdns,Highland,Maryland,United States,,
Test Case Microsoft,,,Yes,FALSE,,,,,,,,,,United States,,
Engineering and Scientific Research Associates,,,No,FALSE,,,,,,,,,,United States,,
"Airgility, Inc.",,,Yes,TRUE,12,2017,,,https://www.airgility.co,,5145 Campus Dr,College Park,Maryland,United States,,
Door Robotics,,,Yes,TRUE,6,2017,,,https://www.doorrobotics.com,,4467 Technology Dr,College Park,Maryland,United States,,
"Ekstasis, LLC",,,No,TRUE,,,,,,,,,,United States,,
Free Range Humans,,,,TRUE,1,,,,https://www.freerangeworld.com,,5500 Buckeystown Pike,Frederick,Maryland,United States,,
Games for Change,,,Yes,TRUE,,2004,,,https://www.gamesforchange.org/,,335 Madison Ave,New York,New York,United States,,
IRIS,,,Yes,TRUE,,,,,,,,,,United States,,
JAX Digital,,,Yes,TRUE,2,2016,,,https://www.jaxdigital.io/,,8536 Manchester Rd,Silver Spring,Maryland,United States,,
MPLEX,,,Yes,TRUE,4,2020,,United States,https://www.mplexvr.com,,4467 Technology Advmnt Bldg,College Park,Maryland,United States,,
North Carolina State (NC State),,,No,TRUE,,,,,,,,,,United States,,
Quidient,,,Yes,TRUE,3,2015,,,https://quidient.com/,,7142 Columbia Gateway Dr,Columbia,Maryland,United States,,
Smith MBA Student,,,No,TRUE,,,,,,,,,,United States,,
University of Maryland - College Park,,,No,TRUE,,,,,,,,,,United States,,
virginia tech,,,No,TRUE,,,,,,,,,,United States,,
What are Those?,,,No,TRUE,3,,,,https://www.whatarethose.com,,,,,United States,,
Wildflower Turf US,,,Yes,TRUE,,,,,https://wftna.com/,,,,,United States,,
ZeroDay Law,,,No,TRUE,2,2019,,,https://www.zerodaylaw.com,,5216 Marlyn Dr,Bethesda,Maryland,United States,,
Rakta Therapeudics,,,,TRUE,,2015,,,,,,,,United States,,
AMPX Technologies Inc.,,,Yes,TRUE,3,2018,,,http://ampxtech.com,,4467 Technology Advmnt Bldg,College Park,Maryland,United States,,
"Electro-Media Design, Ltd.",,,Yes,TRUE,,1990,Maryland,United States,https://www.electro-media.com/,,973 Russell Ave Ste C,Gaithersburg,Maryland,United States,,
"LORI KAYE BOOKER, LLC",,,Yes,TRUE,1,2019,,,,,2203 Vailthorn Rd,Baltimore,Maryland,United States,,
360VR Technology,,,Yes,TRUE,2,2018,,,360vrtechnology.com/,,,Newark,Delaware,United States,,
Mitre,,,No,TRUE,,,,,https://www.mitre.org/,,,,,United States,,
Ally Power Inc.,,,Yes,TRUE,2,2019,,,https://www.linkedin.com/company/ally-power/,,921 Caslon Way,Hyattsville,Maryland,United States,,
CRANENANO LLC,,,No,TRUE,1,2019,,,https://www.cranenano.com/about,,31 Orchard Dr,Gaithersburg,Maryland,United States,,
"Btu Insight, LLC",,,No,TRUE,,,,,,,,,,United States,,
"Biokmir, LLC",,,Yes,TRUE,1,2018,,,https://www.biokmir.com,,3221 Kaiser Drive,Ellicott City,Maryland,United States,,
"Bolston, LLC",,,Yes,TRUE,2,2020,Maryland,United States,https://bolston.net,,1519 York Road,Lutherville,Maryland,United States,,
