Account Name,Incorporation Year,Street Address,Industry,Annual Revenue Range,Legal Name,Description,Employees,Status,Company Website,City,State
The Bowie Sun,2021,P.O. Box 364,Consumer Products and Services (B2C),,,"Operator of a local news website providing coverage of news, events, and classifieds in the Bowie, Maryland area. The site focuses on local politics, community events, and profiles of local individuals. The entity is locally owned and adheres to the Society of Professional Journalists' Code of Ethics. Additionally, they partner with academic institutions to offer opportunities for student reporters. The entity is seeking funding to expand their team of editors and neighborhood reporters.",,,bowiesun.com,Bowie,Maryland
Fernleaf,2014,1 Haywood Street,Business Products and Services (B2B),,,"Provider of decision support services intended to empower communities and companies to make the right investments. The company's services include offering climate resilience planning and support to governments that want to understand risk and build resilience, enabling leaders to future-proof their communities against climate threats while considering and improving social equity at every step.",23,Generating Revenue,www.fernleaf.us,Asheville,North Carolina
RegVoyance,,,Information Technology,,,"Developer of a predictive regulatory software designed to predict future regulatory requirements. The company's software uses mathematical modeling to predict future regulatory outcomes such as the likelihood that and timing for when specific new regulations will be imposed, existing regulations will be changed, and outdated regulations will be withdrawn.",,Generating Revenue,www.regvoyance.com,Radnor,Pennsylvania
UCleaner,2022,6751 Columbia Gateway Drive,Healthcare,,"Ucleaner, LLC","Developer of dental cleaning devices designed for improved oral hygiene. The company utilizes a full-mouth design with integrated cleaning elements to remove plaque and debris from all tooth surfaces simultaneously, incorporating features such as automated brushing motions, timed cleaning cycles, and potentially including rinsing or irrigating functions, enabling individuals seeking a streamlined oral care routine to achieve comprehensive washing in a shorter time frame.",,Generating Revenue,www.ucleaner.shop,Columbia,Maryland
Ellexco,2021,7503 Axton Street,Materials and Resources,,"Ellexco, LLC","Operator of a mineral exploration company intended for directly extracting lithium from brines and producing lithium hydroxide. The company offers a chemical-free direct lithium extraction technology for direct production of lithium hydroxide from geothermal brine, enabling the lithium production industry to reduce its environmental impact and carbon footprint.",,Generating Revenue,www.ellex.co,Springfield,Virginia
PFF (Consulting Services),2016,7811 Hubble drive,Business Products and Services (B2B),,"Pff, LLC","Provider of consulting services headquarted in Lanham, Maryland. The company focuses on the end goal while producing new ideas and developing or refining strategies that lead to quality and scalable solutions.",,Generating Revenue,www.processforthefuture.com,Lanham,Maryland
VISIMO,2016,520 East Main Street,Information Technology,,"Visimo, LLC","Developer of a data analytics platform designed to value mentorship, adaptability and human-centered analytics at the core of the technology systems. The company's platform develops state-of-the-art data science tools and builds custom, interactive and actionable cloud-based software to create comprehensive data that are open-source, secure and accessible on any device, enabling businesses to get actionable insights and address a variety of problems across a broad range of industries.",25,Generating Revenue,www.visimo.ai,Carnegie,Pennsylvania
Zabble,2016,1966 Tice Valley Boulevard,Information Technology,,Zabble Inc.,"Developer of a waste management platform intended to reduce waste being sent to landfills today to enable a circular economy. The company's platform digitizes and streamlines the waste data collection process and uses machine learning algorithms to produce real-time metrics, insights, and recommendations that speed up the processes, enabling clients to have a circular economy tomorrow by modernizing the quantification and categorization of waste using technology today.",9,Generating Revenue,www.zabbleinc.com,Walnut Creek,California
HabilisGlobal,2022,,Business Products and Services (B2B),,"Habilisglobal, LLC","Provider of business consulting services headquartered in Washington, District of Columbia. The company offers services like organizational transformation, workforce development, human resource management, human resource function transformation, mentoring, consulting, and more.",,Generating Revenue,www.habilisglobal.com,Washington,District Of Columbia
KBF Marketing,2016,,Business Products and Services (B2B),,"Kabooface Marketing, LLC","Operator of a multicultural media and marketing agency intended to specialize in guiding brands through a transformative journey that extends beyond traditional marketing tactics. The company offers services such as cultural consulting, entertainment marketing, product placements, branded entertainment, strategic marketing, securing partnership and more, thereby assisting businesses with their diverse marketing and advertising efforts, and work closely with businesses to assist with their growth and sustainability.",3,Generating Revenue,www.kbfmarketing.com,Washington,District Of Columbia
SCIOME,2010,2 Davis Drive,Business Products and Services (B2B),,"Sciome, LLC","Developer a biomedical data science system intended to accelerate research and development in the life sciences. The company offers a suite of software and consulting services specializing in integrating, analyzing, and visualizing complex biomedical data, enabling customers to gain deeper insights from their research, accelerate drug discovery, and improve patient outcomes.",25,Generating Revenue,www.sciome.com,Research Triangle,North Carolina
Forever Analytical Services,2021,1400 East Angela Boulevard,Business Products and Services (B2B),,Forever Analytical Services Inc.,Developer of an organic-fluorine detection method designed for per- and poly-fluoroalkyl substances. The company offers environmental testing for PFAS compounds quicker and more affordable for private and public sector remediation efforts.,6,Generating Revenue,www.fasanalytical.com,South Bend,Indiana
Mizar Therapeutics,2017,PO Box 73,Healthcare,,Mizar Therapeutics Inc.,"Developer of therapeutics platform designed to use proprietary live-cell single-molecule imaging and machine-learning technology for the discovery of a new class of targeted cancer therapies. The company's platform offers live-cell super-resolution imaging, AI-powered data extraction, and live-cell super-resolution technology to determine the interaction of lead compounds and condensate components in intact cells, enabling doctors to identify effective condensate modulators to novel targeted cancer therapeutics.",4,Generating Revenue,www.mizartx.com,Woods Hole,Massachusetts
DaQQa Productions,2022,13929 Rockland Village Drive,Business Products and Services (B2B),,"Daqqa Productions, LLC",The company is currently operating in Stealth Mode.,,Stealth,,Chantilly,Virginia
Provision 153,2014,50 South View Gardens Hampshire,Consumer Products and Services (B2C),,Provision 153 Limited,"The company primarily operates in the Real Estate Services (B2C) industry. Provision 153 was founded in 2014 and is headquartered in Andover, United Kingdom.",2,,provision153.com,Andover,United Kingdom
SafetySpect,2016,4200 James Ray Drive,Healthcare,,Safetyspect Inc.,"Developer of an engineering platform system intended to utilize edge computing, optical sensors, cameras, and AI (Artificial Intelligence) in handheld devices. The company's products focus on surface contamination detection and food quality characterization, its CSI (Contamination and Sanitization Inspection) system provides real-time, reliable detection of harmful contaminants at a very low costs, enabling clients to easily detect and disinfect contamination invisible to the naked eye in seconds and protect themselves from harmful contaminants.",14,Generating Revenue,www.safetyspect.com,Grand Forks,North Dakota
Sommos,2021,707 Tewkesbury Place Northwest,Information Technology,"< $100,000",Pq Latam Inc.,"Developer of fintech platform intended to transform and digitalize the finance industry. The company's platform allows users to create and manage groups, as well as access other benefits, such as community banking and individual credit management, it integrates seamlessly with financial institutions and businesses' mobile apps and websites, enabling banks and retailers to offer tailored group and individual savings programs to their customers.",18,Generating Revenue/Not Profitable,sommosapp.com,Washington,District Of Columbia
EIS (Healthcare Technology Systems),2018,6 Barton Road,Healthcare,,Early Intervention Systems Inc.,"Developer of well-being software designed to enhance communication and improve healthcare outcomes. The company's platform enhances the working environment for all involved in the care of others while shaping the resident experience in memory care, enabling healthcare workers to streamline documentation, improve efficiency, and reduce burnout while delivering better care to elders.",14,Generating Revenue,www.earlyinterventionsystems.com,Old Bridge,New Jersey
IM Technologies,2018,24 Robinson Street,Materials and Resources,,"Im Technologies, LLC","Developer of an extreme temperature plasma arc technology designed to be used for nanoparticle manufacturing. The company's technology optimizes thermal energy to efficiently achieve tailorable temperatures that can be used for the extraction and separation of REEs from a broad range of source materials, enabling companies to incorporate environmentally friendly material processing.",,Startup,www.imtechllc.com,Shoreham,New York
Nuream,2023,1627 Pembroke Jones Drive,Healthcare,,Nuream Inc.,Developer of a pillow mattress device designed to help clients with post-traumatic stress disorder and stop neurological reactions. The company's device acts as a sensor and uses AI to monitor brain activity during sleep and display insights on a dashboard.,,Generating Revenue,www.nuream.com,Wilmington,North Carolina
Recirclable,2021,,Information Technology,,"Recirclable, LLC","Provider of reusable containers intended for restaurants to reduce waste. The company offers reusable takeout containers and virtual deposit technology for the food services industry, and also offers a digital platform for ordering these containers, enabling restaurants to serve delicious takeout food, without waste.",2,Generating Revenue,www.recirclable.com,Boston,Massachusetts
Medulate,2018,768 Hillcrest Aveue,Healthcare,,"Medulate, LLC","Developer of a medical simulation product to enhance clinical skills. The company's product offers a variety of simulated patient scenarios covering different medical conditions and situations with haptic feedback technology to simulate tactile sensations, enabling healthcare practitioners to foster hands-on learning experiences and skill development.",,Startup,www.medulate.com,State College,Pennsylvania
Allervision Tech,2023,,Consumer Products and Services (B2C),,Allervision Tech Inc.,"Developer of a mobile application designed to make allergen-free food discovery easier. The company's platform utilizes a mobile application designed for food allergies to navigate their dietary restrictions safely by scanning product barcodes beyond simply identifying allergens, offering additional features such as up-to-date product recall information and personalized recommendations, enabling users to confidently make informed food choices.",3,Generating Revenue,www.allervisiontech.com,Pittsburgh,Pennsylvania
Analytics 4 Everyone,2021,"100 S Commons, Ste. 102",Information Technology,,"Analytics 4 Everyone, LLC",Developer of data analytics-based solutions for simplifying access and manipulation of podcasts. A4E Tech's team of experienced data scientists and machine learning experts offer B2C solutions that leverage data analytics to enhance user experience.,,,a4e.tech,Pittsburgh,Pennsylvania
Deep Waste,,2315 Saint Paul St,Business Products and Services (B2B),,,"Developer of an open-source application for waste management, designed to analyze uploaded images for proper disposal guidance. The entity is a software company that offers image analysis, rewards programs, user progress tracking, and carbon footprint calculations, serving environmentally conscious individuals and communities. The application emphasizes user privacy and encourages community involvement in its ongoing development.",,,dwaste.live,Baltimore,Maryland
Neuraville,,211 S Craig St,Information Technology,,,"Developer of adaptable cognitive core and artificial general intelligence (AGI) robotic technology. Neuraville's solutions offer assistance, companionship, and efficiency through an incremental approach. The company fosters a collaborative environment through open-source code and partnerships with industry and educational institutions.",6,,neuraville.com,Pittsburgh,Pennsylvania
TRUE AI,2017,118-35 Queens Boulevard,Information Technology,,"Softworks Ai, LLC","Developer of automation software intended to serve the mortgage and financial industries. The company's software utilizes computer vision, artificial intelligence (AI) and machine learning (ML) to automate document-driven workflows and readily transform raw, unstructured data into intelligent and actionable information, enabling clients to reduce labor costs, minimize human error and increase processing speed.",50,Generating Revenue,www.true.ai,Forest Hills,New York
Venera AI,2019,465 84th Street,Business Products and Services (B2B),,,"Operator of an AI-powered healthcare software platform designed to improve patient outcomes and reduce the burden on healthcare providers. The company's platform offers medical AI dashboard, electronic health companion and public health monitor to automate medical data processing, standardize health records, personalize healthcare experience, detect anomalies and improve accuracy of diagnoses, enabling clients to make data-driven decisions for improved patient outcomes.",,Generating Revenue,viai.io,New York,New York
Elipsys,2021,110 Burham Court,Consumer Products and Services (B2C),,"Elipsys, LLC","Developer of performance tracking tools designed to accelerate athlete performance by tracking technologies and AI with skill learning models. The company's platform offers various features such as testing, insight analysis, personalized profile, individual training tracker, enabling customers to develop their performance.",3,Generating Revenue,www.elipsystech.com,Apex,North Carolina
Glycan Therapeutics,2013,617 Hutton Street,Healthcare,,"Glycan Therapeutics, LLC","Developer of innovative carbohydrate medicines and solutions intended to synthesize heparin and heparan sulfate oligosaccharides for medical uses. The company develops drug therapies based on a novel synthetic carbohydrate technology platform to synthesize an anticoagulant drug like synthetic heparin and design heparin-like oligosaccharides for research and development for other medical applications and also develops enzymatically synthesized sulfated oligosaccharides for a variety of indications, thereby offering researchers a range of heparan sulfates and chondroitin sulfates to utilize for their next big endeavor.",11,Generating Revenue,www.glycantherapeutics.com,Raleigh,North Carolina
Carolina Instruments,,,Healthcare,,"Carolina Instruments, LLC","Developer of neuroscience research-related products intended to innovate devices for clinicians. The company specializes in the neuroscience field creating devices, enabling neuroscientists to cater to specific market needs.",2,Startup,www.carolina-instruments.com,Chapel Hill,North Carolina
Vetta Solutions,2023,,Business Products and Services (B2B),,,The company is currently operating in stealth mode.,,Stealth,www.vettasolutions.com,Alexandria,Virginia
CollectiveGood,2022,740 Tinkerbell Road,Business Products and Services (B2B),,Collectivegood Health Inc.,"Developer of a medical AI model testing and validation platform designed to utilize a network of clinical experts and continuous testing. The company's platform incentivizes participants to provide real-world expert assessments of AI outputs at scale using behavioral economic expertise, enabling clients to empower community-driven alternatives to pressing health challenges.",3,Startup,collectivegood.io,Chapel Hill,North Carolina
