Legal Name,UEI,CAGE,Company Website,Incorporation Date,Legislative District,Street Address,City,State,Zip Code,Country,Incorporation State,Incorporation Country
Vetta Solutions Inc.,XP7KJNLQRFP3,,,"Jan 9, 2023",DE-00,2140 S Dupont HWY,Camden,Delaware,19934,United States,Delaware,United States
"Axnano, LLC",NMDVSFDSVCB4,6NXP3,https://www.axnano.com/,"Aug 16, 2011",NC-06,"2901 E Gate City BLVD, STE 2200",Greensboro,North Carolina,27401,United States,Delaware,United States
Neuroene Therapeutics Inc.,FE9HTJ2TLGY5,7EGQ1,,"Jan 1, 2022",MD-08,3 Torrance CT,Kensington,Maryland,20895,United States,Delaware,United States
Safetyspect Inc.,VF8ZC4A4ZWL9,7YNG7,https://www.safetyspect.com/,"Aug 5, 2016",ND-00,4200 James Ray DR,Grand Forks,North Dakota,58202,United States,Delaware,United States
Radiant Dx Inc.,U6TJRX9B3FX5,9NJU1,,"Jun 21, 2023",NC-04,5604 Centennial DR,Durham,North Carolina,27712,United States,Delaware,United States
"Acadian Research Development, LLC",Y3M9AQF9LKJ4,8GTH3,https://acadianrd.com/,"Nov 7, 2019",WY-00,"1482 Commerce DR, Unit X",Laramie,Wyoming,82070,United States,Wyoming,United States
Levosens Inc.,Z2X8FX7ST8L7,10Q27,,"Feb 28, 2025",NC-04,123 W Franklin ST STE 550,Chapel Hill,North Carolina,27516,United States,North Carolina,United States
Neuraville Inc.,FZ6EVLX5CM89,8SDJ7,https://www.neuraville.com/,"Apr 1, 2023",PA-12,211 S Craig ST,Pittsburgh,Pennsylvania,15213,United States,Delaware,United States
"Creekside Environmental Products, LLC",ESP6ZKMSMQK8,7VKQ5,,"May 26, 2016",MS-03,1 Southern Cswy,Starkville,Mississippi,39759,United States,Mississippi,United States
Origin Endoscopy Inc.,FNG7WGQLJ2U6,,,"Sep 20, 2022",MD-07,1812 Ashland AVE STE 100,Baltimore,Maryland,21205,United States,Delaware,United States
Kappa Technologies Inc.,QNEHVLTQGQ37,9DVA7,https://kappatech.ai/,"May 11, 2022",VA-09,917 Lora LN,Blacksburg,Virginia,24060,United States,Delaware,United States
"Drive Health Solutions, LLC",YE16YSAYMX45,,https://www.drivept.com/,"Oct 25, 2021",NC-02,527 Belgian Red WAY,Wake Forest,North Carolina,27587,United States,North Carolina,United States
"Predictive, LLC",LDHKC12HSJ86,8DKY3,https://www.predictive-llc.com/,"May 16, 2019",NC-02,2806 Treasures LN,Raleigh,North Carolina,27614,United States,North Carolina,United States
Immutiverse Inc.,ZTSPKR7PX999,9ZXN2,,"May 9, 2024",CA-07,609 Capitol Mall Unit 527,Sacramento,California,95814,United States,Delaware,United States
"Patient Premier, LLC",V4ATMAJ4CWM5,8JTY9,https://www.patientpremier.com/,"Jun 20, 2017",MD-03,7006 Rock Stream CT,Baltimore,Maryland,21209,United States,Maryland,United States
