Account Name,Legal Name,UEI,DUNS,CAGE,Company Exists,Active,Company Website,Employees,Street Address,City,State,Zip Code,Country,Legislative District,Industry,Annual Revenue Range,Incorporation Date,Incorporation Year,Incorporation State,Incorporation Country,Incorporation Type,Description
ORintelligence,"Orintelligence, LLC",ZKUQD8D1H9D3,,79T42,True,True,,,"55 Waugh DR, STE 150",Houston,Texas,77007,United States,TX-02,,,"Oct 20, 2014",2014,Texas,United States,Limited Liability Company (LLC),
The Bowie Sun,,,,,True,True,bowiesun.com,,P.O. Box 364,Bowie,Maryland,,United States,,Consumer Products and Services (B2C),,,2021,,,,"Operator of a local news website providing coverage of news, events, and classifieds in the Bowie, Maryland area. The site focuses on local politics, community events, and profiles of local individuals. The entity is locally owned and adheres to the Society of Professional Journalists' Code of Ethics. Additionally, they partner with academic institutions to offer opportunities for student reporters. The entity is seeking funding to expand their team of editors and neighborhood reporters."
Biogenic Solutions Consulting,"Biogenic Solutions Consulting, LLC",RDNPETKK6W65,,8WN69,True,True,https://www.biogenicsolutionsconsulting.com/,,127 Edmond DR,Newport News,Virginia,23606,United States,VA-03,,,"Feb 27, 2014",2014,Virginia,United States,Limited Liability Company (LLC),
Fernleaf,,,,,True,True,www.fernleaf.us,23,1 Haywood Street,Asheville,North Carolina,,United States,,Business Products and Services (B2B),,,2014,,,,"Provider of decision support services intended to empower communities and companies to make the right investments. The company's services include offering climate resilience planning and support to governments that want to understand risk and build resilience, enabling leaders to future-proof their communities against climate threats while considering and improving social equity at every step."
RegVoyance,,,,,True,True,www.regvoyance.com,,,Radnor,Pennsylvania,,United States,,Information Technology,,,,,,,"Developer of a predictive regulatory software designed to predict future regulatory requirements. The company's software uses mathematical modeling to predict future regulatory outcomes such as the likelihood that and timing for when specific new regulations will be imposed, existing regulations will be changed, and outdated regulations will be withdrawn."
UCleaner L.L.C.,"Ucleaner, LLC",,,,True,True,www.ucleaner.shop,,6751 Columbia Gateway Drive,Columbia,Maryland,,United States,,Healthcare,,,2022,,,Limited Liability Company (LLC),"Developer of dental cleaning devices designed for improved oral hygiene. The company utilizes a full-mouth design with integrated cleaning elements to remove plaque and debris from all tooth surfaces simultaneously, incorporating features such as automated brushing motions, timed cleaning cycles, and potentially including rinsing or irrigating functions, enabling individuals seeking a streamlined oral care routine to achieve comprehensive washing in a shorter time frame."
Neuroene Therapeutics,Neuroene Therapeutics Inc.,FE9HTJ2TLGY5,079882306,7EGQ1,True,True,,,3 Torrance CT,Kensington,Maryland,20895,United States,MD-08,,,"Jan 1, 2022",2022,Delaware,United States,Corporation,
Salynt,Salynt Inc.,TCHJNN153X97,,99JM6,True,True,https://salynt.io/,,8250 Miner ST,Greenbelt,Maryland,20770,United States,MD-04,,,"Jul 28, 2021",2021,Delaware,United States,Corporation,
Ellexco,"Ellexco, LLC",DHCUEX9VDHJ5,,,True,True,www.ellex.co,,7503 Axton ST,Springfield,Virginia,22151,United States,VA-08,Materials and Resources,,"Jan 19, 2023",2021,Virginia,United States,Limited Liability Company (LLC),"Operator of a mineral exploration company intended for directly extracting lithium from brines and producing lithium hydroxide. The company offers a chemical-free direct lithium extraction technology for direct production of lithium hydroxide from geothermal brine, enabling the lithium production industry to reduce its environmental impact and carbon footprint."
LeapFrog Design,Sanitary Green Incorporated,D6P3UNRMJU97,117135816,8D1K4,True,True,,,"2447 NE 4TH ST, STE 120",Bend,Oregon,97701,United States,OR-05,,,"Jul 11, 2019",2019,Oregon,United States,Corporation,
"PFF, LLC","Pff, LLC",P25AZ6WDJ589,080531842,7SXE9,True,True,www.processforthefuture.com,,7811 Hubble DR,Lanham,Maryland,20706,United States,MD-04,Business Products and Services (B2B),,"Nov 16, 2016",2016,Maryland,United States,Limited Liability Company (LLC),"Provider of consulting services headquarted in Lanham, Maryland. The company focuses on the end goal while producing new ideas and developing or refining strategies that lead to quality and scalable solutions."
"VISIMO, LLC","Visimo, LLC",X854ZJDHWHJ5,016990771,8DR24,True,True,https://www.visimo.ai/,25,520 E Main ST,Carnegie,Pennsylvania,15106,United States,PA-17,Information Technology,,"Feb 1, 2016",2016,Pennsylvania,United States,Limited Liability Company (LLC),"Developer of a data analytics platform designed to value mentorship, adaptability and human-centered analytics at the core of the technology systems. The company's platform develops state-of-the-art data science tools and builds custom, interactive and actionable cloud-based software to create comprehensive data that are open-source, secure and accessible on any device, enabling businesses to get actionable insights and address a variety of problems across a broad range of industries."
Zabble Inc,Zabble Inc.,,,,True,True,www.zabbleinc.com,9,1966 Tice Valley Boulevard,Walnut Creek,California,,United States,,Information Technology,,,2016,,,Corporation,"Developer of a waste management platform intended to reduce waste being sent to landfills today to enable a circular economy. The company's platform digitizes and streamlines the waste data collection process and uses machine learning algorithms to produce real-time metrics, insights, and recommendations that speed up the processes, enabling clients to have a circular economy tomorrow by modernizing the quantification and categorization of waste using technology today."
HabilisGlobal,"Habilisglobal, LLC",SR75KL12M249,,9FW60,True,True,https://habilisglobal.com/,,5924 4TH Street NW,Washington,District Of Columbia,20011,,,Business Products and Services (B2B),,"Sep 26, 2022",2022,District Of Columbia,United States,Limited Liability Company (LLC),"Provider of business consulting services headquartered in Washington, District of Columbia. The company offers services like organizational transformation, workforce development, human resource management, human resource function transformation, mentoring, consulting, and more."
KBF Marketing,"Kabooface Marketing, LLC",,,,True,True,www.kbfmarketing.com,3,,Washington,District Of Columbia,,,,Business Products and Services (B2B),,,2016,,,Limited Liability Company (LLC),"Operator of a multicultural media and marketing agency intended to specialize in guiding brands through a transformative journey that extends beyond traditional marketing tactics. The company offers services such as cultural consulting, entertainment marketing, product placements, branded entertainment, strategic marketing, securing partnership and more, thereby assisting businesses with their diverse marketing and advertising efforts, and work closely with businesses to assist with their growth and sustainability."
Sciome,"Sciome, LLC",,,,True,True,www.sciome.com,25,2 Davis Drive,Research Triangle,North Carolina,,United States,,Business Products and Services (B2B),,,2010,,,Limited Liability Company (LLC),"Developer a biomedical data science system intended to accelerate research and development in the life sciences. The company offers a suite of software and consulting services specializing in integrating, analyzing, and visualizing complex biomedical data, enabling customers to gain deeper insights from their research, accelerate drug discovery, and improve patient outcomes."
Acadian R&D,"Acadian Research Development, LLC",Y3M9AQF9LKJ4,117322893,8GTH3,True,True,https://acadianrd.com/,,"1482 Commerce DR, Unit X",Laramie,Wyoming,82070,United States,WY-00,,,"Nov 7, 2019",2019,Wyoming,United States,Limited Liability Company (LLC),
Creekside Environmental Products LLC,"Creekside Environmental Products, LLC",ESP6ZKMSMQK8,080290127,7VKQ5,True,True,,,1 Southern Cswy,Starkville,Mississippi,39759,United States,MS-03,,,"May 26, 2016",2016,Mississippi,United States,Limited Liability Company (LLC),
Forever Analytical Services,Forever Analytical Services Inc.,E8DMQP3A2W74,,,True,True,www.fasanalytical.com,6,1400 East Angela Boulevard,South Bend,Indiana,,United States,IN-02,Business Products and Services (B2B),,,2021,,,Corporation,Developer of an organic-fluorine detection method designed for per- and poly-fluoroalkyl substances. The company offers environmental testing for PFAS compounds quicker and more affordable for private and public sector remediation efforts.
Holochip Corporation,Holochip Corp.,PLRXAUJRGGT8,118922413,3BN47,True,True,https://holochip.com/,,4030 Spencer ST STE 102,Torrance,California,90503,United States,CA-36,,,"Oct 20, 2004",2004,Delaware,United States,,
Mizar Therapeutics,Mizar Therapeutics Inc.,QTYLAVN4EJR6,,9UUM6,True,True,www.mizartx.com,4,"7 Mbl ST, Lillie 220",Woods Hole,Massachusetts,2543,United States,MA-09,Healthcare,,"Dec 22, 2022",2017,Delaware,United States,Corporation,"Developer of therapeutics platform designed to use proprietary live-cell single-molecule imaging and machine-learning technology for the discovery of a new class of targeted cancer therapies. The company's platform offers live-cell super-resolution imaging, AI-powered data extraction, and live-cell super-resolution technology to determine the interaction of lead compounds and condensate components in intact cells, enabling doctors to identify effective condensate modulators to novel targeted cancer therapeutics."
"Molecular Rebar Design, LLC","Molecular Rebar Design, LLC",LL34B99KR2R4,078712611,6W5Y4,True,True,https://www.molecularrebar.com/,,13477 Fitzhugh RD,Austin,Texas,78736,United States,TX-21,,,"Sep 1, 2012",2012,Delaware,United States,Limited Liability Company (LLC),
Daqqa Productions,"Daqqa Productions, LLC",,,,True,True,,,13929 Rockland Village Drive,Chantilly,Virginia,,United States,,Business Products and Services (B2B),,,2022,,,Limited Liability Company (LLC),The company is currently operating in Stealth Mode.
ProVision,Provision 153 Limited,,,,True,True,provision153.com,2,50 South View Gardens Hampshire,Andover,United Kingdom,,,,Consumer Products and Services (B2C),,,2014,,,,"The company primarily operates in the Real Estate Services (B2C) industry. Provision 153 was founded in 2014 and is headquartered in Andover, United Kingdom."
SafetySpect,Safetyspect Inc.,VF8ZC4A4ZWL9,080562947,7YNG7,True,True,https://www.safetyspect.com/,14,4200 James Ray DR,Grand Forks,North Dakota,58202,United States,ND-00,Healthcare,,"Aug 5, 2016",2016,Delaware,United States,Corporation,"Developer of an engineering platform system intended to utilize edge computing, optical sensors, cameras, and AI (Artificial Intelligence) in handheld devices. The company's products focus on surface contamination detection and food quality characterization, its CSI (Contamination and Sanitization Inspection) system provides real-time, reliable detection of harmful contaminants at a very low costs, enabling clients to easily detect and disinfect contamination invisible to the naked eye in seconds and protect themselves from harmful contaminants."
Sommos,Pq Latam Inc.,,,,True,True,sommosapp.com,18,707 Tewkesbury Place Northwest,Washington,District Of Columbia,,,,Information Technology,"< $100,000",,2021,,,Corporation,"Developer of fintech platform intended to transform and digitalize the finance industry. The company's platform allows users to create and manage groups, as well as access other benefits, such as community banking and individual credit management, it integrates seamlessly with financial institutions and businesses' mobile apps and websites, enabling banks and retailers to offer tailored group and individual savings programs to their customers."
Early Intervention Systems,Early Intervention Systems Inc.,LHVNEWY6NM73,,8EJT7,True,True,www.earlyinterventionsystems.com,14,922 24TH ST NW APT 117,Washington,District Of Columbia,20037,,,Healthcare,,"Aug 9, 2018",2018,Delaware,United States,Corporation,"Developer of well-being software designed to enhance communication and improve healthcare outcomes. The company's platform enhances the working environment for all involved in the care of others while shaping the resident experience in memory care, enabling healthcare workers to streamline documentation, improve efficiency, and reduce burnout while delivering better care to elders."
"IM Technologies, LLC","Im Technologies, LLC",LM98CNVAUTG5,117200978,8ETM5,True,True,https://www.imtechllc.com/,,24 Robinson ST,Shoreham,New York,11786,United States,NY-01,Materials and Resources,,"May 14, 2019",2018,New York,United States,Limited Liability Company (LLC),"Developer of an extreme temperature plasma arc technology designed to be used for nanoparticle manufacturing. The company's technology optimizes thermal energy to efficiently achieve tailorable temperatures that can be used for the extraction and separation of REEs from a broad range of source materials, enabling companies to incorporate environmentally friendly material processing."
Immutiverse,Immutiverse Inc.,ZTSPKR7PX999,,9ZXN2,True,True,,,609 Capitol Mall Unit 527,Sacramento,California,95814,United States,CA-07,,,"May 9, 2024",2024,Delaware,United States,Corporation,
Nuream,Nuream Inc.,YXLZAUBSQZK1,,9NA90,True,True,https://www.nuream.com/,,1627 Pembroke Jones DR,Wilmington,North Carolina,28405,United States,NC-07,Healthcare,,"Apr 24, 2023",2023,Delaware,United States,Corporation,Developer of a pillow mattress device designed to help clients with post-traumatic stress disorder and stop neurological reactions. The company's device acts as a sensor and uses AI to monitor brain activity during sleep and display insights on a dashboard.
Recirclable,"Recirclable, LLC",,,,True,True,www.recirclable.com,2,,Boston,Massachusetts,,United States,,Information Technology,,,2021,,,Limited Liability Company (LLC),"Provider of reusable containers intended for restaurants to reduce waste. The company offers reusable takeout containers and virtual deposit technology for the food services industry, and also offers a digital platform for ordering these containers, enabling restaurants to serve delicious takeout food, without waste."
Medulate,"Medulate, LLC",JZ6XDD99LCD1,,,True,True,www.medulate.com,,2418 Oak Leaf DR,State College,Pennsylvania,16803,United States,PA-15,Healthcare,,"Oct 22, 2018",2018,Pennsylvania,United States,Limited Liability Company (LLC),"Developer of a medical simulation product to enhance clinical skills. The company's product offers a variety of simulated patient scenarios covering different medical conditions and situations with haptic feedback technology to simulate tactile sensations, enabling healthcare practitioners to foster hands-on learning experiences and skill development."
NanOS,Nanos Inc.,CUV2YSQMUXN7,,,True,True,,,11219 Anderson ST,Loma Linda,California,92354,United States,CA-23,,,"Nov 26, 2023",2023,California,United States,Corporation,
"ScholasTech, LLC","Scholastech, LLC",UNLGYV3Y3HK9,,7DJS1,True,True,http://www.scholastechnology.com/,,3019 Prentice AVE,Columbia,South Carolina,29205,United States,SC-06,,,"Oct 15, 2014",2014,South Carolina,United States,Limited Liability Company (LLC),
TeloHealthDx LLC,"Telohealthdx, LLC",ZWK6WMUV43G5,,,True,True,,,23003 Frederick RD,Clarksburg,Maryland,20871,United States,MD-06,,,"Aug 22, 2022",2022,Delaware,United States,Limited Liability Company (LLC),
Allervision Tech Inc.,Allervision Tech Inc.,,,,True,True,www.allervisiontech.com,3,,Pittsburgh,Pennsylvania,,United States,,Consumer Products and Services (B2C),,,2023,,,Corporation,"Developer of a mobile application designed to make allergen-free food discovery easier. The company's platform utilizes a mobile application designed for food allergies to navigate their dietary restrictions safely by scanning product barcodes beyond simply identifying allergens, offering additional features such as up-to-date product recall information and personalized recommendations, enabling users to confidently make informed food choices."
Analytics 4 Everyone LLC,"Analytics 4 Everyone, LLC",,,,True,True,a4e.tech,,"100 S Commons, Ste. 102",Pittsburgh,Pennsylvania,,United States,,Information Technology,,,2021,,,Limited Liability Company (LLC),Developer of data analytics-based solutions for simplifying access and manipulation of podcasts. A4E Tech's team of experienced data scientists and machine learning experts offer B2C solutions that leverage data analytics to enhance user experience.
D.Waste,,,,,True,True,dwaste.live,,2315 Saint Paul St,Baltimore,Maryland,,United States,,Business Products and Services (B2B),,,,,,,"Developer of an open-source application for waste management, designed to analyze uploaded images for proper disposal guidance. The entity is a software company that offers image analysis, rewards programs, user progress tracking, and carbon footprint calculations, serving environmentally conscious individuals and communities. The application emphasizes user privacy and encourages community involvement in its ongoing development."
Neuraville Inc.,Neuraville Inc.,FZ6EVLX5CM89,,8SDJ7,True,True,https://www.neuraville.com/,6,211 S Craig ST,Pittsburgh,Pennsylvania,15213,United States,PA-12,Information Technology,,"Apr 1, 2023",2023,Delaware,United States,Corporation,"Developer of adaptable cognitive core and artificial general intelligence (AGI) robotic technology. Neuraville's solutions offer assistance, companionship, and efficiency through an incremental approach. The company fosters a collaborative environment through open-source code and partnerships with industry and educational institutions."
True AI,"Softworks Ai, LLC",,,,True,True,www.true.ai,50,118-35 Queens Boulevard,Forest Hills,New York,,United States,,Information Technology,,,2017,,,Limited Liability Company (LLC),"Developer of automation software intended to serve the mortgage and financial industries. The company's software utilizes computer vision, artificial intelligence (AI) and machine learning (ML) to automate document-driven workflows and readily transform raw, unstructured data into intelligent and actionable information, enabling clients to reduce labor costs, minimize human error and increase processing speed."
Venera AI,,,,,True,True,viai.io,,465 84th Street,New York,New York,,United States,,Business Products and Services (B2B),,,2019,,,,"Operator of an AI-powered healthcare software platform designed to improve patient outcomes and reduce the burden on healthcare providers. The company's platform offers medical AI dashboard, electronic health companion and public health monitor to automate medical data processing, standardize health records, personalize healthcare experience, detect anomalies and improve accuracy of diagnoses, enabling clients to make data-driven decisions for improved patient outcomes."
KAP Team/Elipsys LLC,"Elipsys, LLC",,,,True,True,www.elipsystech.com,3,110 Burham Court,Apex,North Carolina,,United States,,Consumer Products and Services (B2C),,,2021,,,Limited Liability Company (LLC),"Developer of performance tracking tools designed to accelerate athlete performance by tracking technologies and AI with skill learning models. The company's platform offers various features such as testing, insight analysis, personalized profile, individual training tracker, enabling customers to develop their performance."
Glycan Therapeutics,"Glycan Therapeutics, LLC",,,,True,True,www.glycantherapeutics.com,11,617 Hutton Street,Raleigh,North Carolina,,United States,,Healthcare,,,2013,,,Limited Liability Company (LLC),"Developer of innovative carbohydrate medicines and solutions intended to synthesize heparin and heparan sulfate oligosaccharides for medical uses. The company develops drug therapies based on a novel synthetic carbohydrate technology platform to synthesize an anticoagulant drug like synthetic heparin and design heparin-like oligosaccharides for research and development for other medical applications and also develops enzymatically synthesized sulfated oligosaccharides for a variety of indications, thereby offering researchers a range of heparan sulfates and chondroitin sulfates to utilize for their next big endeavor."
Team 516/Carolina Instruments,"Carolina Instruments, LLC",,,,True,True,www.carolina-instruments.com,2,,Chapel Hill,North Carolina,,United States,,Healthcare,,,,,,Limited Liability Company (LLC),"Developer of neuroscience research-related products intended to innovate devices for clinicians. The company specializes in the neuroscience field creating devices, enabling neuroscientists to cater to specific market needs."
Stryde/VETTA Solutions,,,,,True,True,www.vettasolutions.com,,,Alexandria,Virginia,,United States,,Business Products and Services (B2B),,,2023,,,,The company is currently operating in stealth mode.
CollectiveGoodDx,Collectivegood Health Inc.,,,,True,True,collectivegood.io,3,740 Tinkerbell Road,Chapel Hill,North Carolina,,United States,,Business Products and Services (B2B),,,2022,,,Corporation,"Developer of a medical AI model testing and validation platform designed to utilize a network of clinical experts and continuous testing. The company's platform incentivizes participants to provide real-world expert assessments of AI outputs at scale using behavioral economic expertise, enabling clients to empower community-driven alternatives to pressing health challenges."
Sorbenta,Sorbenta Inc.,JBJ7EF1MD9P1,,,True,True,https://www.earlyinterventionsystems.com/,,1538 Pathway DR,Carrboro,North Carolina,27510,United States,NC-04,,,"Aug 29, 2022",2022,North Carolina,United States,Corporation,
Syzgy Optics,"Syzygy Optics, LLC",,,,True,True,www.syzygyoptics.com,,P.O. Box 211,Chapel Hill,North Carolina,,United States,,Business Products and Services (B2B),,,2010,,,Limited Liability Company (LLC),"Manufacturer of diffraction gratings intended for astronomy. The company's products include sample gratings, validation, design studies and science gratings, along with services including grating design services, spectrograph design consulting and fabrication of custom monolithic gratings, enabling customers by offering modelling and design services, design review support and custom gratings."
VETTA Solutions,Vetta Solutions Inc.,XP7KJNLQRFP3,,,True,True,,,2140 S Dupont HWY,Camden,Delaware,19934,United States,DE-00,,,"Jan 9, 2023",2023,Delaware,United States,Corporation,
OraBiotech,"Orabiotech, LLC",KF5LQ1X8QF87,,92NV4,True,True,,,1911 Billabong LN,Chapel Hill,North Carolina,27516,United States,NC-04,Healthcare,,"Jun 18, 2021",2021,North Carolina,United States,Limited Liability Company (LLC),"Developer of a speech improving device designed for people suffering from craniofacial disorders. The company's intraoral wireless device provides positive reinforcement and motivation for at-home speech therapy, enabling patients to improve their speech."
Predictive LLC,"Predictive, LLC",LDHKC12HSJ86,117131092,8DKY3,True,True,https://www.predictive-llc.com/,,2806 Treasures LN,Raleigh,North Carolina,27614,United States,NC-02,Information Technology,,"May 16, 2019",2019,North Carolina,United States,Limited Liability Company (LLC),"Operator of a technology company intended to offer computational models and software to predict chemical bioactivity and toxicity. The company's platform offers computational models and software solutions to accurately predict chemical bioactivity and toxicity using in-silico methods, providing a cost-effective and ethical alternative to animal testing for acute systemic and topical toxicity assessments, enabling clients to accelerate research and development processes and reducing reliance on traditional testing methods."
Assure Technologies LLC,"Assure Technologies, LLC",,,,True,True,www.nuvai.ai,,200 Butternut Drive,Chapel Hill,North Carolina,,United States,,Healthcare,,,2018,,,Limited Liability Company (LLC),"Operator of a healthcare device and equipment company intended to keep patients safe and healthy. The company offers a precise device that assists healthcare professionals in measuring the correct amount of medicine with a syringe, enabling healthcare professionals to improve patients' safety in hospitals."
