company,dealSynopsis,dealType,investors,dealSizeStatus,dealSize,dealDate,dealPbId,companyPbId
Allervision Tech,"The company joined Ascender as part of its 2025 incubator program on August 23, 2024. No equity or funding was exchanged as a result of this program.",Accelerator/Incubator,Ascender (Pittsburgh),,,23-Aug-2024,275522-23T,616185-46
Allervision Tech,The company joined Carnegie Mellon University as part of the Olympus Incubator Program in March 2024. No equity or funding was exchanged as a result of this program.,Accelerator/Incubator,Carnegie Mellon University,,,01-Mar-2024,275523-85T,616185-46
Aptabridge,The company joined Nucleate in 2021. No equity or funding was exchanged as a result of this program.,Accelerator/Incubator,Nucleate,,,01-Jan-2021,269828-83T,519655-60
Assure Medical Technologies,The company joined The West Coast Consortium for Technology & Innovation in Pediatrics on an undisclosed date. No equity or funding was exchanged as a result of this program.,Accelerator/Incubator,The Consortium for Technology & Innovation in Pediatrics,,,,269918-74T,533589-85
AxNano,"The company was acquired by Triad Growth Partners for an undisclosed amount on November 13, 2013.",Merger/Acquisition,Triad Growth Partners,,,13-Nov-2013,88649-92T,181755-19
AxNano,"The company received $598,879 of grant funding from National Science Foundation (NSF), National Institute of Science and Technology (NIST), the National Institute for Environmental Health Sciences (NIEHS) Superfund Research Program and the NC One Phase I Matching Funds Program on November 30, 2016.",Grant,"National Institute for Environmental Health Sciences, National Institute of Science and Technology-Information-Genetic Sanitary of Brazilian Livestock, NC One Phase I Matching Funds Program, U. S. National Science Foundation",Actual,0.60,30-Nov-2016,88879-87T,181755-19
AxNano,"The company received a $168,087 grant from the National Institute for Environmental Health Sciences on September 1, 2021.",Grant,National Institute for Environmental Health Sciences,Actual,0.17,01-Sep-2021,203979-52T,181755-19
AxNano,"The company received a $500,458 grant from National Institutes of Health on September 17, 2019.",Grant,,Actual,0.50,17-Sep-2019,203979-70T,181755-19
AxNano,"The company received $753,000 of grant funding from National Science Foundation on March 1, 2018.",Grant,U. S. National Science Foundation,Actual,0.75,01-Mar-2018,281045-26T,181755-19
AxNano,"The company received $75,000 of grant funding from North Carolina Department of Commerce on September 22, 2022.",Grant,North Carolina Department of Commerce,Actual,0.08,22-Sep-2022,281046-34T,181755-19
AxNano,"The company received $224,934 of grant funding from National Science Foundation on June 29, 2016.",Grant,U. S. National Science Foundation,Actual,0.22,29-Jun-2016,281046-52T,181755-19
Biolinco,The company received $500 of grant funding from Johns Hopkins University.,Grant,Johns Hopkins University,Actual,0.01,,265236-13T,607301-47
Bluelene,"The company raised $150,000 of venture funding from TEDCO on July 2, 2019.",Early Stage VC,TEDCO (George Davis),Actual,0.15,02-Jul-2019,120564-28T,268662-88
Bluelene,"The company received $225,000 of grant funding from National Science Foundation in approximately 2019.",Grant,U. S. National Science Foundation,Actual,0.23,01-Jan-2019,225276-04T,268662-88
Bluelene,"The company received $90,000 of grant funding from an undisclosed grantor on August 8, 2023.",Grant,,Actual,0.09,08-Aug-2023,252275-77T,268662-88
Carolina Instruments,"The company joined NC Idea as part of its Fall 2024 MICRO Program on October 24, 2024 and received an undisclosed amount of funding in the form of a grant.",Accelerator/Incubator,NC Idea,,,24-Oct-2024,279027-64T,711980-11
Celcy,"The company raised $59,534 of equity crowdfunding in the form of SAFE Notes via Wefunder on June 10, 2021, putting the pre-money valuation at $1.94 million.",Equity Crowdfunding,,Actual,0.06,10-Jun-2021,167049-64T,460279-54
Celcy,"The company raised $11,500 of angel funding from undisclosed investors in 2020.",Angel (individual),,Actual,0.01,01-Jan-2020,167050-54T,460279-54
Celcy,"The company raised $25,000 of pre-seed funding from TEDCO on July 1, 2021.",Seed Round,TEDCO (Jack Schammel),Actual,0.03,01-Jul-2021,175763-98T,460279-54
Celcy,"The company raised $82,500 of venture funding from W Ventures and other undisclosed investors on August 26, 2021. The amount was originally raised in the form of convertible debt and subsequently got converted into equity.",Early Stage VC,W Ventures (Baltimore) (David Warschawki),Actual,0.08,26-Aug-2021,179134-48T,460279-54
Celcy,The company joined Redbud VC as a part of its Cohort III in approximately March 2023.,Accelerator/Incubator,Redbud VC,,,01-Mar-2023,218429-11T,460279-54
Celcy,The company joined gener8tor as a part of its 1915 Studios Fall 2022 cohort in September 2022. No equity or funding was exchanged as a result of this program.,Accelerator/Incubator,gener8tor,,,01-Sep-2022,276820-66T,460279-54
Celcy,"The company graduated from StarTUp Accelerator as a part of its Summer Cohort 2023 and received $10,000 in funding.",Accelerator/Incubator,StarTUp Accelerator (Towson University),Actual,0.01,01-Jan-2023,280790-38T,460279-54
CurieDx,"The company received $550,000 of grant funding from National Science Foundation on October 1, 2023.",Grant,U. S. National Science Foundation,Actual,0.55,01-Oct-2023,244212-31T,483429-16
CurieDx,"The company received an undisclosed amount of grant funding from National Science Foundation on May 31, 2023.",Grant,U. S. National Science Foundation,,,31-May-2023,248487-49T,483429-16
