Incorporation Year,Street Address,Industry,Annual Revenue Range,Legal Name,Description,Employees,Status,Company Website,Account Name,City,State
2015,,Information Technology,,,"Developer of artificial intelligence and machine learning-based financial technology software based in Austin, Texas. The company provides investment processes and bespoke management tools, enabling its financial industry clients to achieve increased profitability and enhanced shareholder value in both the buy- and sell-side financial markets.",,Generating Revenue,www.aim-squared.com,AIM2,Austin,Texas
2024,The Technology Center at Innovation Park,Healthcare,,"Atlas Biologics, LLC","Developer of preclinical assays intended for drug discovery. The company specializes in oncology and is currently commercializing a drug screening platform that evaluates targeted therapies for chronic myeloid leukemia and non-small cell lung carcinoma, it is commercializing a drug screening platform that evaluates targeted therapies for chronic myeloid leukemia and non-small cell lung carcinoma, identifying mutations in the target oncogene that will drive clinical resistance, enabling patients by bringing better therapeutics to them faster and more efficiently.",2,Startup,www.atlasbio.tech,Atlas Biotech,State College,Pennsylvania
2018,1746 Crofton Parkway,Consumer Products and Services (B2C),,"Codeplay, LLC","Operator of an educational platform intended to offer online coding lessons for kids and teenagers. The company's platform provides after-school coding classes via video conferencing, enabling students to get the opportunity to take live online coding courses from real computer scientists and engineers.",,Out of Business,www.codeandplayclub.com,Code&Play,Crofton,Maryland
2024,2222 Sears St,Information Technology,,,"Operator of partnership consultancy services aimed at enhancing vendor transactions. The company provides partner matching, strategic guidance, real-time tracking, and continuous improvement based on key performance indicators (KPIs) and feedback, serving businesses seeking to optimize their vendor relationships. Their expertise in performance metrics ensures effective collaboration and value generation within partnerships.",,,copact.ai,CoPact,Philadelphia,Pennsylvania
2022,1576 Sweet Home Road,Materials and Resources,,Copprium Inc.,"Manufacturer of conductive copper inks designed to be an alternative to traditional silver-based inks used in electronics manufacturing. The company's ink is formulated with copper nanoparticles, these ink features better conductivity, solderability, and resistance to corrosion while being adaptable to a range of applications and anti-oxidative, enabling electronics manufacturers to streamline production processes, reduce costs, and improve product performance.",3,Generating Revenue,www.copprium.com,Copprium,Buffalo,New York
2024,,Healthcare,,Dorsal Health Inc.,"Developer of an AI medical bill negotiations platform designed to help people get a fair price for their procedures and medications. The company's platform offers features such as eliminating flag billing errors and showing hidden discounts, negotiating savings, creating an account and comparing and sharing anonymized medical bills, offering real-time bill auditing and lower rates and more.",,Generating Revenue,www.dorsal.fyi,Dorsal.fyi,Santa Clara,California
1998,,Business Products and Services (B2B),,,"The company primarily operates in the Media and Information Services (B2B) industry. Erickson Barnett was founded in 1998 and is headquartered in Reston, VA.",,,ericksonbarnett.com,Erickson Barnett (closed in 2009),Reston,Virginia
2019,91 43rd Street,Business Products and Services (B2B),,Estat Actuation Inc.,"Developer of electroadhesive clutches designed to reduce the size and cost of actuators. The company's product offers engineers actuation hardware that makes their robot or machine more capable and affordable, enabling clients to access lightweight, low-power clutches and actuators.",11,Generating Revenue,www.estat.tech,ESTAT Actuation,Pittsburgh,Pennsylvania
2011,"7719 Graphics Way, Lewis Center",Business Products and Services (B2B),,"Fabrisonic, LLC","Developer of 3D metal printing technology designed to offer an alternative to traditional fabrication techniques. The company uses low-temperature ultrasonic additive manufacturing technology to allow dissimilar metals to join without metallurgical mismatch issues, enabling companies to use printing services for a wide range of metals.",9,Generating Revenue,www.fabrisonic.com,Fabrisonic,Columbus,Ohio
2017,Post Office Box 1245,Information Technology,"$100,000 to $1 Million","Giv Local, LLC","Manufacturer of electronic devices intended to provide payment processing solutions. The company offers hardware solutions to make payments for both retail and commercial services, thereby helping to seamlessly accept online and card payments.",4,Generating Revenue,www.givlocal.com,Giv Local,State College,Pennsylvania
