company,dealSynopsis,dealType,investors,dealSizeStatus,dealSize,dealDate,dealPbId,companyPbId
AIM2,The company was created as a platform by Brevan Howard Asset Management and Mr. Karim Khiar in 2015.,Platform Creation,Brevan Howard Asset Management (Alan Howard),,,01-Jan-2015,167325-04T,461910-88
AIM2,"The company received an estimated $10 million of development capital from Nomura Securities on February 21, 2019.",PE Growth/Expansion,Nomura Holdings (TKS: 8604),Estimated,10.00,21-Feb-2019,167333-95T,461910-88
AIM2,"The company was acquired by SparkCognition on February 23, 2021 for an undisclosed sum.",Merger/Acquisition,Avathon (Amir Husain),,,23-Feb-2021,167334-94T,461910-88
Atlas Biotech,"The company joined Penn State Research Foundation as part of its 2024 Summer Founders Program on August 7, 2024 and received $15,000 in funding in the form of a grant.",Accelerator/Incubator,Penn State Research Foundation,Actual,0.02,07-Aug-2024,270163-54T,638358-31
Atlas Biotech,"The company received $2.4 million of grant funding from National Cancer Institute on June 1, 2024.",Grant,National Cancer Institute,Actual,2.40,01-Jun-2024,270700-30T,638358-31
Atlas Biotech,"The company completed a $100,000 of debt financing on an undisclosed date.",Debt - General,,Actual,0.10,,270700-93T,638358-31
Code&Play,"The company joined TERP Startup Laboratory as part of its 2019 Cohort on June 26, 2019 and received $5,000 in grant funding.",Accelerator/Incubator,TERP Startup Laboratory,Actual,0.01,26-Jun-2019,254837-71T,590409-64
Code&Play,"The company is no longer actively in business as of March 20, 2024.",Out of Business,,,,20-Mar-2024,254840-86T,590409-64
Code&Play,The company joined Startup Shell on an undisclosed date. No equity or funding was exchanged as a result of this program.,Accelerator/Incubator,Startup Shell,,,,288559-99T,590409-64
Copprium,"The company joined University at Buffalo on December 19, 2023 and received $100,000 in funding, putting the company's pre-money valuation at $5 million.",Accelerator/Incubator,University at Buffalo (David Thiemecke),Actual,0.10,19-Dec-2023,251933-50T,558787-60
Copprium,The company is reportedly seeking venture funding from undisclosed investors.,Early Stage VC,,,,,256144-33T,558787-60
Copprium,"The company joined State University of New York as a part of its Class of 2024 Demo Day on August 19, 2024 and received $50,000 in funding.",Accelerator/Incubator,State University of New York,Actual,0.05,19-Aug-2024,284861-53T,558787-60
ESTAT Actuation,"The company joined AlphaLab Gear on June 25, 2019 and received $50,000 in funding.",Accelerator/Incubator,Innovation Works,Actual,0.05,25-Jun-2019,123265-72T,279641-44
ESTAT Actuation,"The company received $350,000 of grant funding from United States Department of Defense and National Science Foundation on January 20, 2020.",Grant,"U. S. National Science Foundation, United States Department of Defense",Actual,0.35,20-Jan-2020,139060-81T,279641-44
ESTAT Actuation,"The company raised $100,000 of seed funding from Monozukuri Ventures, Innovation Works and Goldin Ventures on October 11, 2021. Other undisclosed investors also participated in the round.",Seed Round,"Goldin Ventures, Innovation Works, Monozukuri Ventures",Actual,0.10,11-Oct-2021,170370-46T,279641-44
ESTAT Actuation,"The company raised $1.2 million of seed funding from Innovation Works, 412 Venture Fund and Monozukuri Ventures on September 22, 2021. TSVC, 99 Tartans and Goldin Ventures also participated in the round. The total amount was originally raised in the form of convertible debt and subsequently converted to equity.",Seed Round,"412 Venture Fund (Ilana Diamond), 99 Tartans (Bruce Gebhardt), Goldin Ventures (Michael Doyle), Innovation Works (Ven Raju), Monozukuri Ventures (Nobuhiro Seki), TSV Capital (Los Altos) (Charles Shao)",Actual,1.20,22-Sep-2021,180539-92T,279641-44
ESTAT Actuation,"The company raised an undisclosed amount of seed funding through a combination of convertible debt and equity from Reinforced Ventures, M7 Ace Neo, Innovation Works on March 23, 2023. Out of the total funding $866,000 was raised in the form of convertible debt.",Seed Round,"Innovation Works, M7 Ace Neo, Reinforced Ventures",,,23-Mar-2023,219077-29T,279641-44
ESTAT Actuation,"The company received $249,874 of SBIR Phase I grant funding from United States Department of Defense on October 22, 2022.",Grant,United States Department of Defense,Actual,0.25,22-Oct-2022,219080-62T,279641-44
ESTAT Actuation,"The company joined Plug and Play Tech Center as a part of its Accelerator Program Summer/Fall 2023 Batch 5 on June 1, 2023.",Accelerator/Incubator,Plug and Play Tech Center,,,01-Jun-2023,265001-77T,279641-44
ESTAT Actuation,The company joined Creative Destruction Lab as a part of its Cohort 2022/23 in 2022.,Accelerator/Incubator,Creative Destruction Lab,,,01-Jan-2022,265002-58T,279641-44
ESTAT Actuation,"The company joined Robotics Factory as a part of Scale Program Residency Pilot Cohort on March 7, 2024.",Accelerator/Incubator,Robotics Factory (Kevin Dowling),,,07-Mar-2024,265004-11T,279641-44
ESTAT Actuation,The company joined VentureBridge Program as a aprt of 2021 Cohort. No equity or funding was exchanged as a result of this program.,Accelerator/Incubator,VentureBridge Program,,,01-Jan-2021,266398-84T,279641-44
Fabrisonic,The company was formed as a joint venture between EWI and Solidica in 2011,Joint Venture,"Edison Welding Institute, Solidica",,,01-Jan-2011,82719-64T,98420-41
Fabrisonic,The company raised venture funding from North Coast Technology Investors on an undisclosed date.,Later Stage VC,North Coast Technology Investors (Hugo Braun),,,,82721-44T,98420-41
Fabrisonic,"The company received an undisclosed amount of debt financing in the form of a loan from Edison Welding Institute on December 16, 2016.",Debt - General,,,,16-Dec-2016,105708-43T,98420-41
Fabrisonic,"The company was acquired by United Performance Metals for an undisclosed amount on March 18, 2025.",Merger/Acquisition,United Performance Metals (Peter Neuberger),,,18-Mar-2025,288418-15T,98420-41
Global Key Solutions,"The company joined Element 46 Tech Accelerator as part of its Fall 2024 Cohort on October 30, 2024. No equity or funding was exchanged as a result of this program.",Accelerator/Incubator,Element 46 Tech Accelerator (George Latimer),,,30-Oct-2024,288328-87T,714881-98
Hymotion,"The company was acquired by A123 Systems for $100,000 on May 3, 2007. A123 Systems is backed by several venture investors. The acquisition provides A123Systems access to Plug-in Hybrid systems technology as well as experience with engineering Battery Range Extender Modules using A123Systems Automotive Class Lithium Ion batteries.",Merger/Acquisition,A123 Systems,Actual,0.10,03-May-2007,67713-58T,91121-41
Icarus Robotics,"The company graduated from Entrepreneur First on January 28, 2025 and received an undisclosed amount in funding.",Accelerator/Incubator,Entrepreneur First,,,28-Jan-2025,289363-06T,769685-68
Icarus Robotics,"The company raised an undisclosed amount of venture funding from Soma Capital, Xtal Ventures and Nebular in approximately March 2025. Massive Tech Ventures Management and other undisclosed investors also participated in the round.",Early Stage VC,"Massive Tech Ventures Management, Nebular, Soma Capital, Xtal Ventures",,,01-Mar-2025,289363-87T,769685-68
InceptEV,"The company received $5,000 of grant funding from West Virginia University (Transtech Energy ) in approximately 2022.",Grant,West Virginia University (Transtech Energy ),Actual,0.01,01-Jan-2022,217824-85T,521209-54
InceptEV,"The company joined National Science Foundation Innovation Corps Program as a part of the NSF I-Corps Summer 2023 Program on July 1, 2023.",Accelerator/Incubator,National Science Foundation Innovation Corps Program,,,01-Jul-2023,248572-54T,521209-54
InceptEV,The company joined National Science Foundation Innovation Corps Program as a part of its NSF I-Corps Spring 2023 Cohort Program.,Accelerator/Incubator,National Science Foundation Innovation Corps Program,,,01-Jan-2023,248734-81T,521209-54
InceptEV,The company joined Cleantech Open on an undisclosed date.,Accelerator/Incubator,Cleantech Open,,,,248737-87T,521209-54
InceptEV,"The company raised $50,000 of venture funding from Innovation Works on June 29, 2023.",Early Stage VC,Innovation Works,Actual,0.05,29-Jun-2023,249346-81T,521209-54
