Company Name,uei,award_title,agency,branch,phase,program,agency_tracking_number,contract,proposal_award_date,contract_end_date,solicitation_number,solicitation_year,topic_code,award_year,award_amount,award_link
MIZAR THERAPEUTICS INC.,QTYLAVN4EJR6,Mizar S/TAR High-Throughput Platform for Identification of Senescence Altering Therapeutics,NASA,,Phase I,SBIR,24H12081004,80NSSC24PB376,2024-08-05,2025-02-06,SBIR-2024-Phase 1,2024,H12,2024,155536.0000,212229
ACCUNOVO BIOTECHNOLOGIES INC,DAF9XL6P2BG5,Theranostic NTSR1-targeting Agents for Complementary Management of PSMA-negative Prostate Cancer,HHS,NIH,Phase I,SBIR,R43CA261503,1R43CA261503-01A1,2022-04-05,2023-03-31,PA21-259,2021,NCI,2022,376447.0000,200505
ACCUNOVO BIOTECHNOLOGIES INC,DAF9XL6P2BG5,Theranostic NTSR1-targeting Agents for Complementary Management of PSMA-negative Prostate Cancer,HHS,NIH,Phase I,SBIR,R43CA261503,1R43CA261503-01A1,2022-04-05,2023-03-31,PA21-259,2021,NCI,2022,376447.0000,200505
"CurieDx, Inc",QUJ8BQ1CFAS2,SBIR Phase I:Development of a Machine Learning System to Identify Streptococcal Pharyngitis with a Smartphone Image,NSF,,Phase I,SBIR,2304268,2304268,2023-06-01,2024-05-31,NSF 22-551,2022,DH,2023,275000.0000,201598
"CurieDx, Inc",QUJ8BQ1CFAS2,SBIR Phase I:Development of a Machine Learning System to Identify Streptococcal Pharyngitis with a Smartphone Image,NSF,,Phase I,SBIR,2304268,2304268,2023-06-01,2024-05-31,NSF 22-551,2022,DH,2023,275000.0000,201598
"Prompt Diagnostics, Inc.",L28FVGJ715D7,SBIR Phase I:Hybrid DNA-protein quantification platform for point-of-care diagnosis of syphilis and human immunodeficiency viruses (HIV),NSF,,Phase I,SBIR,2232930,2232930,2023-02-01,2024-07-31,NSF 22-551,2022,BM,2023,255667.0000,201618
"Prompt Diagnostics, Inc.",L28FVGJ715D7,Portable magnetofluidic platform for rapid multiplexed detection of sexually transmitted infections,HHS,NIH,Phase I,SBIR,R43AI170336,1R43AI170336-01A1,2022-08-10,2023-01-31,PA21-259,2021,NIAID,2022,258558.0000,200812
"Prompt Diagnostics, Inc.",L28FVGJ715D7,"Magnetofluidic Platform for Rapid, Portable, Point-of-Care C. auris Diagnostics",HHS,CDC,Phase I,SBIR,75D30122P14799,75D30122P14799,,,PHS 2022-1,2021,28,2022,243179.0000,197934
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision screening in self-collected samples to reduce cervical cancer disparities among Latinas,HHS,NIH,Phase I,STTR,R42MD018231,1R42MD018231-01,2024-06-01,2024-11-30,MD22-003,2022,102,2024,275767.0000,212830
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision DNA methylation test to reduce oral cancer disparities in African Americans patients residing in low-resource settings,HHS,NIH,Phase I,SBIR,R44CA281719,1R44CA281719-01,2023-09-20,2024-02-29,PA22-176,2022,102,2023,292486.0000,203332
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision methylation biomarkers for cervical cancer prevention in low resource settings in Latin America,HHS,NIH,Phase II,SBIR,R44CA254690,4R44CA254690-02,2022-06-01,2024-05-31,PA20-260,2020,102,2022,2000000.0000,201045
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision methylation biomarkers for cervical cancer prevention in low resource settings in Latin America,HHS,NIH,Phase I,SBIR,R44CA254690,1R44CA254690-01A1,2021-09-15,2022-02-28,PA20-260,2020,102,2021,399998.0000,193492
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision methylation biomarkers linked to cancer disparities,HHS,NIH,Phase II,SBIR,R44MD014911,4R44MD014911-02,2020-06-01,2022-05-31,MD19-001,2019,102,2020,1536275.0000,183167
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision methylation biomarkers linked to cancer disparities,HHS,NIH,Phase I,SBIR,R44MD014911,1R44MD014911-01,2019-09-24,2020-06-30,MD19-001,2019,102,2019,206042.0000,176697
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision screening in self-collected samples to reduce cervical cancer disparities among Latinas,HHS,NIH,Phase I,STTR,R42MD018231,1R42MD018231-01,2024-06-01,2024-11-30,MD22-003,2022,102,2024,275767.0000,212830
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision DNA methylation test to reduce oral cancer disparities in African Americans patients residing in low-resource settings,HHS,NIH,Phase I,SBIR,R44CA281719,1R44CA281719-01,2023-09-20,2024-02-29,PA22-176,2022,102,2023,292486.0000,203332
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision methylation biomarkers for cervical cancer prevention in low resource settings in Latin America,HHS,NIH,Phase II,SBIR,R44CA254690,4R44CA254690-02,2022-06-01,2024-05-31,PA20-260,2020,102,2022,2000000.0000,201045
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision methylation biomarkers for cervical cancer prevention in low resource settings in Latin America,HHS,NIH,Phase I,SBIR,R44CA254690,1R44CA254690-01A1,2021-09-15,2022-02-28,PA20-260,2020,102,2021,399998.0000,193492
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision methylation biomarkers linked to cancer disparities,HHS,NIH,Phase II,SBIR,R44MD014911,4R44MD014911-02,2020-06-01,2022-05-31,MD19-001,2019,102,2020,1536275.0000,183167
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision methylation biomarkers linked to cancer disparities,HHS,NIH,Phase I,SBIR,R44MD014911,1R44MD014911-01,2019-09-24,2020-06-30,MD19-001,2019,102,2019,206042.0000,176697
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision screening in self-collected samples to reduce cervical cancer disparities among Latinas,HHS,NIH,Phase I,STTR,R42MD018231,1R42MD018231-01,2024-06-01,2024-11-30,MD22-003,2022,102,2024,275767.0000,212830
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision DNA methylation test to reduce oral cancer disparities in African Americans patients residing in low-resource settings,HHS,NIH,Phase I,SBIR,R44CA281719,1R44CA281719-01,2023-09-20,2024-02-29,PA22-176,2022,102,2023,292486.0000,203332
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision methylation biomarkers for cervical cancer prevention in low resource settings in Latin America,HHS,NIH,Phase II,SBIR,R44CA254690,4R44CA254690-02,2022-06-01,2024-05-31,PA20-260,2020,102,2022,2000000.0000,201045
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision methylation biomarkers for cervical cancer prevention in low resource settings in Latin America,HHS,NIH,Phase I,SBIR,R44CA254690,1R44CA254690-01A1,2021-09-15,2022-02-28,PA20-260,2020,102,2021,399998.0000,193492
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision methylation biomarkers linked to cancer disparities,HHS,NIH,Phase II,SBIR,R44MD014911,4R44MD014911-02,2020-06-01,2022-05-31,MD19-001,2019,102,2020,1536275.0000,183167
"LIFEGENE- BIOMARKS, INC",GGR9ABCTBGG5,Precision methylation biomarkers linked to cancer disparities,HHS,NIH,Phase I,SBIR,R44MD014911,1R44MD014911-01,2019-09-24,2020-06-30,MD19-001,2019,102,2019,206042.0000,176697
