uei,recipient_id,name,duns,address_line1,address_line2,city,state,zip,congressional_code
QH88DLKTLQM6,304bbef5-daea-8698-2305-1150b798254a-R,"NANOCRINE, INC.",117497549.0,4359 METROPOLITAN CT # 260,,FREDERICK,MD,21704,6
LL34B99KR2R4,6e554dd5-dcce-ec4d-3266-32201d7de6a1-C,MOLECULAR REBAR DESIGN LLC,78712611.0,13477 FITZHUGH RD,,AUSTIN,TX,78736,21
L28FVGJ715D7,fc0e05a0-19a2-7f5b-d32d-77bd4f754c69-C,"PROMPT DIAGNOSTICS, INC.",105269595.0,2401 W BELVEDERE AVE,SCHAPIRO BUILDING ROOM 313,BALTIMORE,MD,21215,7
LM98CNVAUTG5,4477dcb3-4cb3-b9ab-092c-f4864ecbbdf5-C,IM TECHNOLOGIES LLC,117200978.0,24 ROBINSON ST,,SHOREHAM,NY,11786,1
DAF9XL6P2BG5,e78952b0-b6c6-e47a-854d-b22780800b21-R,ACCUNOVO BIOTECHNOLOGIES INC,53776397.0,211 LAKE MANOR RD,,CHAPEL HILL,NC,27516,4
VF8ZC4A4ZWL9,9aee0a29-720f-6401-bfb2-eb26bf0967b4-C,SAFETYSPECT INC,80562947.0,4200 JAMES RAY DR,,GRAND FORKS,ND,58202,0
UFHYM6EJN7L3,75e22d86-5630-5fce-c47f-5e884f2c8476-C,"MELATECH, L.L.C.",81262454.0,615 N WOLFE ST,STE E5132,BALTIMORE,MD,21205,7
JBJ7EF1MD9P1,7ea0b0d3-8c3f-fc4f-0170-65795b4ce9e6-R,SORBENTA INC,,107 E POPLAR AVE,107 E POPLAR AVE,CARRBORO,NC,27510,4
ESP6ZKMSMQK8,4bc950cf-90a2-dd98-1a3e-515a6b2d06f8-C,CREEKSIDE ENVIRONMENTAL PRODUCTS LLC,80290127.0,1 SOUTHERN CSWY,,STARKVILLE,MS,39759,3
NMDVSFDSVCB4,cb2b49f8-b7f5-9396-bb65-0ed5fa471e1f-C,AXNANO LLC,969638274.0,2901 E GATE CITY BLVD,STE 2200,GREENSBORO,NC,27401,6
ZWK6WMUV43G5,487733fc-c1cc-6704-2e11-cc6c35a149f5-R,TELOHEALTHDX LLC,,23003 FREDERICK RD,23003 FREDERICK RD,CLARKSBURG,MD,20871,6
E8DMQP3A2W74,1245d795-9980-c302-ab23-39fa26acbe49-C,"FOREVER ANALYTICAL SERVICES, INC.",,1400 E. ANGELA BLVD.,,SOUTH BEND,IN,46617,2
D6P3UNRMJU97,4fdf6b1d-64b1-3010-f2a6-5833c1ee42dd-C,SANITARY GREEN INCORPORATED,117135816.0,2447 NE 4TH ST,STE 120,BEND,OR,97701,5
LDHKC12HSJ86,d454ea06-acef-80ee-d5ff-5be40f735364-C,PREDICTIVE LLC,117131092.0,2806 TREASURES LN,,RALEIGH,NC,27614,2
X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,VISIMO LLC,16990771.0,520 E MAIN ST,,CARNEGIE,PA,15106,17
QUJ8BQ1CFAS2,89c9753f-a5ae-cb41-ecbb-9b7520583b6d-C,"CURIEDX, INC",102429643.0,634 REGESTER AVE,,BALTIMORE,MD,21212,2
PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,HOLOCHIP CORP,118922413.0,4030 SPENCER ST STE 102,,TORRANCE,CA,90503,36
U3VRD1T9Q6H9,6c6e8257-d0e1-8069-5ccf-6d8d35dbcec2-C,MATERIAL REUSE LLC,,1406 NE 7TH ST,,GAINESVILLE,FL,32601,3
Y3M9AQF9LKJ4,c0b46bbd-36fa-68aa-aee2-4b9b8e671be4-C,ACADIAN RESEARCH & DEVELOPMENT LLC,117322893.0,1482 COMMERCE DR,UNIT X,LARAMIE,WY,82070,0
FE9HTJ2TLGY5,b6fff486-fd26-47b8-3318-fff7b2d66274-R,NEUROENE THERAPEUTICS INC,79882306.0,3 TORRANCE CT,,KENSINGTON,MD,20895,8
QTYLAVN4EJR6,6c048171-cf4c-37c1-5058-d819ae59882b-C,MIZAR THERAPEUTICS INC.,,7 MBL ST,LILLIE 220,WOODS HOLE,MA,2543,9
P25AZ6WDJ589,5f5cffba-779d-20dd-6184-889c500b3e9e-C,"PFF, LLC",80531842.0,7811 HUBBLE DR,,LANHAM,MD,20706,4
GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,LIFEGENE- BIOMARKS INC,968756119.0,1612 AVE PONCE DE LEON,,SAN JUAN,PR,909,98
