internal_id,Recipient Name,Recipient UEI,recipient_id,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
111184147,SANITARY GREEN INCORPORATED,D6P3UNRMJU97,4fdf6b1d-64b1-3010-f2a6-5833c1ee42dd-C,2023-10-17,2025-10-16,399618.0,Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,,Environmental Protection Agency,Environmental Protection Agency,700,environmental-protection-agency,CONT_AWD_68HERC24C0001_6800_-NONE-_-NONE-
111183560,SANITARY GREEN INCORPORATED,D6P3UNRMJU97,4fdf6b1d-64b1-3010-f2a6-5833c1ee42dd-C,2022-12-12,2023-06-11,99990.0,Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,,Environmental Protection Agency,Environmental Protection Agency,700,environmental-protection-agency,CONT_AWD_68HERC23C0010_6800_-NONE-_-NONE-
171175115,"PFF, LLC",P25AZ6WDJ589,5f5cffba-779d-20dd-6184-889c500b3e9e-C,2025-06-01,2026-05-31,451872.0,Department of Health and Human Services,Office of the Assistant Secretary for Administration,DEFINITIVE CONTRACT,,Department of Health and Human Services,Office of the Assistant Secretary for Administration,806,department-of-health-and-human-services,CONT_AWD_75P00125C00010_7570_-NONE-_-NONE-
171175115,"PFF, LLC",P25AZ6WDJ589,5f5cffba-779d-20dd-6184-889c500b3e9e-C,2025-06-01,2026-05-31,451872.0,Department of Health and Human Services,Office of the Assistant Secretary for Administration,DEFINITIVE CONTRACT,,Department of Health and Human Services,Office of the Assistant Secretary for Administration,806,department-of-health-and-human-services,CONT_AWD_75P00125C00010_7570_-NONE-_-NONE-
167044940,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2022-05-16,2023-07-17,577495.39,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W52P1J22C0033_9700_-NONE-_-NONE-
167043963,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2021-02-26,2022-02-25,642829.2,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W52P1J21C0022_9700_-NONE-_-NONE-
131180590,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-11-15,2025-05-14,146455.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,Department of Defense,Department of the Navy,1173,department-of-defense,CONT_AWD_N6833525C0015_9700_-NONE-_-NONE-
131179482,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-07-15,2025-01-15,139927.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,Department of Defense,Department of the Navy,1173,department-of-defense,CONT_AWD_N6833524C0458_9700_-NONE-_-NONE-
126473454,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2023-08-18,2024-04-20,254957.04,Department of Defense,Defense Human Resources Activity,DEFINITIVE CONTRACT,,Department of Defense,Defense Human Resources Activity,1173,department-of-defense,CONT_AWD_H9821023C0013_9700_-NONE-_-NONE-
118691042,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2023-02-03,2024-05-10,990288.0,Department of Defense,Department of the Air Force,PURCHASE ORDER,,Department of Defense,Department of the Air Force,1173,department-of-defense,CONT_AWD_FA864923P0469_9700_-NONE-_-NONE-
111992766,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2024-08-07,2025-02-06,159999.0,National Aeronautics and Space Administration,National Aeronautics and Space Administration,PURCHASE ORDER,,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_AWD_80NSSC24PB331_8000_-NONE-_-NONE-
111184722,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2024-10-18,2027-10-17,500000.0,Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,,Environmental Protection Agency,Environmental Protection Agency,700,environmental-protection-agency,CONT_AWD_68HERC25C0004_6800_-NONE-_-NONE-
111184164,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2023-12-01,2024-05-31,99999.96,Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,,Environmental Protection Agency,Environmental Protection Agency,700,environmental-protection-agency,CONT_AWD_68HERC24C0018_6800_-NONE-_-NONE-
