internal_id,Recipient Name,Recipient UEI,recipient_id,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
91358082,NEUROENE THERAPEUTICS INC,FE9HTJ2TLGY5,b6fff486-fd26-47b8-3318-fff7b2d66274-R,2016-07-01,2021-07-31,1561442.64,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R44NS097047_7529
91341580,NEUROENE THERAPEUTICS INC,FE9HTJ2TLGY5,b6fff486-fd26-47b8-3318-fff7b2d66274-R,2023-05-18,2025-04-30,598010.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R43AI176434_7529
91338289,NEUROENE THERAPEUTICS INC,FE9HTJ2TLGY5,b6fff486-fd26-47b8-3318-fff7b2d66274-R,2016-07-01,2017-06-30,224803.0,Department of Health and Human Services,National Institutes of Health,,,,,806,department-of-health-and-human-services,ASST_NON_R41NS097047_7529
56626605,SANITARY GREEN INCORPORATED,D6P3UNRMJU97,4fdf6b1d-64b1-3010-f2a6-5833c1ee42dd-C,2022-03-01,2027-08-31,1519884.0,National Science Foundation,National Science Foundation,,COOPERATIVE AGREEMENT (B),National Science Foundation,National Science Foundation,655,national-science-foundation,ASST_NON_2136477_4900
56273970,SANITARY GREEN INCORPORATED,D6P3UNRMJU97,4fdf6b1d-64b1-3010-f2a6-5833c1ee42dd-C,2020-06-01,2021-05-31,249999.0,National Science Foundation,National Science Foundation,,PROJECT GRANT (B),,,655,national-science-foundation,ASST_NON_2015153_4900
89705849,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-08-01,2025-01-31,174747.0,Department of Commerce,National Oceanic and Atmospheric Administration,,PROJECT GRANT (B),Department of Commerce,National Oceanic and Atmospheric Administration,183,department-of-commerce,ASST_NON_NA24OARX021G0015_1330
81367949,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-07-22,2025-04-21,256486.0,Department of Energy,Department of Energy,,PROJECT GRANT (B),Department of Energy,Department of Energy,930,department-of-energy,ASST_NON_DESC0025082_8900
81367629,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-02-12,2024-11-11,206500.0,Department of Energy,Department of Energy,,PROJECT GRANT (B),Department of Energy,Department of Energy,930,department-of-energy,ASST_NON_DESC0024747_8900
81365363,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2022-02-14,2025-04-02,1293971.0,Department of Energy,Department of Energy,,PROJECT GRANT (B),Department of Energy,Department of Energy,930,department-of-energy,ASST_NON_DESC0022413_8900
56341279,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-07-01,2025-06-30,181500.0,Department of Agriculture,National Institute of Food and Agriculture,,PROJECT GRANT (B),Department of Agriculture,National Institute of Food and Agriculture,95,department-of-agriculture,ASST_NON_20245140241789_12H3
