internal_id,Recipient Name,Recipient UEI,recipient_id,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
91353391,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,2021-09-15,2022-05-31,2399998.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R44CA254690_7529
91339342,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,2024-06-01,2026-11-30,1259574.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R42MD018231_7529
91357446,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,2019-09-24,2022-05-31,1742317.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R44MD014911_7529
91353513,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,2023-09-20,2027-05-31,1205344.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R44CA281719_7529
91353391,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,2021-09-15,2022-05-31,2399998.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R44CA254690_7529
91339342,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,2024-06-01,2026-11-30,1259574.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R42MD018231_7529
91357446,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,2019-09-24,2022-05-31,1742317.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R44MD014911_7529
91353513,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,2023-09-20,2027-05-31,1205344.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R44CA281719_7529
91353391,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,2021-09-15,2022-05-31,2399998.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R44CA254690_7529
91339342,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,2024-06-01,2026-11-30,1259574.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R42MD018231_7529
