internal_id,Recipient Name,Recipient UEI,recipient_id,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
89705849,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-08-01,2025-01-31,174747.0,Department of Commerce,National Oceanic and Atmospheric Administration,,PROJECT GRANT (B),Department of Commerce,National Oceanic and Atmospheric Administration,183,department-of-commerce,ASST_NON_NA24OARX021G0015_1330
81367949,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-07-22,2025-04-21,256486.0,Department of Energy,Department of Energy,,PROJECT GRANT (B),Department of Energy,Department of Energy,930,department-of-energy,ASST_NON_DESC0025082_8900
81367629,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-02-12,2024-11-11,206500.0,Department of Energy,Department of Energy,,PROJECT GRANT (B),Department of Energy,Department of Energy,930,department-of-energy,ASST_NON_DESC0024747_8900
81365363,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2022-02-14,2025-04-02,1293971.0,Department of Energy,Department of Energy,,PROJECT GRANT (B),Department of Energy,Department of Energy,930,department-of-energy,ASST_NON_DESC0022413_8900
56341279,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-07-01,2025-06-30,181500.0,Department of Agriculture,National Institute of Food and Agriculture,,PROJECT GRANT (B),Department of Agriculture,National Institute of Food and Agriculture,95,department-of-agriculture,ASST_NON_20245140241789_12H3
56336608,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2023-09-01,2025-08-31,644705.0,Department of Agriculture,National Institute of Food and Agriculture,,PROJECT GRANT (B),Department of Agriculture,National Institute of Food and Agriculture,95,department-of-agriculture,ASST_NON_20233941040700_12H3
56332663,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2022-07-01,2023-02-28,123680.0,Department of Agriculture,National Institute of Food and Agriculture,,PROJECT GRANT (B),Department of Agriculture,National Institute of Food and Agriculture,95,department-of-agriculture,ASST_NON_20224000036950_12H3
89705849,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-08-01,2025-01-31,174747.0,Department of Commerce,National Oceanic and Atmospheric Administration,,PROJECT GRANT (B),Department of Commerce,National Oceanic and Atmospheric Administration,183,department-of-commerce,ASST_NON_NA24OARX021G0015_1330
81367949,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-07-22,2025-04-21,256486.0,Department of Energy,Department of Energy,,PROJECT GRANT (B),Department of Energy,Department of Energy,930,department-of-energy,ASST_NON_DESC0025082_8900
81367629,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2024-02-12,2024-11-11,206500.0,Department of Energy,Department of Energy,,PROJECT GRANT (B),Department of Energy,Department of Energy,930,department-of-energy,ASST_NON_DESC0024747_8900
