company,businessStatus,employees,description,legalName,revenue,primaryIndustrySector,hqAddressLine1,hqLocation,companyWebsite
Datasembly,Generating Revenue,72,"Developer of a data analytics platform designed to offer real-time data to make real-life decisions. The company offers a data-as-a-service model by leveraging natural language processing and machine learning techniques to transform disparate data into organized information, enabling clients to get in-store and real-time, pricing, promotions, and availability data, without stepping foot in a store.","Datasembly, Inc.",,Information Technology,1775 Tysons Boulevard,"Tysons, VA",www.datasembly.com
Ion Storage Systems,Generating Revenue,71,"Developer of solid-state batteries intended to select cathode materials based on application. The company's batteries are designed as two sponges on either side of a thin ceramic separator, made from low-cost materials that are completely non-flammable and are safe, light, and small for consumer electronics and electric vehicles, enabling defense and aerospace industries to meet mission-critical energy dense and safe batteries that can be deployed in any environment.","Ion Storage Systems, LLC",,Business Products and Services (B2B),12500 Baltimore Avenue,"Beltsville, MD",www.ionstoragesystems.com
Loop (Automotive Insurance),Generating Revenue,52,"Provider of auto insurance services intended to leverage artificial intelligence, big data, and telematics to create more fairly priced insurance products. The company's service provides an artificial intelligence-based approach to pricing measures road safety and its customers' driving behavior on those roads, enabling customers to get quoted instantly, insured within minutes, and receive good customer service.","Loop Mobility, Inc.",,Financial Services,208 Lessin Lane,"Austin, TX",www.ridewithloop.com
Esurgi,Generating Revenue,40,"Operator of a biotech company intended to deliver real-time healthcare to improve lives and the relationship between healthcare providers and their patients. The company specializes in hardware, software, medical devices, injury prevention, ACL, low back pain, physical therapy, and Alzheimer's.","Esurgi, Inc.",,Healthcare,109 Belfast Road,"Lutherville-Timonium, MD",www.myesurgi.com
TDAY Sports,,39,"Operator of a sports media network consisting of 6 brands. Provides daily sports news, highlights, and stories on YouTube, Instagram, and TikTok. Offers brand partnerships.",,,Consumer Products and Services (B2C),,"State College, PA",tdaysports.com
Ashvattha Therapeutics,Clinical Trials - Phase 2,35,"Developer of hydroxyl dendrimer therapeutics designed to meet the unmet medical needs in oncology, ophthalmology and inflammatory diseases. The company's therapeutics selectively target actively endocytosing cells such as reactive microglia and macrophages responsible for chronic inflammation and disease progression within the body, enabling medical practitioners to treat patients with improved efficacy and reduced side effects.","Ashvattha Therapeutics, Inc.",,Healthcare,1235 Radio Road,"Redwood City, CA",www.avttx.com
N5 Sensors,Generating Revenue,35,"Developer of chemical sensor technology intended to keep people safe from environmental hazards through a cloud-connected ecosystem of smarter sensors. The company's technology develops sensors that are built using the same fabrication processes that are commonly used for silicon computer chips and are small and accurate with the capability to detect multiple gases at the same time, enabling industrial workers, first responders, and soldiers to assess the dangers of their surroundings rapidly and accurately in real-time using their smartphones.","N5 Sensors, Inc.",,Information Technology,9605 Medical Center Drive,"Rockville, MD",www.n5sensors.com
Armaments Research Company,Generating Revenue,34,"Developer of a self-aware system designed to protect the lives of national security, public safety, and private security personnel. The company's system consists of a series of small, ruggedized Artificial intelligence-powered sensors built into the grips of a firearm that monitor utilization at the edge and provide analytics and insights using instant notification, enabling clients to save lives and protect people.","Armaments Research Company, Inc.",8.30,Information Technology,5231 57th Avenue South,"Seattle, WA",www.armaments.us
SinnovaTek,Generating Revenue,34,"Developer of food processing technologies designed to promote worldwide health and wellness through sustainable methods. The company provides continuous flow microwave processing systems for ingredient sourcing, product development, and processing, as well as end packaging along with engineering, research, and development assistance, enabling consumer packaged goods brands to launch and test new products in an aseptic format and deliver healthy food.","SinnovaTek, Inc.",0.38,Business Products and Services (B2B),2609 Discovery Drive,"Raleigh, NC",www.sinnovatek.com
DeepMirror (Business/Productivity Software),Generating Revenue,30,"Developer of spatial intelligent technology. The company's spatial intelligence technology integrates 5G technology, artificial intelligence and augmented reality technologies and can be applied in various industries, such as commercial space, entertainment and transportation industry.","Guangzhou DeepMirror Technology Co., Ltd.",,Information Technology,Room 503-506,"Guangzhou, China",www.deepmirror.com
