company,companyPbId,dealPbId,dealDate,dealSize,dealSizeStatus,investors,dealType,dealSynopsis
DNA Analytics,100654-12,40769-56T,01-Jan-2007,1.04,Actual,,Grant,The company received $1.04 million of grant funding from undisclosed grantees in 2007.
DNA Analytics,100654-12,40769-74T,01-Jan-2011,0.92,Actual,,Grant,"The company received $919,971 of grant funding from undisclosed grantees in 2011."
DNA Analytics,100654-12,40769-83T,01-Jan-2013,1.10,Actual,,Grant,The company received $1.10 million of grant funding from an undisclosed grantor in January 2013.
DNA Analytics,100654-12,227698-03T,01-Nov-2022,,,,Secondary Transaction - Private,Maryland Industrial Partnerships sold a stake in the company to an undisclosed buyer in approximately November 2022.
Dockshare,471760-39,178652-26T,17-Aug-2021,0.09,Actual,,Angel (individual),"The company raised $85,000 of angel funding in the form of SAFE Notes from undisclosed investors on August 17, 2021."
Dockshare,471760-39,226650-25T,01-Nov-2023,0.15,Actual,"Cody Heisinger (Cody Heisinger), Dawn Scott (Dawn Scott)",Equity Crowdfunding,"The company raised $148,025 of equity crowdfunding in the form of SAFE Notes from Cody Bartlett Heisinger, Dawn Scott and other undisclosed investors in November 2023. Subsequently it got converted to equity."
Dockshare,471760-39,226650-88T,01-Jul-2020,0.17,Actual,,Capitalization,"The company was capitalized with $165,000 in funding from friends and family in July 2020."
Dockshare,471760-39,258789-61T,01-Dec-2023,0.10,Actual,TEDCO (Jean-Luc Park),Seed Round,"The company raised $100,000 of pre-seed funding from TEDCO."
Dockshare,471760-39,258797-08T,28-Feb-2023,,,Washington Maritime Blue,Accelerator/Incubator,"The company joined Washington Maritime Blue as a aprt of Innovative Maritime Accelerator Program on February 28, 2023."
Door Robotics,279606-34,122574-07T,21-Aug-2019,0.05,Actual,Startup Shell,Angel (individual),"The company raised $50,000 of angel funding from Startup Shell on August 21, 2019. The funding was received in the form of SAFE notes."
Door Robotics,279606-34,132230-17T,30-Nov-2020,0.18,Actual,,Product Crowdfunding,"The company received $183,722 of product crowdfunding via Kickstarter and Indiegogo on November 30, 2020."
