keyword,sam_company,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,congressional_district,state_country_incorporation,match,sam_contacts,sf_company,sf_contacts,matched_company,contact_overlap
AMPX Technologies Inc.,ampx technologies inc,J1T8EM6N9AE5,81C97,"4467 Technology Drive RM 3125,College Park, Maryland,20742-0001, United States","4467 Technology DR RM 3125,College Park, Maryland,20742, United States",,"Jan 18, 2018",Alireza Khaligh,Zeyu Zhang,Maryland 04,"Maryland, United States",1,"['Alireza Khaligh', 'Zeyu Zhang']",ampx technologies inc,['Alireza Khaligh'],,['Alireza Khaligh']
"Vortex Space Systems, LLC",vortex space systems llc,M2A2NQ91DNM9,8LWZ1,"24225 Welsh RD,Gaithersburg, Maryland,20882-3929, United States","24225 Welsh RD,Gaithersburg, Maryland,20882, United States",,"Dec 31, 2018","Dennis S. Lee, Owner","Dennis S. Lee, Owner",Maryland 06,"Maryland, United States",1,['Dennis Lee'],vortex space systems llc,['Dennis Lee'],,['Dennis Lee']
"Campostella Research and Consulting, LLC",campostella research and consulting llc,YPL3PSFKSJ49,,"134 Ike DR,Alexandria, Virginia,22314-4594, United States","134 Ike DR,Alexandria, Virginia,22314-4594, United States",,"May 18, 2020",Eva M Campo,Eva M Campo,Virginia 08,"Virginia, United States",1,['Eva Campo'],campostella research and consulting llc,['Eva Campo'],,['Eva Campo']
"Smart HLPR, LLC",smart hlpr llc,GXVCMTLKZP96,88CE6,"160 Streamwood RD,Troutman, North Carolina,28166-8825, United States","160 Streamwood RD.,Troutman, North Carolina,28166, United States",,"Apr 27, 2018","Roger V Bostelman, Dr.",Roger Bostelman,North Carolina 10,"Maryland, United States",1,['Roger Bostelman'],smart hlpr llc,['Roger Bostelman'],,['Roger Bostelman']
"OraBiotech, LLC",orabiotech llc,KF5LQ1X8QF87,92NV4,"1911 Billabong LN,Chapel Hill, North Carolina,27516-9753, United States","1911 Billabong LN,Chapel Hill, North Carolina,27516-9753, United States",,"Jun 18, 2021","Rishma Shah, Dr","Rishma Shah, Dr",North Carolina 04,"North Carolina, United States",1,['Rishma Shah'],orabiotech llc,['Rishma Shah'],,['Rishma Shah']
"Resilient Lifescience, Inc.",resilient lifescience inc,TCT3X4JFLTP8,9GAD4,"100 S Commons,Pittsburgh, Pennsylvania,15212-5359, United States","100 S Commons,#102,Pittsburgh, Pennsylvania,15212, United States",https://www.resilient.bio/,"Apr 22, 2022","Bradford Holden, CEO","Bradford Holden, CEO",Pennsylvania 12,"Delaware, United States",1,['Bradford Holden'],resilient lifescience inc,['Bradford Holden'],,['Bradford Holden']
"PFF, LLC",pff llc,P25AZ6WDJ589,7SXE9,"7811 Hubble DR,Lanham, Maryland,20706-2494, United States","7811 Hubble DR,Lanham, Maryland,20706-2494, United States",,"Nov 16, 2016","Cassandra Lacey, CEO","Cassandra Lacey, CEO",Maryland 04,"Maryland, United States",1,['Cassandra Lacey'],pff llc,['Cassandra Lacey'],,['Cassandra Lacey']
"Second Star Robotics, LLC",second star robotics llc,U1NSNPBC3J14,8SAS7,"2333 Distribution CIR,Silver Spring, Maryland,20910-1261, United States","2333 Distribution CIR,Silver Spring, Maryland,20910-1261, United States",https://www.secondstarrobotics.com/,"Sep 1, 2019","Eric Berkenpas, Partner","Eric Berkenpas, Partner",Maryland 08,"Virginia, United States",1,['Eric Berkenpas'],second star robotics llc,['Eric Berkenpas'],,['Eric Berkenpas']
"Freshmeet U., Inc",freshmeet u inc,HV1DC9MV4F17,939Y3,"20 Goldsborough WAY,Reisterstown, Maryland,21136-6443, United States","20 Goldsborough WAY,Reisterstown, Maryland,21136-6443, United States",https://www.freshmeetu.com/who-is-fmu/,"Sep 1, 2014","Crystal Smith, Partner","Crystal Smith, Partner",Maryland 02,"Maryland, United States",1,['Crystal Smith'],freshmeet u inc,['Crystal Smith'],,['Crystal Smith']
"miRecule, Inc.",mirecule inc,D2DDKPAALJR3,7KWU3,"704 Quince Orchard RD,Gaithersburg, Maryland,20878-1751, United States","704 Quince Orchard RD,Suite 140,Gaithersburg, Maryland,20878-1751, United States",,"Feb 6, 2016","Anthony D Saleh, CEO","Anthony D Saleh, CEO",Maryland 06,"Maryland, United States",1,['Anthony Saleh'],mirecule inc,['Anthony Saleh'],,['Anthony Saleh']
"Sonavex, Inc.",sonavex inc,EFQ8AGCC5HK7,70ZR7,"2835 Odonnell ST,STE 200,Baltimore, Maryland,21224-4994, United States","2835 O'donnell ST,Suite 200,Baltimore, Maryland,21224-4994, United States",,"Mar 2, 2015",David Narrow,David Narrow,Maryland 07,"Delaware, United States",1,['David Narrow'],sonavex inc,['David Narrow'],,['David Narrow']
"AGAPE Strategic Solutions of Maryland, LLC",agape strategic solutions of maryland llc,RQVUQQ9T9MT6,9KY65,"3102 Tribune CT,Hyattsville, Maryland,20782-2977, United States","3102 Tribune CT,Hyattsville, Maryland,20782-2977, United States",https://www.agapessom.com/,"Nov 23, 2022","Melva T Covington, Dr","Melva T Covington, Dr",Maryland 04,"Maryland, United States",1,['Melva Covington'],agape strategic solutions of maryland llc,['Melva Covington'],,['Melva Covington']
Tetra Fields LLC,tetra fields llc,FCKARMCJLC51,8J2G0,"13308 Arctic AVE,Rockville, Maryland,20853-3012, United States","13308 Arctic AVE,Rockville, Maryland,20853-3012, United States",https://www.tetrafields.com/,"Feb 24, 2020","Thomas W Chon, Chief Executive Officer","Steve K Chon, Chief Operating Officer",Maryland 08,"Maryland, United States",1,"['Steve Chon', 'Thomas Chon']",tetra fields llc,['Thomas Chon'],,['Thomas Chon']
Red Ace Bio LLC,red ace bio llc,E58LVNGXNLK3,,"1819 E Branch RD,State College, Pennsylvania,16801-7036, United States","1819 E Branch RD,State College, Pennsylvania,16801-7036, United States",https://www.redacebio.com/,"Nov 15, 2023","Scott M Leighow, Dr.","Scott M Leighow, Dr.",Pennsylvania 15,"Pennsylvania, United States",1,['Scott Leighow'],red ace bio llc,['Scott Leighow'],,['Scott Leighow']
"Beyond Reach Labs, Inc.",beyond reach labs inc,L4UYZ7S8RFP9,9RJU8,"5 Bayard RD APT 810,Pittsburgh, Pennsylvania,15213-1907, United States","5 Bayard RD APT 810,Pittsburgh, Pennsylvania,15213-1907, United States",https://www.beyondreachlabs.io/,"Nov 29, 2023",Mitchell Fogelson,Mitchell Fogelson,Pennsylvania 12,"Delaware, United States",1,['Mitchell Fogelson'],beyond reach labs inc,['Mitchell Fogelson'],,['Mitchell Fogelson']
"Flourish and Thrive Labs, LLC",flourish and thrive labs llc,YY7YBLR4LX35,9EWJ9,"140 Mallard Court,Grayslake, Illinois,60030-3411, United States","75 Commerce DR #692,Grayslake, Illinois,60030-9998, United States",https://www.fandtlabs.com/,"Jul 16, 2018","Jefferson E McMillan-Wilhoit, Mr","Juliana M McMillan-Wilhoit, Ms.",Illinois 10,"Illinois, United States",1,"['Jefferson McMillan', 'Juliana McMillan']",flourish and thrive labs llc,['Jefferson McMillan'],,['Jefferson McMillan']
"Fzata, Inc.",fzata inc,SLGDVHJS1Y85,7HCP9,"1450 S Rolling RD,Halethorpe, Maryland,21227-3863, United States","1450 S Rolling RD,Halethorpe, Maryland,21227-3863, United States",,"Oct 6, 2015","Zhiyong Yang, CEO","Zhiyong Yang, CEO",Maryland 07,"Delaware, United States",1,['Zhiyong Yang'],fzata inc,['Zhiyong Yang'],,['Zhiyong Yang']
"PediaMetrix, Inc",pediametrix inc,M41ALBKWRKL5,81WG5,"155 Gibbs ST, Unit 537,Rockville, Maryland,20850-0393, United States","155 Gibbs ST STE 537,Rockville, Maryland,20850-0393, United States",,"Jan 23, 2018","Fereshteh Aalamifar, Dr",Reza Seifabadi,Maryland 08,"Delaware, United States",1,"['Fereshteh Aalamifar', 'Reza Seifabadi']",pediametrix inc,"['Fereshteh Aalamifar', 'Reza Seifabadi']",,"['Fereshteh Aalamifar', 'Reza Seifabadi']"
SeeHear LLC,seehear llc,NNGGL4HBEAW1,6XM87,"1716 N Danville ST,Arlington, Virginia,22201-4034, United States","1716 N Danville ST,Arlington, Virginia,22201-4034, United States",https://seehear.us/,"Jun 5, 2013",Silvio P Eberhardt,Silvio P Eberhardt,Virginia 08,"Virginia, United States",1,['Silvio Eberhardt'],seehear llc,['Silvio Eberhardt'],,['Silvio Eberhardt']
"Stocastic, LLC",stocastic llc,L291S2FT3X95,7HMG4,"629 S Belnord AVE,Baltimore, Maryland,21224-3804, United States","629 S Belnord AVE,Baltimore, Maryland,21224-3804, United States",https://www.stocastic.com/,"Oct 8, 2015",Eric Hamrock,Eric Hamrock,Maryland 07,"Delaware, United States",1,['Eric Hamrock'],stocastic llc,['Eric Hamrock'],,['Eric Hamrock']
Nostopharma LLC,nostopharma llc,FKVPNPQK64H8,7ZZH1,"7600 Coddle Harbor LN,Potomac, Maryland,20854-3251, United States","7600 Coddle Harbor LN,Potomac, Maryland,20854-3251, United States",,"Oct 1, 2016",Jelena Jeremic,Jelena Jeremic,Maryland 08,"Maryland, United States",1,['Jelena Jeremic'],nostopharma llc,['Jelena Jeremic'],,['Jelena Jeremic']
