keyword,sam_company_name,sam_website,match,sam_physical_address_street,sam_physical_address_city,sam_physical_address_state,sam_physical_address_zipcode,sam_mailing_address_street,sam_mailing_address_city,sam_mailing_address_state,sam_mailing_address_zipcode,sam_incorp_year,sam_contacts,sf_company_name,sf_full_name,sf_street,sf_city,sf_state,sf_country,sf_zipcode,sf_website,sf_incorporation_year,ms_company_name_fuzzy_score,ms_website_fuzzy_score,ms_incorp_year_fuzzy_score,ms_street_fuzzy_score_physical,ms_street_fuzzy_score_mailing,ms_city_fuzzy_score_physical,ms_city_fuzzy_score_mailing,ms_state_fuzzy_score_physical,ms_state_fuzzy_score_mailing,ms_zipcode_fuzzy_score_physical,ms_zipcode_fuzzy_score_mailing,highest_fuzzy_score
3DFlexible Inc,3DFLEXIBLE INC,,1,11008 Chelsea WAY,Laurel,Maryland,20723,11008 Chelsea WAY,Laurel,Maryland,20723,2016,"['Donghun Park', 'Warren Herman']",3DFlexible Inc,['Victor Yun'],11008 Chelsea Way,Laurel,Maryland,United States,20723,http://www.3dflexible.com/about.html,2016,100.0,5.128205128205132,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"InventWood, LLC",INVENTWOOD INC.,https://inventwood.com/,1,5971 Jefferson Station CT STE 100,Frederick,Maryland,21703,5971 Jefferson Station CT STE 100,Frederick,Maryland,21703,2016,"['Regina Williams', 'Regina Williams']","InventWood, LLC","['Amy Gong', 'Josh Cable']",4467 Tech Dr Rm 3104,College Park,Maryland,United States,20742-0001,https://inventwood.com,2016,80.0,97.77777777777777,0,30.188679245283023,30.188679245283023,38.095238095238095,38.095238095238095,100.0,100.0,40.0,40.0,100.0
"Airgility, Inc.","AIRGILITY, INC",https://www.airgility.co/,1,,,,,,,,,2017,"['Pramod Raheja', 'Pramod Raheja']","Airgility, Inc.",['Daniel Lathrop'],5145 Campus Dr,College Park,Maryland,United States,20740 0001,https://www.airgility.co,2017,96.55172413793103,97.95918367346938,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.16666666666666
Quidient,"QUIDIENT, LLC",https://www.quidient.com/,1,7012 Sycamore LN,Easton,Maryland,21601,,,,,2014,"['Brandon Turley', 'Christopher Dorsey']",Quidient,['Brandon Turley'],7142 Columbia Gateway Dr,Columbia,Maryland,United States,21046 2132,https://quidient.com/,2015,76.19047619047619,91.30434782608697,0,40.0,0.0,14.28571428571429,0.0,100.0,0.0,53.333333333333336,0.0,100.0
AMPX Technologies Inc.,"AMPX TECHNOLOGIES, INC.",,1,4467 Technology Drive RM 3125,College Park,Maryland,20742,4467 Technology DR RM 3125,College Park,Maryland,20742,2018,"['Alireza Khaligh', 'Zeyu Zhang']",AMPX Technologies Inc.,['Alireza Khaligh'],4467 Technology Advmnt Bldg,College Park,Maryland,United States,20742 3370,http://ampxtech.com,2018,97.77777777777777,9.090909090909093,0,71.42857142857143,71.69811320754718,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"Vortex Space Systems, LLC","VORTEX SPACE SYSTEMS, LLC",,1,24225 Welsh RD,Gaithersburg,Maryland,20882,24225 Welsh RD,Gaithersburg,Maryland,20882,2018,"['Dennis Lee', 'Dennis Lee']","Vortex Space Systems, LLC",['Dennis Lee'],24225 Welsh Rd,Gaithersburg,Maryland,United States,20882-3929,,2019,100.0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"Campostella Research and Consulting, LLC",CAMPOSTELLA RESEARCH AND CONSULTING LLC,,1,134 Ike DR,Alexandria,Virginia,22314,134 Ike DR,Alexandria,Virginia,22314,2020,"['Eva Campo', 'Eva Campo']","Campostella Research and Consulting, LLC",['Eva Campo'],134 Ike Dr,Alexandria,Virginia,United States,22314 4594,https://campostellaresearch.com,2020,98.73417721518987,5.882352941176472,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
"Smart HLPR, LLC","SMART HLPR, LLC",,1,160 Streamwood RD,Troutman,North Carolina,28166,,,,,2018,"['Roger Bostelman', 'Roger Bostelman']","Smart HLPR, LLC",['Roger Bostelman'],5319 Kingsbrook Dr,Frederick,Maryland,United States,21703 2830,https://smarthlpr.weebly.com/,2018,100.0,6.25,0,45.714285714285715,0.0,11.764705882352944,0.0,36.36363636363637,0.0,26.66666666666667,0.0,100.0
RemBac Environmental,"REMBAC ENVIRONMENTAL, LLC",https://www.rembac.com/,1,3140 Edgewood RD,Ellicott City,Maryland,21043,3140 Edgewood RD,Ellicott City,Maryland,21043,2017,"['Kevin Sowers', 'Kevin Sowers']",RemBac Environmental,['Kevin Sowers'],3140 Edgewood Rd,Ellicott City,Maryland,United States,21043-3420,https://www.rembac.com,2017,88.88888888888889,97.77777777777777,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
Lensguide Imaging Technology Inc.,LENSGUIDE IMAGING TECHNOLOGY INC,,1,707 Anderson AVE,Rockville,Maryland,20850,707 Anderson AVE,Rockville,Maryland,20850,2018,"['Mohammad Amin', 'Mohammad Amin']",Lensguide Imaging Technology Inc.,['Mohammad Amin Tadayon'],707 Anderson Ave,Rockville,Maryland,United States,20850-2104,,2018,98.46153846153847,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0
