keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,congressional_district,state_country_incorporation,match
3DFlexible Inc,3DFLEXIBLE INC,ZZKFKXNTMMA3,7SRV9,"11008 Chelsea WAY,Laurel, Maryland,20723-1097, United States","11008 Chelsea WAY,Laurel, Maryland,20723-1097, United States",,"Sep 9, 2016","Donghun Park, Dr.","Warren N. Herman, Chief Technology Advisor",Maryland 03,"Maryland, United States",1
"InventWood, LLC",INVENTWOOD INC.,LA9LCVM7HMK5,7PWF8,"5971 Jefferson Station CT STE 100,Frederick, Maryland,21703-1458, United States","5971 Jefferson Station CT STE 100,Frederick, Maryland,21703-1458, United States",https://inventwood.com/,"Sep 3, 2016","Regina Williams, Director, Accounting","Regina Williams, Director, Accounting",Maryland 06,"Delaware, United States",1
"Airgility, Inc.","AIRGILITY, INC",JD35KEUVYS94,84FZ5,"5145 Campus DR,Suite 1132,College Park, Maryland,20742-0001, United States","5145 Campus Drive,Suite 1132,College Park, Maryland,20742, United States",https://www.airgility.co/,"Apr 13, 2017","Pramod B Raheja, Mr.","Pramod B Raheja, Mr.",Maryland 04,"Delaware, United States",1
Quidient,"QUIDIENT, LLC",Z4Z7DHN15824,7N7H3,"7012 Sycamore LN,Easton, Maryland,21601-9708, United States","7142 Columbia Gateway Drive,Suite 140,Columbia, Maryland,21046, United States",https://www.quidient.com/,"May 29, 2014","Brandon B Turley, Director Ops & CFO","Christopher Dorsey, General Counsel & CIPO",Maryland 01,"Delaware, United States",1
AMPX Technologies Inc.,"AMPX TECHNOLOGIES, INC.",J1T8EM6N9AE5,81C97,"4467 Technology Drive RM 3125,College Park, Maryland,20742-0001, United States","4467 Technology DR RM 3125,College Park, Maryland,20742, United States",,"Jan 18, 2018",Alireza Khaligh,Zeyu Zhang,Maryland 04,"Maryland, United States",1
"Vortex Space Systems, LLC","VORTEX SPACE SYSTEMS, LLC",M2A2NQ91DNM9,8LWZ1,"24225 Welsh RD,Gaithersburg, Maryland,20882-3929, United States","24225 Welsh RD,Gaithersburg, Maryland,20882, United States",,"Dec 31, 2018","Dennis S. Lee, Owner","Dennis S. Lee, Owner",Maryland 06,"Maryland, United States",1
"Campostella Research and Consulting, LLC",CAMPOSTELLA RESEARCH AND CONSULTING LLC,YPL3PSFKSJ49,,"134 Ike DR,Alexandria, Virginia,22314-4594, United States","134 Ike DR,Alexandria, Virginia,22314-4594, United States",,"May 18, 2020",Eva M Campo,Eva M Campo,Virginia 08,"Virginia, United States",1
"Smart HLPR, LLC","SMART HLPR, LLC",GXVCMTLKZP96,88CE6,"160 Streamwood RD,Troutman, North Carolina,28166-8825, United States","160 Streamwood RD.,Troutman, North Carolina,28166, United States",,"Apr 27, 2018","Roger V Bostelman, Dr.",Roger Bostelman,North Carolina 10,"Maryland, United States",1
RemBac Environmental,"REMBAC ENVIRONMENTAL, LLC",ESU1JMK4DYJ4,8CCL6,"3140 Edgewood RD,Ellicott City, Maryland,21043-3420, United States","3140 Edgewood RD,Ellicott City, Maryland,21043-3420, United States",https://www.rembac.com/,"Aug 31, 2017",Kevin R Sowers,Kevin R Sowers,Maryland 03,"Maryland, United States",1
Lensguide Imaging Technology Inc.,LENSGUIDE IMAGING TECHNOLOGY INC,VGLLXNMDNHQ5,872N0,"707 Anderson AVE,Rockville, Maryland,20850-2104, United States","707 Anderson AVE,Rockville, Maryland,20850-2104, United States",,"Oct 18, 2018","Mohammad Amin Tadayon, CEO and President","Mohammad Amin Tadayon, CEO and President",Maryland 08,"Delaware, United States",1
"OraBiotech, LLC","ORABIOTECH, LLC",KF5LQ1X8QF87,92NV4,"1911 Billabong LN,Chapel Hill, North Carolina,27516-9753, United States","1911 Billabong LN,Chapel Hill, North Carolina,27516-9753, United States",,"Jun 18, 2021","Rishma Shah, Dr","Rishma Shah, Dr",North Carolina 04,"North Carolina, United States",1
Syzygy Optics Inc.,SYZYGY OPTICS LLC,EVVCNB5YZUS3,,"536 Meadow Run,Chapel Hill, North Carolina,27517-8022, United States","536 Meadow Run,Chapel Hill, North Carolina,27517, United States",,"Jan 7, 2010",Mike Sullivan,Mike Sullivan,North Carolina 09,"North Carolina, United States",1
"Resilient Lifescience, Inc.","RESILIENT LIFESCIENCE, INC",TCT3X4JFLTP8,9GAD4,"100 S Commons,Pittsburgh, Pennsylvania,15212-5359, United States","100 S Commons,#102,Pittsburgh, Pennsylvania,15212, United States",https://www.resilient.bio/,"Apr 22, 2022","Bradford Holden, CEO","Bradford Holden, CEO",Pennsylvania 12,"Delaware, United States",1
"PFF, LLC","PFF, LLC",P25AZ6WDJ589,7SXE9,"7811 Hubble DR,Lanham, Maryland,20706-2494, United States","7811 Hubble DR,Lanham, Maryland,20706-2494, United States",,"Nov 16, 2016","Cassandra Lacey, CEO","Cassandra Lacey, CEO",Maryland 04,"Maryland, United States",1
"Assure Technologies, LLC","ASSURE MEDICAL TECHNOLOGIES, INC.",MHJUNMMNSN47,82D85,"200 Butternut DR,Chapel Hill, North Carolina,27514-1615, United States","200 Butternut DR,Chapel Hill, North Carolina,27514-1615, United States",,"Feb 1, 2018",Stephen Eckel,Stephen Eckel,North Carolina 04,"Delaware, United States",1
Wave Welcome,WAVE WELCOME LLC,K6U9KE5XD7B1,62YN7,"6307 Hickory Bnd,Clinton, Maryland,20735-9588, United States","6307 Hickory Bend,Clinton, Maryland,20735-9588, United States",https://www.wavewelcome.com/,"Jun 10, 2020","Janelle Wright, CEO","Janelle Wright, CEO",Maryland 05,"Maryland, United States",1
Nervosys,NERVOSYS LLC,WSHDCNQPGPC9,9XZL7,"100 N Howard ST STE R,Spokane, Washington,99201-0508, United States","100 N Howard ST STE R,Spokane, Washington,99201-0508, United States",https://nervosys.ai/,"Aug 16, 2022","Adam M Erickson, Dr.","Adam M Erickson, Dr.",Washington 05,"Washington, United States",1
VETTA Solutions Inc,VETTA SOLUTIONS INC.,XP7KJNLQRFP3,,"2140 S Dupont HWY,Camden, Delaware,19934-1249, United States","6409 Fayetteville RD,STE 120-173,Durham, North Carolina,27713-6297, United States",,"Jan 9, 2023",Elizabeth Bjornsen,Elizabeth Bjornsen,Delaware 00,"Delaware, United States",1
"Second Star Robotics, LLC",SECOND STAR ROBOTICS LLC,U1NSNPBC3J14,8SAS7,"2333 Distribution CIR,Silver Spring, Maryland,20910-1261, United States","2333 Distribution CIR,Silver Spring, Maryland,20910-1261, United States",https://www.secondstarrobotics.com/,"Sep 1, 2019","Eric Berkenpas, Partner","Eric Berkenpas, Partner",Maryland 08,"Virginia, United States",1
"Freshmeet U., Inc","FRESHMEET U., INC.",HV1DC9MV4F17,939Y3,"20 Goldsborough WAY,Reisterstown, Maryland,21136-6443, United States","20 Goldsborough WAY,Reisterstown, Maryland,21136-6443, United States",https://www.freshmeetu.com/who-is-fmu/,"Sep 1, 2014","Crystal Smith, Partner","Crystal Smith, Partner",Maryland 02,"Maryland, United States",1
Liatris Inc.,LIATRIS INC.,PJ9WKMRVDDX6,87NV6,"5640 Fishers Lane,Suite D,Rockville, Maryland,20852-1737, United States","5640 Fishers Lane,Suite D,Rockville, Maryland,20852, United States",https://www.liatris.biz/,"Mar 23, 2018","Frank Yang, Mr","Riley Engels, Mr",Maryland 08,"Delaware, United States",1
"miRecule, Inc.","MIRECULE, INC.",D2DDKPAALJR3,7KWU3,"704 Quince Orchard RD,Gaithersburg, Maryland,20878-1751, United States","704 Quince Orchard RD,Suite 140,Gaithersburg, Maryland,20878-1751, United States",,"Feb 6, 2016","Anthony D Saleh, CEO","Anthony D Saleh, CEO",Maryland 06,"Maryland, United States",1
Opal HTM,"OPAL HTM, INC.",KW2NMJ1EGY69,7ZQ90,"1623 W Fulton ST,Chicago, Illinois,60612-2507, United States","PO Box 104,Pomfret, Maryland,20675, United States",https://www.opalhtm.com/,"Jun 2, 2021","Connor Roberts, CEO","Connor Roberts, CEO",Illinois 07,"Delaware, United States",1
RedShred,"REDSHRED, LLC",GU8RZGZXU5K7,766U3,"5520 Research Park DR STE 100,Catonsville, Maryland,21228-4851, United States","5520 Research Park Drive,Suite 100,Baltimore, Maryland,21228-4851, United States",https://redshred.com/,"Apr 29, 2014",Jeehye Yun,"James Kukla, CTO",Maryland 07,"Maryland, United States",1
"Sonavex, Inc.",SONAVEX INC,EFQ8AGCC5HK7,70ZR7,"2835 Odonnell ST,STE 200,Baltimore, Maryland,21224-4994, United States","2835 O'donnell ST,Suite 200,Baltimore, Maryland,21224-4994, United States",,"Mar 2, 2015",David Narrow,David Narrow,Maryland 07,"Delaware, United States",1
Nicelle Technologies LLC,NICELLE TECHNOLOGIES INC,UYWZM8MHL2W7,9SKT1,"2140 S Dupont HWY,Camden, Delaware,19934-1249, United States","PO Box 37236,Raleigh, North Carolina,27627, United States",https://nicelletech.com/,"Oct 30, 2023",Cheryl T Wooten,Cheryl T Wooten,Delaware 00,"Delaware, United States",1
Imagining Reality Insights & Solutions Inc.,"IMAGINING REALITY INSIGHTS & SOLUTIONS, INC.",YBJNM8JECF46,985P0,"300 W Pratt ST,Su 200,Baltimore, Maryland,21201-6504, United States","300 W Pratt ST STE 200,Baltimore, Maryland,21201-6512, United States",,"Nov 1, 2021",Nao Gamo,Amy Hizoune,Maryland 07,"Maryland, United States",1
"AGAPE Strategic Solutions of Maryland, LLC","AGAPE STRATEGIC SOLUTIONS OF MARYLAND, LLC",RQVUQQ9T9MT6,9KY65,"3102 Tribune CT,Hyattsville, Maryland,20782-2977, United States","3102 Tribune CT,Hyattsville, Maryland,20782-2977, United States",https://www.agapessom.com/,"Nov 23, 2022","Melva T Covington, Dr","Melva T Covington, Dr",Maryland 04,"Maryland, United States",1
Alperian,"ALPERIAN, LLC",SXRRDFTN2547,,"8082 Leishear RD,Laurel, Maryland,20723-1165, United States","8082 Leishear RD,Laurel, Maryland,20723-1165, United States",,"Jun 21, 2021","Jason Harwerth, Founder and CEO","Jason Harwerth, Founder and CEO",Maryland 03,"Maryland, United States",1
Tetra Fields LLC,TETRA FIELDS LLC,FCKARMCJLC51,8J2G0,"13308 Arctic AVE,Rockville, Maryland,20853-3012, United States","13308 Arctic AVE,Rockville, Maryland,20853-3012, United States",https://www.tetrafields.com/,"Feb 24, 2020","Thomas W Chon, Chief Executive Officer","Steve K Chon, Chief Operating Officer",Maryland 08,"Maryland, United States",1
Kgenetix farm llc,KGENETIX FARM LLC,U54CHNEY9DB8,9LBC0,"2315 Ashburton ST,Baltimore, Maryland,21216-2912, United States","201 Rudy Park,Elkton, Maryland,21921, United States",,"Apr 28, 2023",brandon walker,brandon walker,Maryland 07,"Maryland, United States",1
NovoLINC,NovoLINC Inc.,CXHKZ4HG79W4,,"4620 Henry St, Pittsburgh, PA, 15213-3715, USA",,,,,,,,1
Magnify Biosciences Inc.,MAGNIFY BIOSCIENCES INC.,UYGVDZDSW9Q3,,"1632 Norman DR,Sewickley, Pennsylvania,15143-8557, United States","1632 Norman DR,Sewickley, Pennsylvania,15143-8557, United States",https://www.magnifybiosci.com/,"Feb 22, 2023",Yongxin Zhao,Yongxin Zhao,Pennsylvania 17,"Delaware, United States",1
Coordle,COORDLE INC,VGQWB5E7F3K3,9XFP1,"333 E 20TH ST,Baltimore, Maryland,21218-6109, United States","333 E 20TH ST,Baltimore, Maryland,21218, United States",,"May 17, 2022","Jen Fry, Dr.","Jen Fry, Dr.",Maryland 07,"Delaware, United States",1
Precision Wellness,S.O.S.A.B. LLC,UJ6KWR81THW3,97QM4,"700 Pennsylvania AVE SE FL 2,Washington, District Of Columbia,20003-2493, United States","700 Pennsylvania AVE SE FL 2,Washington, District Of Columbia,20003-2493, United States",https://www.precisionwellbeing.net/,"May 11, 2021","Shenita-Ann P Grymes, Ms","Shenita-Ann P Grymes, Ms",District Of Columbia 98,"District Of Columbia, United States",1
Khanjur R&D,"KHANJUR HOLDINGS, LLC",T81CKJG4CM38,9EPY3,"3390 Cupecoy Point AVE,Las Vegas, Nevada,89141-3213, United States","3390 Cupecoy Point Avenue,Las Vegas, Nevada,89141-3213, United States",https://khanjur.com/,"Aug 31, 2022","Sabrina Curtis, Manager","Sabrina Curtis, Manager",Nevada 03,"Nevada, United States",1
Shell Yeah,SHELL YEAH! LLC,KDXUA129N265,01R03,"916 23RD ST,Gulfport, Mississippi,39501-3350, United States","916 23RD ST,Gulfport, Mississippi,39501-3350, United States",,"Feb 21, 2024",Ebony Conley,Ebony Conley,Mississippi 04,"Mississippi, United States",1
"Kandih Group, LLC",KANDIH GROUP LC,T9Q7HEENL936,72MP4,"2 Countryside CT,Silver Spring, Maryland,20905-4516, United States","2 Countryside CT,Silver Spring, Maryland,20905, United States",http://kandih.com/,"Sep 19, 2013",HARRIET KAMENDI,HARRIET KAMENDI,Maryland 08,"Maryland, United States",1
"BeneKinetic, Inc.","BENEKINETIC, INC,",J9AEEM6ZNVU6,,"1451 Rockville Pike STE 250,Rockville, Maryland,20852-1486, United States","1451 Rockville Pike STE 250,Rockville, Maryland,20852-1486, United States",,"May 19, 2023","Eric Hsia, Lead PT","Eric Hsia, Lead PT",Maryland 08,"Delaware, United States",1
Aquatonomy Inc,AQUATONOMY INC,S324XC4V3N25,95EA2,"307 Timber CT,Pittsburgh, Pennsylvania,15238-2437, United States","307 Timber CT,Pittsburgh, Pennsylvania,15238-2437, United States",https://www.aquatonomy.com/,"Aug 23, 2021",Michael Kaess,Michael Kaess,Pennsylvania 17,"Delaware, United States",1
Sonura LLC,SONURA INC.,RCWDXBK44D73,9XS46,"445 S 44TH ST APT 1,Philadelphia, Pennsylvania,19104-3928, United States","445 S 44TH ST APT 1,Philadelphia, Pennsylvania,19104-3928, United States",,"Sep 1, 2023",Sophie Ishiwari,Sophie Ishiwari,Pennsylvania 03,"Delaware, United States",1
terraPulse,"TERRAPULSE, INC.",T37JWJDD79T4,7DHX3,"13201 Squires CT,North Potomac, Maryland,20878-3987, United States","13201 Squires Court,North Potomac, Maryland,20878, United States",https://www.terrapulse.com/,"Oct 20, 2014","Saurabh Channan, CEO","Saurabh Channan, CEO",Maryland 08,"Delaware, United States",1
Ionic Devices,IONIC DEVICES INC,WKDMT9PHX1N7,,"3417 Tulane DR APT 2,Hyattsville, Maryland,20783-1832, United States","3417 Tulane DR APT 2,Hyattsville, Maryland,20783-1832, United States",https://www.ionic-devices.com/,"Feb 22, 2023","Keith E Gregorczyk, CEO","Keith E Gregorczyk, CEO",Maryland 04,"Maryland, United States",1
"And Battery Aero, Inc.",AND BATTERY AERO INC.,HGE9SXSJGSD9,9VF54,"2400 W El Camino Real APT 603,Mountain View, California,94040-4722, United States","221 Main ST.,PO Box 761,Los Altos, California,94023, United States",,"Aug 16, 2022","Shashank Sripad, Cofounder","Shashank Sripad, CTO",California 16,"Delaware, United States",1
Red Ace Bio LLC,RED ACE BIO LLC,E58LVNGXNLK3,,"1819 E Branch RD,State College, Pennsylvania,16801-7036, United States","1819 E Branch RD,State College, Pennsylvania,16801-7036, United States",https://www.redacebio.com/,"Nov 15, 2023","Scott M Leighow, Dr.","Scott M Leighow, Dr.",Pennsylvania 15,"Pennsylvania, United States",1
Advanced Aircraft Company,"ADVANCED AIRCRAFT COMPANY, LLC",NBN3LGEXEH39,84M95,"1100 Exploration WAY,STE 302S,Hampton, Virginia,23666-6264, United States","1100 Exploration WAY STE 302S,Hampton, Virginia,23666-6264, United States",https://www.advancedaircraftcompany.com/,"May 3, 2017","Aaron Frank, Chief Operations Officer","Paul Allen, Chief Operations Officer",Virginia 03,"Virginia, United States",1
AliquantumRx Inc.,ALIQUANTUMRX INC,TKSWMKLG1J43,917Z0,"1812 Ashland AVE STE 100,Baltimore, Maryland,21205-1546, United States","1812 Ashland AVE STE 100,Baltimore, Maryland,21205-1546, United States",https://www.aliquantumrx.com/,"Oct 7, 2016","Nikola Kaludov, President","Nikola Kaludov, President",Maryland 07,"Maryland, United States",1
Armaments Research Company,ARMAMENTS RESEARCH COMPANY INC.,F6KMMJAFFB47,7VYH2,"6422 Broad ST,Bethesda, Maryland,20816-2608, United States","4445 Willard AVE STE 600,Chevy Chase , Maryland,20815, United States",http://www.armaments.us/,"Sep 8, 2013",Michael Canty,Michael Canty,Maryland 08,"Delaware, United States",1
Ashvattha Therapeutics Inc,"ASHVATTHA THERAPEUTICS, INC.",JK5CPL9WDQ85,9H5P4,"1235 Radio RD,STE 200,Redwood City, California,94065-1315, United States","1235 Radio ROAD, Suite 200,Redwood City, California,94065, United States",https://www.avttx.com/,"Sep 19, 2019","Sabrina Nieder, Controller","Elizabeth Torrelio, Head Program Management",California 15,"Delaware, United States",1
"Beyond Reach Labs, Inc.","BEYOND REACH LABS, INC.",L4UYZ7S8RFP9,9RJU8,"5 Bayard RD APT 810,Pittsburgh, Pennsylvania,15213-1907, United States","5 Bayard RD APT 810,Pittsburgh, Pennsylvania,15213-1907, United States",https://www.beyondreachlabs.io/,"Nov 29, 2023",Mitchell Fogelson,Mitchell Fogelson,Pennsylvania 12,"Delaware, United States",1
"Datasembly, Inc.",DATASEMBLY INC,KY7CFJUMWP97,9DE97,"1775 Tysons BLVD,FL 5,Tysons, Virginia,22102-4284, United States","11816 Inwood RD #1489,Dallas, Texas,75244, United States",https://datasembly.com/,"May 27, 2014","Eric Zuckerman, VP Finance","Ian Saxton, Head of Sales",Virginia 11,"Delaware, United States",1
