Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
Biodyne Chemicals Inc,Biodyne Chemicals Inc,N/A,N/A,"$39,950.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/107483
"EscaZyme Biochemicals, LLC","EscaZyme Biochemicals, LLC",09/30/2017,09/29/2018,"$121,978.00",Phase I,STTR,PA16-303,https://legacy.www.sbir.gov/sbirsearch/detail/1321723
Ironic Chemicals LLC,Ironic Chemicals LLC,01/01/2018,12/31/2018,"$225,000.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1498915
Ironic Chemicals LLC,Ironic Chemicals LLC,12/15/2016,11/30/2017,"$225,000.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1216201
Merichem Chemicals & Refinery Services LLC,Merichem Chemicals & Refinery Services LLC,N/A,N/A,"$79,947.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/230145
Merichem Chemicals & Refinery Services LLC,Merichem Chemicals & Refinery Services LLC,N/A,N/A,"$99,994.00",Phase I,SBIR,DE-FG01-04ER04-33,https://legacy.www.sbir.gov/sbirsearch/detail/230143
MOGENE GREEN CHEMICALS LC,MOGENE GREEN CHEMICALS LC,04/02/2020,10/01/2021,"$250,000.00",Phase I,SBIR,DE-FOA-0001954,https://legacy.www.sbir.gov/sbirsearch/detail/1695337
MOGENE GREEN CHEMICALS LC,MOGENE GREEN CHEMICALS LC,07/31/2017,07/30/2019,"$1,000,000.00",Phase II,SBIR,DE-FOA-0001646,https://legacy.www.sbir.gov/sbirsearch/detail/1332923
MOGENE GREEN CHEMICALS LC,MOGENE GREEN CHEMICALS LC,06/13/2016,03/12/2017,"$150,000.00",Phase I,SBIR,DE-FOA-0001417,https://legacy.www.sbir.gov/sbirsearch/detail/1207087
MOGENE GREEN CHEMICALS LC,MOGENE GREEN CHEMICALS LC,01/01/2012,06/30/2012,"$150,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/391581
