Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
3DFlexible Inc,3DFlexible Inc,11008 Chelsea Way,Laurel,MD,20723-1097,http://www.3dflexible.com/,6.0,ZZKFKXNTMMA3,https://legacy.www.sbir.gov/sbirsearch/detail/1221615
Pathotrak Inc.,PATHOTRAK INC.,9517 Ewing Dr,Bethesda,MD,20817-2469,https://www.pathotrak.com,3.0,MBL4UM9AJVZ8,https://legacy.www.sbir.gov/sbirsearch/detail/1653839
VisiSonics Corporation,VisiSonics Corporation,6800 Koandah Gardens,Highland,MD,20777-9797,,6.0,,https://legacy.www.sbir.gov/sbirsearch/detail/418904
Anonitech,ANONITECH LLC,3000 Cluster Pines Ct,Ellicott City,MD,21042-7619,,3.0,EFUTULCNXQG8,https://legacy.www.sbir.gov/sbirsearch/detail/1829737
Cric,6crickets Inc.,3225 126Th Ave Ne,Bellevue,WA,98005,https://www.6crickets.com,10.0,LW4PAWF8M4M6,https://legacy.www.sbir.gov/sbirsearch/detail/681430
Cric,"Cricket System Incorporated,The",430 Franklin Village Drive 278,Franklin,MA,02052,https://www.visible-good.com,4.0,XDHHVPMKQLN7,https://legacy.www.sbir.gov/sbirsearch/detail/398403
Cric,"MIGHTY CRICKET, INC",1614 Wolf Trail Rd,Wildwood,MO,63021-5929,https://mightycricket.com,2.0,JZWWJLVSNLZ6,https://legacy.www.sbir.gov/sbirsearch/detail/2263649
ESP Technologies,"Bioresp Technologies, Inc.","1244 Bellevue Ave, #6",Burlingame,CA,94010-4041,,2.0,,https://legacy.www.sbir.gov/sbirsearch/detail/1234893
FAST&FREE Ultrasound,"Chromatofast, Inc.",350 Miller Ave,Ann Arbor,MI,48103,,,,https://legacy.www.sbir.gov/sbirsearch/detail/125537
FAST&FREE Ultrasound,Damona Service Co. & Fastenix,10 Lincoln,Kansas City,KS,66103,,7.0,,https://legacy.www.sbir.gov/sbirsearch/detail/141469
FAST&FREE Ultrasound,FAST FIT TECHNOLOGIES LLC,3533 Fry Rd,Jefferson,MD,21755-7410,http://www.fastfittech.com,7.0,ZN8ML54LFKH5,https://legacy.www.sbir.gov/sbirsearch/detail/1161837
FAST&FREE Ultrasound,"Fast Forward Devices, LLC",11020 Solway School Road,Knoxville,TN,37931,,,,https://legacy.www.sbir.gov/sbirsearch/detail/165168
FAST&FREE Ultrasound,Fast Mathematical Algorithms,1020 Sherman Avenue,Hamden,CT,06514,,4.0,,https://legacy.www.sbir.gov/sbirsearch/detail/165172
