Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
#ERROR!,AMBIHARV INC.,14705 Forbes Cir,Louisville,KY,40245-5878,N/A,1,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/686141
#ERROR!,SCISCO GENETICS INC,6840 54Th Ave. Ne,Seattle,WA,98115-7753,N/A,N/A,TR9KXMUKT3E5,https://legacy.www.sbir.gov/sbirsearch/detail/1046323
#ERROR!,-9 2 -6.LLC,"26 Beckett Way, Suite 2",Ithaca,NY,14850,N/A,4,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/76291
#ERROR!,(DCS) DIMENSIONAL CONTROL SYSTEMS,"580 Kirts Blvd, Suite 309",Troy,MI,48084,N/A,12,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/71399
#ERROR!,"0 BASE DESIGN, LLC",5107 Unicon Dr,Wake Forest,NC,27587-5020,http://www.0basedesign.com,14,W52ZM2KUANR3,https://legacy.www.sbir.gov/sbirsearch/detail/1223087
#ERROR!,"0 DB CODING, INC.",3 Annette Drive,Athens,OH,45701,N/A,1,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/76180
#ERROR!,"10 BLADE, INC.","10 Blade, Inc.",Weston,MA,02493,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/76276
#ERROR!,"109 Therapeutics, Inc.",825 N 300 W Ste 300,Salt Lake City,UT,84103-1459,N/A,3,T9CLT4WGBNP5,https://legacy.www.sbir.gov/sbirsearch/detail/1511449
#ERROR!,10dBx LLC,3718 Amaryllis Dr,San Diego,CA,92106-1102,N/A,1,TMCQSSQ645L5,https://legacy.www.sbir.gov/sbirsearch/detail/798101
#ERROR!,1109 Bravo L.L.C.,8406 Mary Ct,Crestwood,KY,40014-8969,http://www.1109bravo.com,5,CBF2XH2DVUS6,https://legacy.www.sbir.gov/sbirsearch/detail/1828541
#ERROR!,"123 See, Inc.",9 Pollock Rd,Wayland,MA,01778-4552,N/A,2,E79BCBZLX3L6,https://legacy.www.sbir.gov/sbirsearch/detail/1692203
