Company Name,duns,uei,hubzone_owned,socially_economically_disadvantaged,women_owned,number_employees,company_url,address1,address2,city,state,zip
"Atlas Biologics, LLC",,N1CDHMCWRXF5,N,N,N,3,,1819 E BRANCH RD,,STATE COLLEGE,PA,16801-7036
ESTAT ACTUATION INC,117083877,GNHZJY3VLDP5,N,N,N,10,https://www.estatactuation.com/,1028 WELFER ST,,PITTSBURGH,PA,15217-2651
ESTAT ACTUATION INC,117083877,GNHZJY3VLDP5,N,N,N,10,https://www.estatactuation.com/,1028 WELFER ST,,PITTSBURGH,PA,15217-2651
ESTAT ACTUATION INC,117083877,GNHZJY3VLDP5,N,N,N,10,https://www.estatactuation.com/,1028 WELFER ST,,PITTSBURGH,PA,15217-2651
ESTAT ACTUATION INC,117083877,GNHZJY3VLDP5,N,N,N,10,https://www.estatactuation.com/,1028 WELFER ST,,PITTSBURGH,PA,15217-2651
ESTAT ACTUATION INC,117083877,GNHZJY3VLDP5,N,N,N,10,https://www.estatactuation.com/,1028 WELFER ST,,PITTSBURGH,PA,15217-2651
ESTAT ACTUATION INC,117083877,GNHZJY3VLDP5,N,N,N,10,https://www.estatactuation.com/,1028 WELFER ST,,PITTSBURGH,PA,15217-2651
"OMNISPEECH, LLC",832795764,MVJ7N2JHP3S8,N,N,Y,6,http://www.omni-speech.com,5000 COLLEGE AVENUE,STE 1103,COLLEGE PARK,MD,20740-3809
"OMNISPEECH, LLC",832795764,MVJ7N2JHP3S8,N,N,Y,6,http://www.omni-speech.com,5000 COLLEGE AVENUE,STE 1103,COLLEGE PARK,MD,20740-3809
"OMNISPEECH, LLC",832795764,MVJ7N2JHP3S8,N,Y,Y,6,http://www.omni-speech.com,5000 COLLEGE AVENUE,STE 1103,COLLEGE PARK,MD,20740-3809
"Prompt Diagnostics, Inc.",105269595,L28FVGJ715D7,N,N,N,8,https://www.prompt-dx.com/,2401 W Belvedere Ave,Schapiro Building Room 313,Baltimore,MD,
"Prompt Diagnostics, Inc.",105269595,L28FVGJ715D7,N,N,N,8,https://www.prompt-dx.com/,2401 W Belvedere Ave,Schapiro Building Room 313,Baltimore,MD,
"Prompt Diagnostics, Inc.",105269595,L28FVGJ715D7,N,N,N,8,https://www.prompt-dx.com/,2401 W Belvedere Ave,Schapiro Building Room 313,Baltimore,MD,
TERRAFORMA CARBON LLC,,MXTTV9J454M7,N,N,N,2,https://terraforma.co,119 S BURROWES ST,STE 703,STATE COLLEGE,PA,16801-3864
