prime_award_unique_key,prime_award_fain,prime_award_amount,prime_award_base_action_date,prime_award_base_action_date_fiscal_year,prime_award_latest_action_date,prime_award_latest_action_date_fiscal_year,prime_award_period_of_performance_start_date,prime_award_period_of_performance_current_end_date,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_award_awarding_sub_agency_code,prime_award_awarding_sub_agency_name,prime_award_awarding_office_code,prime_award_awarding_office_name,prime_awardee_uei,prime_awardee_duns,prime_awardee_name,prime_awardee_parent_uei,prime_awardee_parent_duns,prime_awardee_country_code,prime_awardee_country_name,prime_awardee_address_line_1,prime_awardee_city_name,prime_awardee_county_fips_code,prime_awardee_county_name,prime_awardee_state_fips_code,prime_awardee_state_code,prime_awardee_state_name,prime_awardee_zip_code,prime_award_summary_recipient_cd_original,prime_award_summary_recipient_cd_current,prime_award_primary_place_of_performance_scope,prime_award_primary_place_of_performance_city_name,prime_award_primary_place_of_performance_county_fips_code,prime_award_primary_place_of_performance_county_name,prime_award_primary_place_of_performance_state_fips_code,prime_award_primary_place_of_performance_state_code,prime_award_primary_place_of_performance_state_name,prime_award_primary_place_of_performance_address_zip_code,prime_award_summary_place_of_performance_cd_original,prime_award_summary_place_of_performance_cd_current,prime_award_primary_place_of_performance_country_code,prime_award_primary_place_of_performance_country_name,prime_award_base_transaction_description,prime_award_cfda_numbers_and_titles,subaward_type,subaward_fsrs_report_id,subaward_fsrs_report_year,subaward_fsrs_report_month,subaward_number,subaward_amount,subaward_action_date,subaward_action_date_fiscal_year,subawardee_uei,subawardee_duns,subawardee_name,subawardee_country_code,subawardee_country_name,subawardee_address_line_1,subawardee_city_name,subawardee_state_code,subawardee_state_name,subawardee_zip_code,subaward_recipient_cd_original,subaward_recipient_cd_current,subawardee_business_types,subaward_primary_place_of_performance_city_name,subaward_primary_place_of_performance_state_code,subaward_primary_place_of_performance_state_name,subaward_primary_place_of_performance_address_zip_code,subaward_place_of_performance_cd_original,subaward_place_of_performance_cd_current,subaward_primary_place_of_performance_country_code,subaward_primary_place_of_performance_country_name,subaward_description,usaspending_permalink,subaward_fsrs_report_last_modified_date,prime_award_disaster_emergency_fund_codes,prime_award_total_outlayed_amount,prime_award_funding_agency_code,prime_award_funding_agency_name,prime_award_funding_sub_agency_code,prime_award_funding_sub_agency_name,prime_award_funding_office_code,prime_award_funding_office_name,prime_award_treasury_accounts_funding_this_award,prime_award_federal_accounts_funding_this_award,prime_award_object_classes_funding_this_award,prime_award_program_activities_funding_this_award,prime_awardee_dba_name,prime_awardee_parent_name,prime_awardee_business_types,subawardee_dba_name,subawardee_parent_uei
ASST_NON_W911NF1510160_2100,W911NF1510160,115375.0,2015-04-27,2015,2017-12-08,2018,2015-04-27,2018-04-26,97,Department of Defense (DOD),2100,Department of the Army,W911NF,W6QK ACC-APG DURHAM,SKH5GMBR9GL3,71576482.0,NORTH CAROLINA AGRICULTURAL AND TECHNICAL STA,N8DMK1K4C2K5,142363428.0,USA,UNITED STATES,1601EMARKET ST,GREENSBORO                  ,37081,GUILFORD,37,NC,North Carolina,274110001,NC-12,NC-06,Single ZIP Code,GREENSBORO                  ,37081.0,GUILFORD,37.0,NC,North Carolina,274110001,NC-12,NC-06,USA,UNITED STATES,A STUDY OF GAASSB NANOWIRE PHOTODETECTORS,12.431: BASIC SCIENTIFIC RESEARCH,sub-grant,9473FE5A8FBC032D343F0E61D1D1D2CF,2018,2,210161A,30000.0,2015-05-22,2015,DPHWXD86RNS4,78386164.0,N5 SENSORS INC,USA,UNITED STATES,18008 COTTAGE GARDEN DR APT 302,GERMANTOWN,MD,MARYLAND,208745820,MD-08,MD-06,"FOR PROFIT ORGANIZATION,SUBCHAPTER S CORPORATION",GERMANTOWN,MD,MARYLAND,208745820,MD-08,MD-06,USA,UNITED STATES,SUBAWARDEE WILL PROVIDE ENGINEERING SUPPORT SERVICES.,https://www.usaspending.gov/award/ASST_NON_W911NF1510160_2100/,2018-02-21 15:02:07+00,,,,,,,,,,,,,,,,,
ASST_NON_R01HD112031_7529,R01HD112031,1145265.0,2023-05-31,2023,2024-05-07,2024,2023-06-01,2028-04-30,75,Department of Health and Human Services (HHS),7529,National Institutes of Health,75NT00,NIH Eunice Kennedy Shriver National Institute of Child Health & Human Development,NPU8ULVAAS23,,"UNIVERSITY OF MARYLAND, COLLEGE PARK",NPU8ULVAAS23,,USA,UNITED STATES,3112 LEE BUILDING,COLLEGE PARK,24033,PRINCE GEORGE'S,24,MD,Maryland,207425100,MD-04,MD-04,SINGLE ZIP CODE,COLLEGE PARK,24033.0,PRINCE GEORGE'S,24.0,MD,Maryland,207423234,MD-04,MD-04,USA,UNITED STATES,"3D Bioprinted Nipple-Areolar Complex Implants - ABSTRACT Over 100,000 women in the United States undergo mastectomy procedures each year due to breast cancer, resulting in loss of breast tissue. One of the key traits of a patient's breast tissue that is often neglected in reconstruction is the nipple areolar complex (NAC). There is no clinically viable solution for NAC reconstruction or regeneration. The long-term goal of this work is to develop a personalized, bioresorbable NAC that will provide patients with the shape of a native nipple projection. To pursue this goal, we have developed a hybrid biomaterial implant system consisting of two complementary polymers that (1) define the architecture of the NAC and (2) encourages tissue ingrowth into the NAC. The NAC implant will eventually degrade, leaving in its place a reconstructed NAC that is similar to the original tissue in size, shape, and texture. To this end, we suggest three specific aims. Specific Aim 1 will bioprint a viable and translatable NAC. We will generate a portfolio of NAC implant designs via Solidworks, allowing for rapid development of personalized implants. CAD designs will explore the impact of nipple projection height, nipple diameter, areola diameter, and NAC infill patterning upon the implant's properties, and particularly on the retention of shape over time. NAC implants will be fabricated from rapidly translatable biomaterials. Physical and biological properties {shape, mechanics, cell seeding efficiency, cell viability/ proliferation, matrix production) will be assessed, and individual implant component properties and degradation will be evaluated. Specific Aim 2 will establish an in vitro culture system for a bioprinted NAC. We have developed a 3D printed bioreactor specifically for the culture of a bioprinted NAC, as the construct presents unique culture challenges due to its tissue biology (air-water interface) and tissue architecture (non-planar projection shape). NAC bioreactors will be fabricated and employed to culture the bioprinted constructs. Culture conditions, including media flow rate, will be optimized to support cell proliferation and function (ECM production), while maintaining shape of the NAC system. Finally, Aim 3 will vascularize a bioprinted NAC. We suggest that the successful strategy for a clinically translatable bioprinted implant will utilize vascular ingrowth from the surrounding host tissue and into the NAC. To this end, we will design and fabricate a hierarchical NAC vasculature network consisting of a printed microvasculature and a self-assembled microvasculature directed by host tissue. Furthering our established animal model, we will optimize the NAC's vasculature features (architecture, cellularity) to deliver the critical outcomes of rapid establishment, sufficient nutrient delivery, and vascular functionality- while maintaining the NAC's structure and function. The result of the proposed work will be the ability to produce a personalized nipple areolar complex that can be implanted during mound reconstruction or at a later date.",93.865: CHILD HEALTH AND HUMAN DEVELOPMENT EXTRAMURAL RESEARCH,sub-grant,9AB0C17D4EEDFDA09263FF2D2904A665,2024,5,Z0638201,40900.0,2024-05-16,2024,HZ5UWCKDVJJ3,,MATERIC LLC,USA,UNITED STATES,1300 BAYARD ST,BALTIMORE,MD,MARYLAND,212301901,MD-03,MD-07,"FOR PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY",BALTIMORE,MD,MARYLAND,212301901,MD-03,MD-07,USA,UNITED STATES,FFATA-3D BIOPRINTED NIPPLE-AREOLAR COMPLEX IMPLANTS,https://www.usaspending.gov/award/ASST_NON_R01HD112031_7529/,2024-05-23 11:51:38+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,752113.54,75.0,Department of Health and Human Services (HHS),7529.0,National Institutes of Health,75NT00,NIH Eunice Kennedy Shriver National Institute of Child Health & Human Development,075-2023/2023-0844-000;075-2024/2024-0844-000,075-0844,"41.0: Grants, subsidies, and contributions",0008: NATIONAL INSTITUTE OF CHILD HEALTH AND HUMAN DEVELOPMENT (0844),OFFICE OF RESEARCH ADMINISTRATION & ADVANCEMENT,,Public/State Controlled Institution of Higher Education,,
ASST_NON_2345785_4900,2345785,519931.0,2024-01-30,2024,2024-07-23,2024,2024-02-01,2026-01-31,49,National Science Foundation (NSF),4900,National Science Foundation,491503,TRANSLATIONAL IMPACTS,DMDEQP66JL85,,ROWAN UNIVERSITY,,,USA,UNITED STATES,201 MULLICA HILL RD,GLASSBORO,34015,GLOUCESTER,34,NJ,New Jersey,80281700,NJ-01,NJ-01,SINGLE ZIP CODE,GLASSBORO,34015.0,GLOUCESTER,34.0,NJ,New Jersey,80281700,NJ-01,NJ-01,USA,UNITED STATES,"PFI-TT: Commercial scale production of aligned polymer nanofiber materials and yarns -The broader impact/commercial potential of this Partnerships for Innovation - Technology Translation (PFI-TT) project includes research and commercialization of a technology that will facilitate roll-to-roll production of aligned polymer nanofiber materials and strong nanofiber yarns up to hundreds of meters long. Aligned nanofiber materials are desirable for a wide spectrum of applications due to their ability to provide directional control over electrical and thermal conductivity and creation of precisely-patterned surfaces for targeted optical and surface properties. These materials can serve as essential building blocks for high-strength nanofiber composites and textiles. Despite the remarkable promise of aligned nanofibers, there is an absence of commercial-scale roll-to-roll aligned polymer nanofiber manufacturing due to diverse technical hurdles. This project connects an academic research team and an established nanofiber manufacturing company to translate technologies that will overcome these hurdles. Beyond its commercial impacts, this project will lead to the development of a new hands-on educational program and provide students with valuable experience and training opportunities in entrepreneurship, technology translation, and innovation. The proposed project aims to enhance the efficiency, throughput, and consistency of parallel track roll-to-roll electrospinning for aligned nanofiber manufacturing. It is hypothesized that computational electrical field models can predict production efficiency. Computational electrical field models will be generated based on manufacturing process parameters. The production efficiency will be measured as the mass of aligned nanofiber output on a roll, divided by the mass of polymer feed into the system. A convolutional neural network (CNN) machine learning model will also be utilized to correlate electrical field model images with experimentally measured production efficiency. Computational electrical field models can be generated for hundreds of different parameter combinations at the same time instead of testing only a few parameter combinations experimentally. Therefore, this approach allows for efficient in silico screening of the extensive parameter space associated with this complex manufacturing process to maximize the device efficiency. Optimized devices will be scaled, prototyped, and evaluated, demonstrating the capability of parallel track roll-to-roll aligned nanofiber electrospinning manufacture in a commercial context. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.- Subawards are planned for this award.","47.084: NSF TECHNOLOGY, INNOVATION, AND PARTNERSHIPS",sub-grant,753392FAD644919FF483EDA9829CF949,2024,8,51804-1,29148.0,2024-07-10,2024,HZ5UWCKDVJJ3,,MATERIC LLC,USA,UNITED STATES,1300 BAYARD ST,BALTIMORE,MD,MARYLAND,212301901,MD-03,MD-07,"FOR PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY",BALTIMORE,MD,MARYLAND,212233602,MD-03,MD-07,USA,UNITED STATES,"MATERIC HAS PLEDGED TO PROVIDE AN IN-DEPTH ENTREPRENEURIAL TRAINING EXPERIENCE THAT WILL TEACH THE PIÂ  S STUDENTS A BREADTH OF SKILLS INCLUDING PRICING, EQUIPMENT PLANNING, COST ESTIMATIONS, YIELDS, LICENSING, AND CUSTOMER DISCOVERY. THE TRAINING PROGRAM WILL COMPRISE AN INITIAL ONE-WEEK ON-SITE TRAINING, FOLLOWED BY MONTHLY DAY TRIPS AND REGULAR VIRTUAL MEETINGS AND JOINT CUSTOMER CALLS. MATERIC WILL DIRECT CUSTOMER DISCOVERY EFFORTS THROUGH THE I-CORPS PROCESS, WITH DR. STEPHEN FARIAS, MATERICÂ  S CSO, AS THE INDUSTRIAL MENTOR. THEY WILL MENTOR STUDENTS WHO WILL IDENTIFY AND INTERVIEW COMPANIES WITH AND WITHOUT A KNOWN INTEREST IN RANDOMLY ALIGNED NANOFIBERS.",https://www.usaspending.gov/award/ASST_NON_2345785_4900/,2024-09-03 10:53:57+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,3313.23,49.0,National Science Foundation (NSF),4900.0,National Science Foundation,491503,TRANSLATIONAL IMPACTS,049-2024/2025-0100-000,049-0100,"41.0: Grants, subsidies, and contributions","0011: TECHNOLOGY, INNOVATION, AND PARTNERSHIPS",,ROWAN UNIVERSITY,Public/State Controlled Institution of Higher Education,,
ASST_NON_2044611_4900,2044611,599835.0,2021-01-05,2021,2022-07-21,2022,2021-01-01,2023-12-31,49,National Science Foundation (NSF),4900,National Science Foundation,491503,TRANSLATIONAL IMPACTS,NPU8ULVAAS23,,"UNIVERSITY OF MARYLAND, COLLEGE PARK",KMGEN62NKEM9,,USA,UNITED STATES,3112 LEE BLDG 7809 REGENTS DR,COLLEGE PARK,24033,PRINCE GEORGE'S,24,MD,Maryland,207420001,MD-05,MD-04,SINGLE ZIP CODE,COLLEGE PARK,24033.0,PRINCE GEORGE'S,24.0,MD,Maryland,207425103,MD-05,MD-04,USA,UNITED STATES,PFI-RP: Automatic detection of buried explosives using a multi-sensor smart aerial vehicle,"47.041: ENGINEERING; 47.084: NSF TECHNOLOGY, INNOVATION, AND PARTNERSHIPS",sub-grant,6E18DBFEBAE1419621862877F4EE5FA5,2021,5,Z3707201,163000.0,2021-05-31,2021,JD35KEUVYS94,81263169.0,"AIRGILITY, INC.",USA,UNITED STATES,1900 CAMPUS COMMONS DR STE 100,RESTON,VA,VIRGINIA,201911535,VA-11,VA-11,"MINORITY OWNED BUSINESS,SELF CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR PROFIT ORGANIZATION,MANUFACTURER OF GOODS,HISPANIC AMERICAN OWNED",COLLEGE PARK,MD,MARYLAND,207420001,MD-05,MD-04,USA,UNITED STATES,PFI-RP: AUTOMATIC DETECTION OF BURIED EXPLOSIVES USING A MULTI-SENSOR SMART AERIAL VEHICLE,https://www.usaspending.gov/award/ASST_NON_2044611_4900/,2021-08-05 12:34:26+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,484019.01,49.0,National Science Foundation (NSF),4900.0,National Science Foundation,491503,TRANSLATIONAL IMPACTS,049-2021/2022-0100-000;049-2022/2023-0100-000,049-0100,"41.0: Grants, subsidies, and contributions","0003: ENGINEERING;0011: TECHNOLOGY, INNOVATION, AND PARTNERSHIPS",OFFICE OF RESEARCH ADMINISTRATION,UNIVERSITY SYSTEM OF MARYLAND,Public/State Controlled Institution of Higher Education,,
ASST_NON_W911NF2020284_2100,W911NF2020284,6856018.23,2020-09-24,2020,2021-01-21,2021,2020-09-28,2021-12-27,97,Department of Defense (DOD),2100,Department of the Army,W911NF,W6QK ACC-APG DURHAM,NPU8ULVAAS23,790934285.0,"UNIVERSITY OF MARYLAND, COLLEGE PARK",KMGEN62NKEM9,3256088.0,USA,UNITED STATES,3112 LEE BLDG 7809 REGENTS DR,COLLEGE PARK,24033,PRINCE GEORGE'S,24,MD,Maryland,207420001,MD-05,MD-04,STATE-WIDE,,,,24.0,MD,Maryland,,MD-90,,USA,UNITED STATES,NEW CA UNIV OF MARYLAND,12.431: BASIC SCIENTIFIC RESEARCH,sub-grant,B66B9C8D7F84B22FC1925DA385E90899,2021,4,Z8310201,498481.0,2021-03-23,2021,JJTZLGTS4W36,,"ION STORAGE SYSTEMS, INC.",USA,UNITED STATES,5000 COLLEGE AVE STE 3122,COLLEGE PARK,MD,MARYLAND,207403809,MD-05,MD-04,"SELF CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR PROFIT ORGANIZATION",COLLEGE PARK,MD,MARYLAND,207403817,MD-05,MD-04,USA,UNITED STATES,CENTER FOR RESEARCH IN EXTREME BATTERIES - ADVANCING TRANSFORMATIONAL ARMY BATTERIES,https://www.usaspending.gov/award/ASST_NON_W911NF2020284_2100/,2022-06-29 14:08:53+00,,,97.0,Department of Defense (DOD),2100.0,Department of the Army,W71B7J,USA CCDC ARMY RESEARCH LABORATORY,,,,,OFFICE OF RESEARCH ADMINISTRATION,UNIVERSITY SYSTEM OF MARYLAND,Public/State Controlled Institution of Higher Education;State Government,,
ASST_NON_W911NF2220021_2100,W911NF2220021,8550000.0,2022-03-04,2022,2024-08-20,2024,2022-03-04,2025-11-30,97,Department of Defense (DOD),2100,Department of the Army,W911NF,W6QK ACC-APG DURHAM,NPU8ULVAAS23,,"UNIVERSITY OF MARYLAND, COLLEGE PARK",KMGEN62NKEM9,,USA,UNITED STATES,3112 LEE BLDG 7809 REGENTS DR,COLLEGE PARK,24033,PRINCE GEORGE'S,24,MD,Maryland,207420001,MD-05,MD-04,STATE-WIDE,,,,,,Multi-state,,90,,USA,UNITED STATES,"ADVANCING TRANSFORMATIONAL ARMY BATTERIES, II",12.431: BASIC SCIENTIFIC RESEARCH,sub-grant,2520200FE95F2FA8608389BB7025F467,2022,6,Z8471207,699452.0,2022-05-16,2022,JJTZLGTS4W36,,"ION STORAGE SYSTEMS, INC.",USA,UNITED STATES,"5000 COLLEGE AVE, SUITE 3122",COLLEGE PARK,MD,MARYLAND,20740,MD-05,MD-04,"SELF CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR PROFIT ORGANIZATION",RIVERDALE PARK,MD,MARYLAND,207371114,MD-05,MD-04,USA,UNITED STATES,"FFATA: ADVANCING TRANSFORMATIONAL ARMY BATTERIES, II",https://www.usaspending.gov/award/ASST_NON_W911NF2220021_2100/,2022-06-29 18:27:40+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,97.0,Department of Defense (DOD),2100.0,Department of the Army,W71B7J,USA CCDC ARMY RESEARCH LABORATORY,021-2021/2022-2040-000;021-2023/2024-2040-000,021-2040,25.5: Research and development contracts,0008: SOFTWARE AND DIGITAL TECHNOLOGY PILOT PROGRAMS,OFFICE OF RESEARCH ADMINISTRATION,UNIVERSITY SYSTEM OF MARYLAND,Public/State Controlled Institution of Higher Education;State Government,,
ASST_NON_DEEE0006250_8900,DEEE0006250,62500000.0,2016-03-03,2013,2024-05-16,2024,2013-10-01,2024-09-30,89,Department of Energy (DOE),8900,Department of Energy,892433,NATIONAL ENERGY TECHNOLOGY LABORATORY,QGK6RZ6SD817,,UNITED STATES ADVANCED BATTERY CONSORTIUM LLC,CM1LMUBUQN68,,USA,UNITED STATES,3000 TOWN CENTER SUITE 35,SOUTHFIELD,26125,OAKLAND,26,MI,Michigan,480751120,MI-12,MI-12,SINGLE ZIP CODE,SOUTHFIELD,26125.0,OAKLAND,26.0,MI,Michigan,480751120,MI-12,MI-12,USA,UNITED STATES,RESEARCH AND DEVELOPMENT ON ADVANCED ELECTROCHEMICAL ENERGY STORAGE DEVICES ENABLING A SPECTRUM OF ELECTRIFIED VEHICLES,81.086: CONSERVATION RESEARCH AND DEVELOPMENT,sub-grant,B59F763019157705A6FC1C90C7B5C1C0,2021,7,21-2272-ABC,80834.16,2021-06-09,2021,JJTZLGTS4W36,,"ION STORAGE SYSTEMS, INC.",USA,UNITED STATES,5000 COLLEGE AVE STE 3122,COLLEGE PARK,MD,MARYLAND,207403809,MD-05,MD-04,"SELF CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR PROFIT ORGANIZATION",BELTSVILLE,MD,MARYLAND,207056353,MD-05,MD-04,USA,UNITED STATES,BEYOND LITHIUM ION TECHNOLOGY ASSESSMENT PROGRAM,https://www.usaspending.gov/award/ASST_NON_DEEE0006250_8900/,2023-04-14 16:57:49+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,25672760.45,89.0,Department of Energy (DOE),8900.0,Department of Energy,892403,ENERGY EFFICIENCYRENEWABLE ENERGY,089-X-0321-000,089-0321,25.5: Research and development contracts,0001: VEHICLE TECHNOLOGIES,USABC,UNITED STATES COUNCIL FOR AUTOMOTIVE RESEARCH LLC,For-Profit Organization (Other than Small Business),,
ASST_NON_DEAR0001729_8900,DEAR0001729,4852733.0,2023-04-24,2023,2023-04-24,2023,2023-04-24,2026-04-23,89,Department of Energy (DOE),8900,Department of Energy,897030,ADVANCED RSRCH PROJ AGENCY ARPA-E,NPU8ULVAAS23,,"UNIVERSITY OF MARYLAND, COLLEGE PARK",KMGEN62NKEM9,,USA,UNITED STATES,3112 Lee Bldg 7809 Regents Dr,COLLEGE PARK,24033,PRINCE GEORGE'S,24,MD,Maryland,20742,MD-05,MD-04,CITY-WIDE,College Park,24033.0,PRINCE GEORGE'S,24.0,MD,Maryland,citywide,MD-05,MD-04,USA,UNITED STATES,"This cooperative agreement is awarded to the University of Maryland for a project entitled ''Fast-Charge, High-Energy-Density, Solid-State Battery”. This award is being made in accordance with FOA Number DE-FOA-0002760 (EVs4ALL) and application control number 2760-1595.",81.135: ADVANCED RESEARCH PROJECTS AGENCY - ENERGY,sub-grant,07ABC1DE684404E531494152D4BF17BE,2023,8,Z7166202,2635788.0,2023-06-12,2023,JJTZLGTS4W36,,"ION STORAGE SYSTEMS, INC.",USA,UNITED STATES,12500 BALTIMORE AVE STE D,BELTSVILLE,MD,MARYLAND,207056353,MD-04,MD-04,"SELF CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR PROFIT ORGANIZATION",BELTSVILLE,MD,MARYLAND,207056353,MD-04,MD-04,USA,UNITED STATES,"FFATA: FAST-CHARGE, HIGH-ENERGY-DENSITY, SOLID-STATE BATTERY",https://www.usaspending.gov/award/ASST_NON_DEAR0001729_8900/,2024-01-30 19:20:17+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,1206351.32,89.0,Department of Energy (DOE),8900.0,Department of Energy,897002,ADVANCED RSRCH PROJ AGENCY ARPA-E,089-X-0337-000,089-0337,25.5: Research and development contracts,0001: ARPA-E PROJECTS,OFFICE OF RESEARCH ADMINISTRATION & ADVANCEMENT,UNIVERSITY SYSTEM OF MARYLAND,Public/State Controlled Institution of Higher Education,,
ASST_NON_W911NF2220021_2100,W911NF2220021,16725000.0,2022-03-04,2022,2024-08-20,2024,2022-03-04,2025-11-30,97,Department of Defense (DOD),2100,Department of the Army,W911NF,W6QK ACC-APG DURHAM,NPU8ULVAAS23,,"UNIVERSITY OF MARYLAND, COLLEGE PARK",KMGEN62NKEM9,,USA,UNITED STATES,3112 LEE BLDG 7809 REGENTS DR,COLLEGE PARK,24033,PRINCE GEORGE'S,24,MD,Maryland,207420001,MD-05,MD-04,STATE-WIDE,,,,,,Multi-state,,90,,USA,UNITED STATES,"ADVANCING TRANSFORMATIONAL ARMY BATTERIES, II",12.431: BASIC SCIENTIFIC RESEARCH,sub-grant,4D777028FAA497DB4488A50596CAA24C,2024,6,Z8471207,2199452.0,2024-01-17,2024,JJTZLGTS4W36,,"ION STORAGE SYSTEMS, INC.",USA,UNITED STATES,"5000 COLLEGE AVE, SUITE 3122",COLLEGE PARK,MD,MARYLAND,20740,MD-05,MD-04,"SELF CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR PROFIT ORGANIZATION",RIVERDALE PARK,MD,MARYLAND,207371114,MD-05,MD-04,USA,UNITED STATES,"FFATA: ADVANCING TRANSFORMATIONAL ARMY BATTERIES, II",https://www.usaspending.gov/award/ASST_NON_W911NF2220021_2100/,2024-06-24 10:10:17+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,97.0,Department of Defense (DOD),2100.0,Department of the Army,W71B7J,W262 CCDC ARL,021-2021/2022-2040-000;021-2023/2024-2040-000,021-2040,25.5: Research and development contracts,0008: SOFTWARE AND DIGITAL TECHNOLOGY PILOT PROGRAMS,OFFICE OF RESEARCH ADMINISTRATION & ADVANCEMENT,UNIVERSITY SYSTEM OF MARYLAND,Public/State Controlled Institution of Higher Education;State Government,,
ASST_NON_2234544_4900,2234544,550000.0,2023-07-05,2023,2023-07-05,2023,2023-07-01,2026-06-30,49,National Science Foundation (NSF),4900,National Science Foundation,491503,TRANSLATIONAL IMPACTS,ECR5E2LU5BL6,,GEORGE WASHINGTON UNIVERSITY (THE),,,USA,UNITED STATES,1918 F ST NW,WASHINGTON,11001,DISTRICT OF COLUMBIA,11,DC,District of Columbia,200520042,DC-98,DC-98,SINGLE ZIP CODE,WASHINGTON,11001.0,DISTRICT OF COLUMBIA,11.0,DC,District of Columbia,200520042,DC-98,DC-98,USA,UNITED STATES,"PFI-RP: Partnerships for Patient Safety: Utilization-Driven Management of Critical Medical Equipment -The broader impact/commercial potential of this Partnerships for Innovation ? Research Partnerships (PFI-RP) project relates to the improvement of patient safety and hospital efficiency through the advent of utilization-driven equipment management techniques, specifically for infusion pumps. Infusion pumps serve a vital role in administering treatment to hospitalized patients, but are prone to damage through regular use, resulting in medication errors that harm patients and generate substantial excess healthcare costs. Presently, infusion pumps are serviced according to predetermined time intervals that do not account for variations in device usage, allowing potentially hazardous devices to remain in use between inspections and wasting resources on excessive maintenance of functional devices. Through a multidisciplinary collaboration between university, industry, and healthcare partners, this project will develop a system that makes utilization-driven equipment management practicable in hospitals. The proposed system will facilitate early detection of damaged infusion pumps, thereby reducing the likelihood of costly medication errors and saving thousands of patients from harm each year. In addition to increasing patient safety, the system will address the growing demand among healthcare technology managers for data-driven maintenance and procurement strategies that reduce equipment-related costs and increase the value of care. The proposed project seeks to advance the state-of-the-art in healthcare technology management by developing and advancing towards commercialization a system that leverages newly available sources of infusion pump utilization data, in conjunction with advanced survival analysis and reliability engineering techniques, to formulate optimized utilization-driven equipment management programs accounting for device risk and hospital resource constraints. Technical challenges that will be addressed include (i) knowledge gaps related to the precise nature, variability, and decision implications of the relationship existing between infusion pump utilization and reliability, and (ii) technical barriers pertaining to the implementation of scalable data analysis and construction of a proof-of-concept software tool that will enable end users to formulate optimal infusion pump management programs tailored to their organizational needs. This translational research will result in the creation of data-driven adaptive knowledge specific to healthcare technology management and generalizable to the broader reliability engineering and operations research disciplines. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.","47.084: NSF TECHNOLOGY, INNOVATION, AND PARTNERSHIPS",sub-grant,CE7A7C02737A455DE13F18F8BFF22CB3,2023,10,23-S13R,116000.0,2023-10-02,2024,KW2NMJ1EGY69,,"OPAL HTM, INC.",USA,UNITED STATES,3827 FAWN LN,WHITE PLAINS,MD,MARYLAND,206953310,MD-05,MD-05,FOR PROFIT ORGANIZATION,WHITE PLAINS,MD,MARYLAND,206953310,MD-05,MD-05,USA,UNITED STATES,PFI-RP:PARTNERSHIPS FOR PATIENT SAFETY: UTILIZATION-DRIVEN MANAGEMENT OF CRITICAL MEDICAL EQUIPMENT,https://www.usaspending.gov/award/ASST_NON_2234544_4900/,2023-11-13 17:02:32+00,Q: Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,103114.15,49.0,National Science Foundation (NSF),4900.0,National Science Foundation,491503,TRANSLATIONAL IMPACTS,049-2023/2024-0100-000,049-0100,"41.0: Grants, subsidies, and contributions","0011: TECHNOLOGY, INNOVATION, AND PARTNERSHIPS",,,Private Institution of Higher Education,,
