internal_id,Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
180162119,3DFLEXIBLE INC,2025-02-26,2026-04-27,50000.0,National Aeronautics and Space Administration,National Aeronautics and Space Administration,PURCHASE ORDER,,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_AWD_80NSSC25PA591_8000_-NONE-_-NONE-
175525165,3DFLEXIBLE INC,2024-07-03,2024-10-04,100000.0,Department of Defense,Department of the Army,PURCHASE ORDER,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W911QX24P0155_9700_-NONE-_-NONE-
163669020,3DFLEXIBLE INC,2023-07-17,2024-01-16,139792.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,Department of Defense,Department of the Navy,1173,department-of-defense,CONT_AWD_N6833523C0564_9700_-NONE-_-NONE-
143844067,3DFLEXIBLE INC,2021-08-19,2024-11-05,1132708.49,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W56HZV21C0109_9700_-NONE-_-NONE-
116288203,3DFLEXIBLE INC,2020-09-10,2021-08-15,111463.1,Department of Defense,Department of the Army,PURCHASE ORDER,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W911QX20P0150_9700_-NONE-_-NONE-
111048621,3DFLEXIBLE INC,2020-07-16,2023-03-31,1099996.42,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W56HZV20C0087_9700_-NONE-_-NONE-
84176852,3DFLEXIBLE INC,2019-03-01,2021-09-01,999994.92,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W56HZV19C0002_9700_-NONE-_-NONE-
77888588,3DFLEXIBLE INC,2018-11-28,2019-11-27,99995.04,Department of Defense,Missile Defense Agency,DEFINITIVE CONTRACT,,Department of Defense,Missile Defense Agency,1173,department-of-defense,CONT_AWD_HQ014719C7054_9700_-NONE-_-NONE-
77425158,3DFLEXIBLE INC,2018-11-14,2020-04-30,149991.93,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W56HZV19C0005_9700_-NONE-_-NONE-
37459358,3DFLEXIBLE INC,2017-08-16,2018-02-24,149955.09,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W56HZV17C0186_9700_-NONE-_-NONE-
161301520,ADVANCED ANALYZER LABS INC,2023-08-03,2024-02-02,149867.0,National Aeronautics and Space Administration,National Aeronautics and Space Administration,PURCHASE ORDER,,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_AWD_80NSSC23PB297_8000_-NONE-_-NONE-
150299736,ADVANCED ANALYZER LABS INC,2022-07-25,2023-01-25,149958.0,National Aeronautics and Space Administration,National Aeronautics and Space Administration,PURCHASE ORDER,,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_AWD_80NSSC22PA918_8000_-NONE-_-NONE-
87084550,ADVANCED ANALYZER LABS INC,2019-08-09,2022-08-10,749997.0,National Aeronautics and Space Administration,National Aeronautics and Space Administration,DEFINITIVE CONTRACT,,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_AWD_80NSSC19C0163_8000_-NONE-_-NONE-
67470202,ADVANCED ANALYZER LABS INC,2018-07-27,2019-02-15,124999.0,National Aeronautics and Space Administration,National Aeronautics and Space Administration,PURCHASE ORDER,,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_AWD_80NSSC18P2039_8000_-NONE-_-NONE-
147460786,ASTRAPI CORP,2022-01-04,2023-04-04,749552.0,Department of Defense,Department of the Air Force,PURCHASE ORDER,,Department of Defense,Department of the Air Force,1173,department-of-defense,CONT_AWD_FA864922P0587_9700_-NONE-_-NONE-
144966115,ASTRAPI CORP,2021-09-30,2023-03-31,749412.0,Department of Defense,Department of the Air Force,PURCHASE ORDER,,Department of Defense,Department of the Air Force,1173,department-of-defense,CONT_AWD_FA864921P1478_9700_-NONE-_-NONE-
132925808,ASTRAPI CORP,2021-02-05,2021-05-03,49492.0,Department of Defense,Department of the Air Force,PURCHASE ORDER,,Department of Defense,Department of the Air Force,1173,department-of-defense,CONT_AWD_FA864921P0278_9700_-NONE-_-NONE-
127793901,ASTRAPI CORP,2020-12-09,2021-06-08,149027.0,Department of Defense,Department of the Air Force,PURCHASE ORDER,,Department of Defense,Department of the Air Force,1173,department-of-defense,CONT_AWD_FA864921P0097_9700_-NONE-_-NONE-
70060273,ASTRAPI CORP,2018-07-27,2018-10-26,49940.63,Department of Defense,Department of the Air Force,PURCHASE ORDER,,Department of Defense,Department of the Air Force,1173,department-of-defense,CONT_AWD_FA300218P0028_9700_-NONE-_-NONE-
