internal_id,Recipient Name,Recipient UEI,recipient_id,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
180162119,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2025-02-26,2026-04-27,50000.0,National Aeronautics and Space Administration,National Aeronautics and Space Administration,PURCHASE ORDER,,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_AWD_80NSSC25PA591_8000_-NONE-_-NONE-
175525165,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2024-07-03,2024-10-04,100000.0,Department of Defense,Department of the Army,PURCHASE ORDER,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W911QX24P0155_9700_-NONE-_-NONE-
163669020,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2023-07-17,2024-01-16,139792.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,Department of Defense,Department of the Navy,1173,department-of-defense,CONT_AWD_N6833523C0564_9700_-NONE-_-NONE-
143844067,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2021-08-19,2024-11-05,1132708.49,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W56HZV21C0109_9700_-NONE-_-NONE-
116288203,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2020-09-10,2021-08-15,111463.1,Department of Defense,Department of the Army,PURCHASE ORDER,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W911QX20P0150_9700_-NONE-_-NONE-
111048621,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2020-07-16,2023-03-31,1099996.42,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W56HZV20C0087_9700_-NONE-_-NONE-
84176852,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2019-03-01,2021-09-01,999994.92,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W56HZV19C0002_9700_-NONE-_-NONE-
77888588,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2018-11-28,2019-11-27,99995.04,Department of Defense,Missile Defense Agency,DEFINITIVE CONTRACT,,Department of Defense,Missile Defense Agency,1173,department-of-defense,CONT_AWD_HQ014719C7054_9700_-NONE-_-NONE-
77425158,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2018-11-14,2020-04-30,149991.93,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W56HZV19C0005_9700_-NONE-_-NONE-
37459358,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2017-08-16,2018-02-24,149955.09,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W56HZV17C0186_9700_-NONE-_-NONE-
180162119,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2025-02-26,2026-04-27,50000.0,National Aeronautics and Space Administration,National Aeronautics and Space Administration,PURCHASE ORDER,,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_AWD_80NSSC25PA591_8000_-NONE-_-NONE-
175525165,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2024-07-03,2024-10-04,100000.0,Department of Defense,Department of the Army,PURCHASE ORDER,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W911QX24P0155_9700_-NONE-_-NONE-
163669020,3DFLEXIBLE INC,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,2023-07-17,2024-01-16,139792.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,Department of Defense,Department of the Navy,1173,department-of-defense,CONT_AWD_N6833523C0564_9700_-NONE-_-NONE-
