Account Name,DUNS Number,UEI
3DFlexible,80528211,ZZKFKXNTMMA3
Advanced Analyzer Labs,79858751,KUG9CDCV8A99
Astrapi Corporation,78280355,E75XBM5E18P4
Pendulum Analytics,117565679,
Hawkeye Med Tech,80001889,
InventWood,80381020,LA9LCVM7HMK5
Pathotrak,117027572,MBL4UM9AJVZ8
VisiSonics Corporation,962585456,RKQMGGA3S585
Airgility,81263169,JD35KEUVYS94
Door Robotics,118171471,
Imagining Reality Insights & Solutions,16920112,YBJNM8JECF46
JAX Digital,19964556,
MPLEX Corp,117500029,
Quidient,79693340,Z4Z7DHN15824
ZeroDay Law,18728941,
Rakta Therapeutics,78875030,G43JQMRR5JL5
AmpX Technologies,81043145,J1T8EM6N9AE5
Electro-Media Design,627257199,
Lori Kay Booker,81111954,
The Mitre Corporation,7872690,
Ally Power,117405180,
Cranenano,55920444,G36EXUPQXAG6
BTU Insight,69950630,
Bolston,130192320,
Health Solutions Research,113924817,
Ovalz,117820133,
Silvec Biologics,117513004,ZH7KBVHXP1C3
Nurostream,116786537,
ACTIVEcharge,117189056,KY1QMG9XBHZ9
ACUITYnano,78824594,
AlgenAir,118779654,
Green H2O,129523785,
NebuBuddies,94407556,
Operational Precision Systems,79930584,
PulseIQ,118811130,
W2BioSolutions,78489394,
Oncampuschef,74007877,
Advancing Synergy,10424501,LEG3S3MAK989
Nostopharma,80903422,FKVPNPQK64H8
Microsphere Material Solutions,80285072,L9JEFENVH8R6
Ion Storage Systems,117020535,JJTZLGTS4W36
InovCares,40142303,
OcuClips,8444287,
QuikReversal,117409463,
Quaxys,117888585,
"Modular Matter, Inc",117566921,
N5 Sensors,78386164,DPHWXD86RNS4
UCleaner L.L.C.,109172709,PP19DXAKLRD4
Hazel Analytics,79620310,
Gaskiya Diagnostics,80195107,
ForensIQ,968613799,
Alirtify,116980922,XUBEZ7SEAEN9
"Living Canopies, Ltd.",80100211,
Blimp Logistics,117652447,FPN6NRF65AS1
Hyve.ai,70734810,
OcuFLOW,80753214,
PrecNA,118159015,YS3CA2D413F5
Tao Treasures,4913332,E1Y9Z246LAU8
Bashpole Software,827378394,
Shrink Ray,111397742,
Ambay Immune Sensors & Controls,15810829,YJKMSJL1EJ75
Vapor Cell Technologies,117415276,
The Ripple Project,110779240,
MARS Technology,127305288,
Peatland Technologies,53129061,
Travel Rx,97412160,
Digital Network Group,805958431,
"Dirigible Systems, Inc,",117449862,
Real World Ready,63766458,
Radii Goggles,118096345,
PerSoN Clinic,117124618,
Solid Ox Motors,107711490,
X-Wave Innovations,960861958,EDJ3MSJR9NK7
Haystack Solutions,80152878,
ReVacc,117640885,
Sarat Investment,78481781,
TuneURL,117827652,
NextGlass,131444215,
NDN International,47897738,MV1NBEFN6B27
Virtual Apprentice,37975235,MM2US7CH16A7
SoMD Loves You,117495451,
Uptahr,118106535,
Robinson Scientifics,24785975,
Rise Technology,117827876,
Prommuni,43702566,
Mylofn,117744758,
Maryland Data Science and Engineering,101179320,
Lasarrus Clinic and Research,46494189,DD7BUVZK2EN8
Kick Robotics,117629834,FUNBPPKNAA52
InfraTrac,792088804,SYELB4K7LDE8
IES Life Sciences,81427806,
Hydrus.ai,118789319,
BETR CBD,847561995,
"Aevus Precision Diagnostics, Corp.",116986557,
Auxergen,27367998,NMGCN8XX49C7
Anonitech,117699683,
Antroniks,26220750,
Advanced Biomimetic Sensors,781012740,K36KSVKVEMM6
Adloris Foundation,75399778,F8GLQL7QZ8H3
Pirl Technology,81218445,
Barter Black,117957299,
PZA Innovation,117716945,FNB4LENH6JW7
DNA Analytics,788153166,
Nurse Lynx,84616637,
