,uei,recipient_id,name,duns,address_line1,address_line2,city,state,zip,congressional_code
0,D2DDKPAALJR3,7364bc89-3728-7553-c54e-48dd481dc4f6-C,"MIRECULE, INC.",080160327,704 QUINCE ORCHARD RD,,GAITHERSBURG,MD,20878,06
1,J1T8EM6N9AE5,df183cf3-0a6b-5525-800f-f8e4d890969c-C,"AMPX TECHNOLOGIES, INC.",081043145,4467 TECHNOLOGY DRIVE RM 3125,,COLLEGE PARK,MD,20742,04
2,LA9LCVM7HMK5,ef14e8ba-77c1-7f32-8542-fd06b136df43-R,INVENTWOOD INC.,080381020,5971 JEFFERSON STATION CT STE 100,,FREDERICK,MD,21703,06
3,KW2NMJ1EGY69,7845121d-c893-cfdd-b700-8392f4d0a22b-R,"OPAL HTM, INC.",080952887,1623 W FULTON ST,,CHICAGO,IL,60612,07
4,M2A2NQ91DNM9,53492c11-f00b-0e7f-850e-ebb99acc749d-R,"VORTEX SPACE SYSTEMS, LLC",106500059,24225 WELSH RD,,GAITHERSBURG,MD,20882,06
5,GXVCMTLKZP96,2e13eada-d556-eb64-3044-8d69b7f1d913-C,"SMART HLPR, LLC",098746982,160 STREAMWOOD RD,,TROUTMAN,NC,28166,10
6,Z4Z7DHN15824,ba419369-31f1-75ee-1017-332304302db7-C,"QUIDIENT, LLC",079693340,7012 SYCAMORE LN,,EASTON,MD,21601,01
7,ESU1JMK4DYJ4,8f711fc6-bcd6-7008-0f7d-3c04d6d79a77-R,"REMBAC ENVIRONMENTAL, LLC",080846455,3140 EDGEWOOD RD,,ELLICOTT CITY,MD,21043,03
8,EVVCNB5YZUS3,3a28e37a-8411-1202-12a0-52035fce179d-R,SYZYGY OPTICS LLC,,536 MEADOW RUN,536 MEADOW RUN,CHAPEL HILL,NC,27517,09
9,TCT3X4JFLTP8,e6b115b5-fe07-8123-8c34-aaa2d90c8354-R,"RESILIENT LIFESCIENCE, INC",,100 S COMMONS,100 S COMMONS,PITTSBURGH,PA,15212,12
10,PJ9WKMRVDDX6,e1165b42-4c75-938f-5911-5b34f5cc8661-R,LIATRIS INC.,116913533,5640 FISHERS LANE,SUITE D,ROCKVILLE,MD,20852,08
11,EFQ8AGCC5HK7,63250d10-0844-89ac-1e01-7626097ad483-R,SONAVEX INC,079208177,2835 ODONNELL ST,STE 200,BALTIMORE,MD,21224,07
12,ZZKFKXNTMMA3,b6276e3b-2e30-e6b7-2541-bf43d8f4a205-C,3DFLEXIBLE INC,080528211,11008 CHELSEA WAY,,LAUREL,MD,20723,03
13,GU8RZGZXU5K7,18c037db-00a8-e4ad-8432-d19e1ff9311d-C,"REDSHRED, LLC",079393231,5520 RESEARCH PARK DR STE 100,,CATONSVILLE,MD,21228,07
14,VGLLXNMDNHQ5,35fe8531-c851-64e2-136b-df04fe52cdc4-R,LENSGUIDE IMAGING TECHNOLOGY INC,086943590,707 ANDERSON AVE,,ROCKVILLE,MD,20850,08
15,JD35KEUVYS94,6a97df26-402d-6775-2f99-1d3b04d8ae18-C,"AIRGILITY, INC",081263169,5145 CAMPUS DR,SUITE 1132,COLLEGE PARK,MD,20742,04
