keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
E-communities,"PRN ASSOCIATES, INCORPORATED",S69ZMP9NM5U9,3BXG8,"7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States","7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States",,,,,,
E-communities,EASTERN GATEWAY COMMUNITY COLLEGE,F5WDD45CME36,0NGM8,"110 John Scott HWY,Steubenville, Ohio,43952-3000, United States","110 John Scott Highway,Steubenville, Ohio,43952, United States",,,,,,
E-communities,"SPECIAL COMMUNICATIONS, LLC",JXZVBZ8FZJL6,1QQG2,"2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States","2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States",,,,,,
E-communities,JOURMIK LLC,ZYPETGFPAXN9,93S35,"13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States","13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States",,,,,,
E-communities,"ORRS' ENVIRONMENTAL, LLC",M1LHWD15KHJ6,301F8,"7027 Old Madison Pike NW STE 108,Huntsville, Alabama,35806, United States","P.O. Box 21192,Huntsville, Alabama,35813, United States",,,,,,
Armaments Research Company,ARMAMENTS RESEARCH COMPANY INC.,F6KMMJAFFB47,7VYH2,"6422 Broad ST,Bethesda, Maryland,20816-2608, United States","4445 Willard AVE STE 600,Chevy Chase , Maryland,20815, United States",http://www.armaments.us/,"Sep 8, 2013",Michael Canty,Michael Canty,"Delaware, United States",Maryland 08
Clean Condense,ARMAMENTS RESEARCH COMPANY INC.,F6KMMJAFFB47,7VYH2,"6422 Broad ST,Bethesda, Maryland,20816-2608, United States","4445 Willard AVE STE 600,Chevy Chase , Maryland,20815, United States",http://www.armaments.us/,"Sep 8, 2013",Michael Canty,Michael Canty,"Delaware, United States",Maryland 08
CADRE,,,,"MARADI,MARADI,(blank), NER",,,,,,,
CADRE,,,,"2915 WEST INTERSTATE 40,AMARILLO, TX,79109-1607, USA",,,,,,,
CADRE,,,,"Niamey,Niamey,(blank), NER",,,,,,,
CADRE,,,,"100 E STATE ST,DOYLESTOWN, PA,18901-4313, USA",,,,,,,
CADRE,,,,"2001 CHICON ST,AUSTIN, TX,78722-2428, USA",,,,,,,
CSI-PI,,,,"MARADI,MARADI,(blank), NER",,,,,,,
CSI-PI,,,,"2915 WEST INTERSTATE 40,AMARILLO, TX,79109-1607, USA",,,,,,,
CSI-PI,,,,"Niamey,Niamey,(blank), NER",,,,,,,
CSI-PI,,,,"100 E STATE ST,DOYLESTOWN, PA,18901-4313, USA",,,,,,,
CSI-PI,,,,"2001 CHICON ST,AUSTIN, TX,78722-2428, USA",,,,,,,
"Edessa, Inc.",,,,"42525 Edessa St,Palm Desert, CA,92211-0976, USA",,,,,,,
