keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Federal Network Security,SECURANCE LLC,VQBMXGTNZSD5,1XTH7,"13916 Monroes Business Park,Suite 102,Tampa, Florida,33635-6313, United States","13916 Monroes Business Park,Suite 102,Tampa, Florida,33635-6313, United States",https://www.securanceconsulting.com/government-federal,"Mar 4, 2002","Cyndi Schaefer, Office Manager","Gillian Tedeschi, Vice President","Florida, United States",Florida 14
Federal Network Security,,,,,,,,,,,
Federal Network Security,BURNT TOAST LABS INC,UPHBAKU4JY54,705W8,"5412 Chandley Farm CIR,Centreville, Virginia,20120-1239, United States","5412 Chandley Farm CIR,Centreville, Virginia,20120-1239, United States",https://burnttoastlabs.com/,"Jun 24, 2013","Ted Belser, President/CEO","Roger Mitchell, President Federal Services/COO","Virginia, United States",Virginia 10
Federal Network Security,"GC&E FEDERAL, LLC",XJF3KGSUK9F7,8MN76,"5835 Peachtree Cors E STE A1,Peachtree Corners, Georgia,30092-3458, United States","5835 Peachtree Cors E STE A1,Peachtree Corners, Georgia,30092-3458, United States",,"Dec 6, 2019",Dennis Bristol,Dennis Bristol,"Alaska, United States",Georgia 07
Federal Network Security,"PHOENIX TECHNOLOGY SOLUTIONS, L.L.C.",RBJ8VFAUJDR8,3G3S5,"10420 Little Patuxent PKWY,STE 500,Columbia, Maryland,21044-3545, United States","10420 Little Patuxent Parkway,Suite 500,Columbia, Maryland,21044-3533, United States",http://www.phoenixts.com/,"Aug 24, 1998",Ned Snow,MARY SOLOMON,"Maryland, United States",Maryland 03
Growing-Phosphorus,"PRN ASSOCIATES, INCORPORATED",S69ZMP9NM5U9,3BXG8,"7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States","7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States",,,,,,
Growing-Phosphorus,MCDANIEL FARMS INC,EK28CNM2ZYW8,7L4B1,"81745 Blue Mound RD,Sargent, Nebraska,68874-4117, United States","81745 Blue Mound RD,Sargent, Nebraska,68874-4117, United States",,,,,,
Growing-Phosphorus,"SPECIAL COMMUNICATIONS, LLC",JXZVBZ8FZJL6,1QQG2,"2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States","2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States",,,,,,
Growing-Phosphorus,JOURMIK LLC,ZYPETGFPAXN9,93S35,"13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States","13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States",,,,,,
Growing-Phosphorus,"ORRS' ENVIRONMENTAL, LLC",M1LHWD15KHJ6,301F8,"7027 Old Madison Pike NW STE 108,Huntsville, Alabama,35806, United States","P.O. Box 21192,Huntsville, Alabama,35813, United States",,,,,,
Drones at Night,THE PATHFINDER SOLUTIONS GROUP LLC,KNBSC4HX7JV8,8FTF6,"394 Iron Hl,New Braunfels, Texas,78132-3437, United States","394 Iron Hill,New Braunfels, Texas,78132, United States",https://www.pfsolutionsgroup.com/,"Nov 15, 2019","David Johnson, President","David Johnson, President","Texas, United States",Texas 21
ESRA,KARAKAYA TALKS GEMEINNUTZIGE UG,TU8QG168PPM1,(blank),"Rheinsberger STR. 76/77,C/o Factory Works Gmbh,Berlin,(blank), Germany","Rheinsberger STR. 76/77,C/o Factory Works Gmbh,Berlin, Berlin,13347, Germany",https://www.karakayatalks.com/,"Dec 14, 2022",Esra Karakaya,Esra Karakaya,"(blank), (blank)",Not Applicable
ESRA,"RIGHTFULLY SEWN, INC",SLU6R6WYPKN3,98F54,"7501 Prospect AVE,Kansas City, Missouri,64132-2103, United States","7501 Prospect AVE,Kansas City, Missouri,64132, United States",https://rightfullysewn.org/,"Oct 1, 2020",Esra Abir,Elizabeth Hastings,"Missouri, United States",Missouri 05
ESRA,BILTEK ULUSLARARASI INSAAT LIMITED SIRKETI,QE65D6VXFU31,T5038,"Ehlibeyt Mahallesi Tekstilciler CAD. No: 15/10,Ankara,(blank), Turkey","NO:15-10 , Ehlibeyt MAHALLESI, Tekstilciler Caddesi,Ankara,06520, Turkey",,"Oct 9, 1997",Esra Semizer,Esra Semizer,"(blank), Turkey",Not Applicable
ESRA,ENGASSIST LLC,ZZVKVMYYYQK4,9BAV0,"12573 New Brittany BLVD,Fort Myers, Florida,33907-3625, United States","12573 New Brittany BLVD,Fort Myers, Florida,33907, United States",https://www.selectstructural.com/,"Dec 26, 2021","Esra Persellin, CEO","Esra Persellin, CEO","New Mexico, United States",Florida 19
ESRA,"BOBI, INC.",PLC8PXFNK3V3,9RU24,"1203 Vista Del Rio,San Antonio, Texas,78216-1709, United States","1203 Vista Del Rio,San Antonio, Texas,78216-1709, United States",https://www.bobihealth.com/,"May 12, 2023","Dave J. Esra, CEO","Dave J. Esra, CEO","Delaware, United States",Texas 21
