keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Halo Scientific,HALO SERVICE SOLUTIONS LTD,JA91JKGLMA69,U1YE9,"Halo House,Gipping WAY,Stowmarket,IP141GJ, United Kingdom","Halo House,Stowmarket, Suffolk,IP40 1GJ, United Kingdom",https://haloservicesolutions.com/,"Mar 19, 2001","Andrew Chipchase, Mr","Andrew Chipchase, Mr","(blank), United Kingdom",Not Applicable
Halo Scientific,"THE HALO TRUST USA, INC",PGYCBU47CU44,4BTP7,"1730 Rhode Island AVE NW STE 206,Washington, District Of Columbia,20036-3120, United States","1730 Rhode Island AVE NW STE 206,Washington, District Of Columbia,20036-3120, United States",https://www.halousa.org/,"Feb 22, 1999","Chris Whatley, Executive Director","Amasia Zargarian, Head of Government Affairs","Maryland, United States",District Of Columbia 98
Halo Scientific,MELLEVET LLC,MWMHV4UFCTC7,92GQ0,"70 Road 4980,Bloomfield, New Mexico,87413-7120, United States","70 Road 4980,Bloomfield, New Mexico,87413, United States",https://www.mellevet.com/,"Feb 27, 2020",Nate Vaughn,Eric Taylor,"New Mexico, United States",New Mexico 03
Halo Scientific,HALO CONSTRUCTION & RESTORATION LLC,LXJ7Q3GJ9554,9LVK4,"15269 Display CT,Rockville, Maryland,20850-1270, United States","13145 Brushwood WAY,Potomac, Maryland,20854, United States",https://www.halocr.net/,"Jan 25, 2019","David Lee, President","David Lee, President","Maryland, United States",Maryland 08
Halo Scientific,HALO SQUARED LLC,YSTKT8A3Y327,96ZX6,"1775 Parker RD SE # C210-507,Conyers, Georgia,30094-6654, United States","1775 Parker RD SE STE C210-507,Conyers, Georgia,30094-6654, United States",https://halo-squared.com/,"Oct 18, 2021",Valiscia Greenwell,Valiscia Greenwell,"Georgia, United States",Georgia 04
iDx,,,,"3 Germay Dr Ste 4,null,Wilmington, DE,19804-1127, USA",,,,,,,
iDx,,,,"1 ENTERPRISE,ALISO VIEJO, CA,92656-2606, USA",,,,,,,
iDx,VANASSE HANGEN BRUSTLIN INC,HYSEVD86MRT5,58UW5,"40 Idx DR,# 100,South Burlington, Vermont,05403-7771, United States","40 Idx DR # 100,South Burlington, Vermont,05403-7771, United States",http://vhb.com/,"Jan 1, 1979","DAVID SALADINO, Managing Director","DAVID SALADINO, Managing Director","Massachusetts, United States",Vermont 00
iDx,IDX CORP,VKKEDDSXQDL4,8KKS3,"2801 E Beltline AVE NE,Grand Rapids, Michigan,49525-9680, United States","2801 E. Beltline AVE. NE,Grand Rapids, Michigan,49525, United States",https://www.idxcorporation.com/,"Aug 18, 1999","Scott Stewart, VP Commercial","Jessica Burgett, Marketing Communications Manager","Delaware, United States",Michigan 03
iDx,,,,"41 IDX DR,SUITE 209,SOUTH BURLINGTON, VT,05403-7773, USA",,,,,,,
Illuminate,,,,"521 MAGNOLIA PARKWAY,BENBROOK, TX,76126, USA",,,,,,,
Illuminate,,,,"1109 S MASON AVE,CHICAGO, IL,60644-5341, USA",,,,,,,
Illuminate,,,,"105 N HAGGERTY RD,PLYMOUTH, MI,48170-1801, USA",,,,,,,
Illuminate,,,,"6020 SANMAR DR,SPRING HILL, TN,37174-1428, USA",,,,,,,
Illuminate,,,,"2727 PACES FERRY RD SE STE 750,null,ATLANTA, GA,30339, USA",,,,,,,
